#{"t_start": 1723870601.2434063, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0.21,210,34.974433
-0.21,210,36.196383
-0.21,210,75.417512
-0.21,210,77.106952
-0.21,210,106.58255
-0.21,210,107.39041
0.8575,143,108.00238
-0.21,210,136.518808
-0.21,210,137.314197
-0.21,210,165.877272
0.9699,31,181.844295
-0.21,210,182.968881
-0.21,210,183.895233
-0.21,210,211.83034
-0.21,210,212.662207
-0.21,210,239.034528
-0.21,210,239.767339
-0.21,210,269.663551
-0.21,210,270.536603
-0.21,210,271.479446
-0.21,210,302.305891
0.9332,67,302.521509
0.8629,138,302.95964
-0.21,210,332.163371
-0.21,210,333.226263
-0.21,210,334.291992
-0.21,210,362.432769
-0.21,210,363.349804
-0.21,210,394.961616
-0.21,210,395.976812
-0.21,210,433.492605
-0.21,210,438.955721
-0.21,210,440.161369
-0.21,210,491.393572
-0.21,210,492.763507
-0.21,210,540.426694
-0.21,210,541.756715
-0.21,210,591.332757
-0.21,210,592.250428
-0.21,210,593.243389
0.7964,204,634.518845
-0.21,210,641.011137
-0.21,210,675.418014
-0.21,210,676.462761
-0.21,210,677.800766
-0.21,210,728.395171
-0.21,210,729.928469
-0.21,210,779.543801
-0.21,210,781.008979
-0.21,210,833.975776
-0.21,210,840.166701
-0.21,210,841.534427
-0.21,210,891.306232
-0.21,210,892.741005
-0.21,210,927.527248
-0.21,210,928.745918
-0.21,210,962.256888
-0.21,210,963.827398
-0.21,210,965.019609
0.9533,47,965.30237
-0.21,210,997.025259
-0.21,210,1002.658219
-0.21,210,1031.479716
0.8697,131,1032.270411
-0.21,210,1033.305099
-0.21,210,1074.021846
-0.21,210,1075.273123
-0.21,210,1110.585089
-0.21,210,1111.536359
-0.21,210,1112.489038
-0.21,210,1140.326457
-0.21,210,1145.494244
-0.21,210,1178.433894
-0.21,210,1179.397461
-0.21,210,1214.661438
-0.21,210,1215.696129
-0.21,210,1216.810218
-0.21,210,1252.443268
-0.21,210,1253.43276
0.8781,122,1290.208762
-0.21,210,1291.532372
-0.21,210,1298.000534
-0.21,210,1343.58469
0.9688,32,1343.862358
0.9213,79,1344.297539
0.9854,15,1344.394947
0.9848,16,1344.530495
0.9532,47,1344.862745
-0.21,210,1375.927156
-0.21,210,1376.809616
0.8596,141,1377.377795
-0.21,210,1402.496141
-0.21,210,1403.294735
-0.21,210,1428.054247
0.9195,81,1428.444894
0.9835,17,1428.542037
-0.21,210,1429.424573
-0.21,210,1456.971531
-0.21,210,1457.78338
-0.21,210,1458.519434
0.7939,207,1488.753407
-0.21,210,1490.06651
-0.21,210,1530.250455
0.9882,12,1530.311268
-0.21,210,1531.460376
-0.21,210,1564.172163
-0.21,210,1564.963836
-0.21,210,1565.949657
-0.21,210,1593.308215
