Episodio,Puntaje
1,[0.95960003]
2,[0.9008]
3,[0.9772]
4,[0.9904]
5,[0.90549994]
6,[0.8748999]
7,[-0.21000025]
8,[0.9529]
9,[0.96959996]
10,[0.9932]
11,[0.9719]
12,[0.962]
13,[-0.21000025]
14,[-0.21000025]
15,[0.9576]
16,[0.97789997]
17,[-0.21000025]
18,[0.97080004]
19,[0.964]
20,[0.8491999]
21,[-0.21000025]
22,[0.9809]
23,[0.8292998]
24,[0.9408001]
25,[-0.21000025]
26,[-0.21000025]
27,[0.94570005]
28,[0.9932]
29,[-0.21000025]
30,[0.8851]
31,[0.9759]
32,[0.9787]
33,[-0.21000025]
34,[0.9924]
35,[-0.21000025]
36,[0.9358001]
37,[-0.21000025]
38,[0.86449987]
39,[0.94860005]
40,[0.9369]
41,[-0.21000025]
42,[0.9641]
43,[0.94510007]
44,[0.8931]
45,[0.90910006]
46,[0.99480003]
47,[-0.21000025]
48,[-0.21000025]
49,[0.94200003]
50,[0.9059]
51,[0.9338001]
52,[-0.21000025]
53,[-0.21000025]
54,[0.9581]
55,[0.87399995]
56,[0.92200005]
57,[-0.21000025]
58,[0.9412]
59,[0.9746]
60,[0.9727]
61,[0.9322]
62,[-0.21000025]
63,[0.9588]
64,[0.96959996]
65,[0.9524]
66,[0.96389997]
67,[0.89669997]
68,[0.9522]
69,[0.9972]
70,[0.9805]
71,[0.9721]
72,[0.9197]
73,[-0.21000025]
74,[-0.21000025]
75,[-0.21000025]
76,[0.9944]
77,[-0.21000025]
78,[-0.21000025]
79,[0.9659]
80,[-0.21000025]
81,[0.9641]
82,[0.88769996]
83,[0.963]
84,[-0.21000025]
85,[-0.21000025]
86,[0.88299996]
87,[0.87799996]
88,[0.9519]
89,[0.93390006]
90,[0.9846]
91,[0.9724]
92,[0.97110003]
93,[-0.21000025]
94,[-0.21000025]
95,[-0.21000025]
96,[0.8516999]
97,[0.9636]
98,[0.9762]
99,[-0.21000025]
100,[0.9679]
101,[0.9179]
102,[0.86669993]
103,[-0.21000025]
104,[0.9749]
105,[0.9672]
106,[0.95970005]
107,[-0.21000025]
108,[0.9667]
109,[0.8728999]
110,[0.8914]
111,[0.9009]
112,[0.9633]
113,[0.9868]
114,[0.9536]
115,[-0.21000025]
116,[0.9139]
117,[0.9488001]
118,[0.9788]
119,[0.9781]
120,[0.9621]
121,[0.9622]
122,[0.9509]
123,[0.92990005]
124,[0.94890004]
125,[-0.21000025]
126,[0.985]
127,[0.97480005]
