Episodio,Puntaje
1,[-0.21000025]
2,[-0.21000025]
3,[0.9622]
4,[-0.21000025]
5,[0.9384001]
6,[-0.21000025]
7,[0.7978998]
8,[-0.21000025]
9,[-0.21000025]
10,[-0.21000025]
11,[-0.21000025]
12,[-0.21000025]
13,[-0.21000025]
14,[-0.21000025]
15,[-0.21000025]
16,[-0.21000025]
17,[-0.21000025]
18,[-0.21000025]
19,[-0.21000025]
20,[-0.21000025]
21,[-0.21000025]
22,[-0.21000025]
23,[-0.21000025]
24,[-0.21000025]
25,[-0.21000025]
26,[-0.21000025]
27,[-0.21000025]
28,[-0.21000025]
29,[-0.21000025]
30,[-0.21000025]
31,[-0.21000025]
32,[-0.21000025]
33,[-0.21000025]
34,[-0.21000025]
35,[-0.21000025]
36,[0.9796]
37,[-0.21000025]
38,[-0.21000025]
39,[-0.21000025]
40,[-0.21000025]
41,[-0.21000025]
42,[-0.21000025]
43,[-0.21000025]
44,[0.9703]
45,[-0.21000025]
46,[-0.21000025]
47,[-0.21000025]
48,[-0.21000025]
49,[0.96349996]
50,[-0.21000025]
51,[-0.21000025]
52,[0.87009996]
53,[-0.21000025]
54,[0.8691]
55,[-0.21000025]
56,[-0.21000025]
57,[-0.21000025]
58,[-0.21000025]
59,[-0.21000025]
60,[-0.21000025]
61,[-0.21000025]
62,[-0.21000025]
63,[-0.21000025]
64,[-0.21000025]
65,[-0.21000025]
66,[-0.21000025]
67,[-0.21000025]
68,[-0.21000025]
69,[-0.21000025]
70,[-0.21000025]
71,[-0.21000025]
72,[-0.21000025]
73,[-0.21000025]
74,[-0.21000025]
75,[-0.21000025]
76,[-0.21000025]
77,[-0.21000025]
78,[-0.21000025]
79,[-0.21000025]
80,[0.80819976]
81,[-0.21000025]
82,[-0.21000025]
83,[-0.21000025]
84,[-0.21000025]
85,[-0.21000025]
86,[-0.21000025]
87,[-0.21000025]
88,[0.9024]
89,[-0.21000025]
90,[-0.21000025]
91,[0.8614999]
92,[0.9438001]
93,[0.93600005]
94,[0.9832]
95,[0.9847]
96,[-0.21000025]
97,[-0.21000025]
98,[-0.21000025]
99,[-0.21000025]
100,[0.92620003]
101,[-0.21000025]
102,[-0.21000025]
103,[-0.21000025]
104,[-0.21000025]
105,[-0.21000025]
106,[-0.21000025]
107,[-0.21000025]
108,[0.8479999]
109,[0.81009984]
110,[-0.21000025]
111,[-0.21000025]
112,[-0.21000025]
113,[-0.21000025]
114,[-0.21000025]
115,[0.9852]
116,[-0.21000025]
117,[-0.21000025]
118,[-0.21000025]
119,[0.9434001]
120,[-0.21000025]
121,[-0.21000025]
122,[-0.21000025]
123,[0.87009996]
124,[-0.21000025]
125,[-0.21000025]
126,[-0.21000025]
127,[-0.21000025]
128,[-0.21000025]
129,[-0.21000025]
130,[-0.21000025]
131,[-0.21000025]
132,[-0.21000025]
133,[-0.21000025]
134,[-0.21000025]
135,[-0.21000025]
136,[0.96540004]
137,[-0.21000025]
138,[-0.21000025]
139,[-0.21000025]
140,[-0.21000025]
141,[0.8340999]
142,[-0.21000025]
143,[-0.21000025]
144,[-0.21000025]
145,[-0.21000025]
146,[-0.21000025]
147,[-0.21000025]
148,[-0.21000025]
149,[-0.21000025]
150,[-0.21000025]
151,[-0.21000025]
152,[-0.21000025]
153,[-0.21000025]
154,[-0.21000025]
155,[0.9218]
156,[-0.21000025]
157,[-0.21000025]
158,[-0.21000025]
159,[-0.21000025]
160,[-0.21000025]
161,[-0.21000025]
162,[-0.21000025]
163,[0.94110006]
164,[-0.21000025]
165,[-0.21000025]
166,[0.84059983]
167,[-0.21000025]
168,[-0.21000025]
169,[-0.21000025]
170,[0.96070004]
171,[0.96500003]
172,[-0.21000025]
173,[-0.21000025]
174,[-0.21000025]
175,[-0.21000025]
176,[0.8043998]
177,[-0.21000025]
178,[-0.21000025]
179,[-0.21000025]
180,[-0.21000025]
181,[-0.21000025]
182,[-0.21000025]
183,[-0.21000025]
184,[-0.21000025]
185,[0.9722]
186,[-0.21000025]
187,[-0.21000025]
188,[0.9063]
189,[-0.21000025]
190,[-0.21000025]
191,[-0.21000025]
192,[0.82009983]
193,[-0.21000025]
194,[-0.21000025]
195,[-0.21000025]
196,[0.92840004]
197,[-0.21000025]
198,[-0.21000025]
199,[-0.21000025]
200,[-0.21000025]
201,[0.9344001]
202,[-0.21000025]
203,[-0.21000025]
204,[-0.21000025]
205,[0.9913]
206,[-0.21000025]
207,[-0.21000025]
208,[-0.21000025]
209,[-0.21000025]
210,[0.9792]
211,[-0.21000025]
212,[-0.21000025]
213,[-0.21000025]
214,[-0.21000025]
215,[0.8647999]
216,[-0.21000025]
217,[-0.21000025]
218,[0.93160003]
219,[-0.21000025]
220,[-0.21000025]
221,[-0.21000025]
222,[-0.21000025]
223,[-0.21000025]
224,[0.79849976]
225,[-0.21000025]
226,[-0.21000025]
227,[-0.21000025]
228,[-0.21000025]
229,[-0.21000025]
230,[-0.21000025]
231,[0.93130004]
232,[-0.21000025]
233,[-0.21000025]
234,[0.9717]
235,[-0.21000025]
236,[-0.21000025]
237,[-0.21000025]
238,[-0.21000025]
239,[-0.21000025]
240,[-0.21000025]
241,[-0.21000025]
242,[0.9218]
243,[-0.21000025]
244,[-0.21000025]
245,[-0.21000025]
246,[-0.21000025]
247,[0.9916]
248,[-0.21000025]
249,[-0.21000025]
250,[-0.21000025]
251,[0.9216]
252,[-0.21000025]
253,[0.9115]
254,[-0.21000025]
255,[-0.21000025]
256,[-0.21000025]
257,[-0.21000025]
258,[-0.21000025]
259,[-0.21000025]
260,[-0.21000025]
261,[-0.21000025]
262,[-0.21000025]
263,[-0.21000025]
264,[-0.21000025]
265,[-0.21000025]
266,[-0.21000025]
267,[0.8285998]
268,[-0.21000025]
269,[-0.21000025]
270,[-0.21000025]
271,[-0.21000025]
272,[-0.21000025]
273,[-0.21000025]
274,[-0.21000025]
275,[-0.21000025]
276,[-0.21000025]
277,[0.97980005]
278,[0.9452]
279,[-0.21000025]
280,[-0.21000025]
281,[0.93820006]
282,[-0.21000025]
283,[-0.21000025]
284,[-0.21000025]
285,[-0.21000025]
286,[-0.21000025]
287,[-0.21000025]
288,[-0.21000025]
289,[-0.21000025]
290,[-0.21000025]
291,[-0.21000025]
292,[-0.21000025]
293,[-0.21000025]
294,[-0.21000025]
295,[-0.21000025]
296,[-0.21000025]
297,[-0.21000025]
298,[-0.21000025]
299,[-0.21000025]
300,[-0.21000025]
301,[-0.21000025]
302,[-0.21000025]
303,[0.957]
304,[-0.21000025]
305,[-0.21000025]
306,[-0.21000025]
307,[-0.21000025]
308,[-0.21000025]
309,[-0.21000025]
310,[-0.21000025]
311,[-0.21000025]
312,[-0.21000025]
313,[-0.21000025]
314,[-0.21000025]
315,[-0.21000025]
316,[-0.21000025]
317,[-0.21000025]
318,[0.8463999]
319,[-0.21000025]
320,[-0.21000025]
321,[-0.21000025]
322,[-0.21000025]
323,[-0.21000025]
324,[-0.21000025]
325,[-0.21000025]
326,[-0.21000025]
327,[0.8007998]
328,[-0.21000025]
329,[-0.21000025]
330,[-0.21000025]
331,[-0.21000025]
332,[-0.21000025]
333,[-0.21000025]
334,[-0.21000025]
335,[-0.21000025]
336,[-0.21000025]
337,[-0.21000025]
338,[-0.21000025]
339,[-0.21000025]
340,[-0.21000025]
341,[0.83489984]
342,[-0.21000025]
343,[-0.21000025]
344,[-0.21000025]
345,[-0.21000025]
346,[0.9698]
347,[-0.21000025]
348,[-0.21000025]
349,[-0.21000025]
350,[-0.21000025]
351,[-0.21000025]
352,[-0.21000025]
353,[-0.21000025]
354,[-0.21000025]
355,[-0.21000025]
356,[0.79949975]
357,[-0.21000025]
358,[-0.21000025]
359,[-0.21000025]
360,[0.7983998]
361,[-0.21000025]
362,[0.9652]
363,[-0.21000025]
364,[-0.21000025]
365,[-0.21000025]
366,[0.80389977]
367,[-0.21000025]
368,[-0.21000025]
369,[-0.21000025]
370,[-0.21000025]
371,[-0.21000025]
372,[-0.21000025]
373,[-0.21000025]
374,[-0.21000025]
375,[-0.21000025]
376,[0.9401001]
377,[-0.21000025]
378,[-0.21000025]
379,[-0.21000025]
380,[-0.21000025]
381,[-0.21000025]
382,[-0.21000025]
383,[-0.21000025]
384,[-0.21000025]
385,[-0.21000025]
386,[-0.21000025]
387,[0.82889986]
388,[-0.21000025]
389,[-0.21000025]
390,[-0.21000025]
391,[-0.21000025]
392,[0.91080004]
393,[0.9894]
394,[-0.21000025]
395,[-0.21000025]
396,[-0.21000025]
397,[-0.21000025]
398,[-0.21000025]
399,[-0.21000025]
400,[-0.21000025]
401,[0.8503999]
402,[0.8814]
403,[-0.21000025]
404,[-0.21000025]
405,[-0.21000025]
406,[-0.21000025]
407,[-0.21000025]
408,[-0.21000025]
409,[-0.21000025]
410,[-0.21000025]
411,[-0.21000025]
412,[-0.21000025]
413,[-0.21000025]
414,[-0.21000025]
415,[-0.21000025]
416,[-0.21000025]
417,[0.9067]
418,[-0.21000025]
419,[0.87539995]
420,[-0.21000025]
421,[-0.21000025]
422,[0.9066]
423,[-0.21000025]
424,[-0.21000025]
425,[-0.21000025]
426,[-0.21000025]
427,[-0.21000025]
428,[0.8089998]
429,[-0.21000025]
430,[-0.21000025]
431,[-0.21000025]
432,[-0.21000025]
433,[-0.21000025]
434,[-0.21000025]
435,[-0.21000025]
436,[-0.21000025]
437,[-0.21000025]
438,[-0.21000025]
439,[-0.21000025]
440,[-0.21000025]
441,[0.9759]
442,[-0.21000025]
443,[-0.21000025]
444,[-0.21000025]
445,[-0.21000025]
446,[-0.21000025]
447,[-0.21000025]
448,[-0.21000025]
449,[-0.21000025]
450,[-0.21000025]
451,[-0.21000025]
452,[-0.21000025]
453,[-0.21000025]
454,[-0.21000025]
455,[-0.21000025]
456,[-0.21000025]
457,[-0.21000025]
458,[0.94400007]
459,[0.85739994]
460,[-0.21000025]
461,[-0.21000025]
462,[-0.21000025]
463,[-0.21000025]
