#{"t_start": 1725409608.3540864, "env_id": "VizdoomPredictPosition-v0"}
r,l,t
-0.063,16,0.483721
-0.095,24,0.491959
-0.075,19,0.498454
-0.087,22,0.507726
-0.063,16,0.515324
-0.091,23,0.523431
-0.079,20,0.530128
-0.071,18,0.536291
-0.063,16,0.543213
-0.063,16,0.549461
-0.059,15,0.555204
-0.087,22,0.568398
-0.099,25,0.581319
-0.063,16,0.588552
0.951,13,0.594346
-0.067,17,0.600296
-0.059,15,0.605743
-0.091,23,0.614011
-0.059,15,0.61954
-0.087,22,0.626735
-0.063,16,0.632569
-0.071,18,0.63893
-0.063,16,0.644827
0.934,17,0.650844
-0.063,16,0.656809
-0.087,22,0.664471
-0.071,18,0.670591
-0.067,17,3.889707
-0.071,18,3.896613
-0.079,20,3.903527
-0.063,16,3.909091
-0.083,21,3.916282
-0.059,15,3.922746
-0.075,19,3.930126
-0.067,17,3.936136
-0.067,17,3.942223
-0.091,23,3.951925
-0.075,19,3.960128
-0.095,24,3.970086
-0.071,18,3.9771
-0.071,18,3.983459
-0.063,16,3.98927
-0.059,15,3.994618
-0.059,15,4.000052
-0.079,20,4.006929
0.945,14,4.011938
-0.083,21,4.018965
-0.059,15,4.024246
-0.059,15,4.029619
-0.059,15,4.034869
-0.063,16,4.041794
-0.071,18,4.049704
-0.091,23,4.059409
-0.067,17,4.0671
-0.067,17,4.07408
-0.075,19,7.187685
-0.059,15,7.196865
-0.087,22,7.209867
-0.071,18,7.216713
-0.063,16,7.222481
-0.063,16,7.229006
-0.063,16,7.238146
-0.059,15,7.25462
-0.063,16,7.262792
-0.083,21,7.274816
-0.151,38,7.287686
-0.091,23,7.296134
-0.059,15,7.301421
-0.075,19,7.307968
-0.059,15,7.313917
-0.063,16,7.319578
-0.107,27,7.328444
-0.083,21,7.335501
-0.067,17,7.341354
-0.067,17,7.347043
-0.067,17,7.352908
-0.067,17,7.358826
-0.075,19,7.365115
-0.059,15,7.370318
-0.083,21,7.377225
-0.083,21,7.384321
-0.083,21,10.72014
0.947,14,10.726735
-0.075,19,10.734713
-0.107,27,10.749669
-0.071,18,10.756953
-0.059,15,10.762256
-0.071,18,10.768384
-0.067,17,10.774439
-0.067,17,10.780304
-0.075,19,10.78666
-0.071,18,10.793012
-0.071,18,10.799325
-0.063,16,10.80509
-0.071,18,10.81121
-0.095,24,10.81929
-0.075,19,10.825706
-0.067,17,10.831608
-0.071,18,10.837724
-0.079,20,10.844401
-0.079,20,10.851292
0.957,11,10.855411
-0.059,15,10.860781
-0.063,16,10.866399
-0.071,18,10.872826
-0.059,15,10.878234
-0.063,16,10.883886
-0.079,20,10.890634
-0.063,16,10.896374
-0.067,17,14.254553
-0.115,29,14.265353
-0.063,16,14.272296
-0.071,18,14.281791
-0.063,16,14.288526
-0.063,16,14.295597
0.948,13,14.30122
-0.067,17,14.307417
-0.111,28,14.317914
-0.071,18,14.324551
-0.075,19,14.331525
-0.071,18,14.338409
-0.083,21,14.346102
0.947,14,14.351617
-0.083,21,14.359344
-0.059,15,14.365428
-0.067,17,14.371922
-0.075,19,14.379065
-0.075,19,14.386298
-0.067,17,14.392929
-0.095,24,14.401359
-0.071,18,14.408335
-0.059,15,14.414304
-0.071,18,14.421296
-0.059,15,14.427264
-0.067,17,14.43379
-0.091,23,14.442076
-0.067,17,17.617215
-0.067,17,17.624099
-0.063,16,17.630041
-0.075,19,17.636497
-0.083,21,17.643627
-0.067,17,17.649494
-0.115,29,17.659282
-0.107,27,17.668015
-0.063,16,17.674464
-0.059,15,17.680325
-0.075,19,17.687557
0.957,11,17.691761
-0.059,15,17.697428
-0.067,17,17.703351
-0.079,20,17.709923
-0.075,19,17.716298
-0.071,18,17.722539
-0.103,26,17.73072
-0.087,22,17.738324
0.953,12,17.743865
-0.063,16,17.751064
-0.091,23,17.76069
-0.059,15,17.767237
0.937,16,17.774219
-0.071,18,17.78216
-0.087,22,17.791542
-0.071,18,17.799431
-0.063,16,21.041236
-0.083,21,21.049732
-0.087,22,21.057797
-0.059,15,21.063139
-0.059,15,21.068314
-0.067,17,21.074267
-0.063,16,21.079823
-0.067,17,21.085698
-0.067,17,21.091767
-0.067,17,21.097638
-0.059,15,21.103005
-0.099,25,21.111766
-0.067,17,21.117919
-0.083,21,21.125909
-0.059,15,21.133162
-0.063,16,21.141112
-0.063,16,21.148309
-0.063,16,21.155085
-0.071,18,21.162982
-0.063,16,21.170099
-0.067,17,21.176993
-0.059,15,21.18246
-0.059,15,21.187711
-0.067,17,21.193552
-0.059,15,21.198845
-0.075,19,21.206552
-0.079,20,21.213356
-0.059,15,21.219289
-0.059,15,21.226929
-0.063,16,21.234743
-0.067,17,24.495837
-0.075,19,24.504017
-0.059,15,24.510745
-0.059,15,24.517508
-0.075,19,24.524768
-0.067,17,24.531265
-0.083,21,24.538924
-0.063,16,24.545034
