#{"t_start": 1725425495.2452998, "env_id": "VizdoomPredictPosition-v0"}
r,l,t
-0.075,19,0.2606
0.959,11,0.291108
-0.071,18,0.346447
-0.063,16,0.410907
-0.067,17,0.463945
-0.063,16,0.518951
-0.063,16,0.573167
-0.067,17,0.625299
-0.063,16,0.676281
-0.075,19,0.733775
-0.087,22,0.814261
-0.063,16,0.866476
-0.063,16,0.932934
-0.095,24,1.022608
-0.059,15,1.076724
-0.071,18,1.141045
-0.075,19,1.212365
-0.059,15,1.269562
-0.063,16,1.319949
0.945,14,1.361269
-0.079,20,1.422176
-0.083,21,1.485674
-0.071,18,1.54058
-0.075,19,1.592689
-0.091,23,1.667737
-0.063,16,1.723241
-0.095,24,1.793321
0.926,19,1.865007
-0.075,19,8.06118
-0.063,16,8.108263
-0.071,18,8.164213
-0.059,15,8.209412
-0.063,16,8.262679
0.944,14,8.310852
-0.075,19,8.368258
-0.071,18,8.434435
-0.063,16,8.490473
-0.083,21,8.556075
-0.063,16,8.621681
-0.059,15,8.679684
-0.075,19,8.731377
-0.087,22,8.798414
-0.063,16,8.849872
-0.095,24,8.937012
-0.071,18,8.992899
-0.087,22,9.058328
-0.063,16,9.119863
-0.075,19,9.181571
-0.059,15,9.227476
-0.059,15,9.274661
-0.079,20,9.340183
-0.071,18,9.398912
0.948,13,9.442662
-0.059,15,9.489656
-0.075,19,9.552383
-0.083,21,9.628308
-0.063,16,15.061536
-0.063,16,15.117736
-0.071,18,15.180377
-0.059,15,15.239603
-0.063,16,15.302821
-0.059,15,15.341898
-0.099,25,15.421227
-0.067,17,15.48469
-0.063,16,15.532296
-0.079,20,15.597315
-0.063,16,15.650107
-0.079,20,15.708934
-0.075,19,15.77969
-0.067,17,15.845346
-0.075,19,15.901925
-0.063,16,15.950917
-0.063,16,15.998125
-0.079,20,16.064685
-0.075,19,16.13305
-0.087,22,16.198997
0.948,13,16.231329
0.933,17,16.29271
-0.059,15,16.340047
-0.063,16,16.393768
-0.135,34,16.47983
-0.071,18,16.537751
-0.071,18,16.584109
-0.071,18,22.891188
-0.083,21,22.962604
-0.075,19,23.028589
-0.071,18,23.110933
-0.071,18,23.162913
-0.071,18,23.232584
0.948,13,23.28156
-0.059,15,23.32536
-0.067,17,23.385626
-0.063,16,23.440231
