Episodio,Puntaje
1,[0.911]
2,[0.8340001]
3,[-0.09100001]
4,[-0.09500001]
5,[-0.071]
6,[0.905]
7,[0.878]
8,[-0.23499984]
9,[-0.059]
10,[-0.09500001]
11,[-0.059]
12,[-0.059]
13,[-0.2509998]
14,[-0.059]
15,[-0.087]
16,[-0.059]
17,[-0.06300001]
18,[0.77400017]
19,[-0.059]
20,[-0.059]
21,[-0.059]
22,[0.8150001]
23,[0.77500015]
24,[-0.059]
25,[-0.079]
26,[0.7910001]
27,[-0.2999999]
28,[-0.24299982]
29,[-0.059]
30,[-0.059]
31,[0.959]
32,[-0.15899996]
33,[-0.059]
34,[-0.059]
35,[-0.059]
36,[-0.083]
37,[-0.059]
38,[-0.059]
39,[-0.17499994]
40,[-0.071]
41,[-0.14699998]
42,[0.7700002]
43,[-0.067]
44,[-0.059]
45,[-0.06300001]
46,[0.837]
47,[-0.059]
48,[-0.059]
49,[-0.059]
50,[-0.23499984]
51,[0.7960001]
52,[0.949]
53,[-0.12700002]
54,[0.836]
55,[-0.16299996]
56,[-0.059]
57,[-0.059]
58,[-0.059]
59,[-0.06300001]
60,[-0.071]
61,[-0.059]
62,[-0.19099991]
63,[-0.059]
64,[-0.059]
65,[-0.079]
66,[-0.075]
67,[-0.059]
68,[0.8040001]
69,[-0.059]
70,[0.84700006]
71,[-0.059]
72,[-0.11900001]
73,[-0.079]
74,[-0.083]
75,[-0.059]
76,[0.913]
77,[-0.059]
78,[-0.071]
79,[-0.2999999]
80,[0.855]
81,[-0.09900001]
82,[0.86]
83,[0.71900016]
84,[0.88]
85,[-0.12700002]
86,[0.90099996]
87,[0.7850001]
88,[-0.14699998]
89,[0.8260001]
90,[-0.1949999]
91,[0.81700003]
92,[-0.067]
93,[-0.09100001]
94,[0.88899994]
95,[0.86399996]
96,[-0.059]
97,[0.83500004]
98,[0.7640002]
99,[0.7320002]
100,[-0.075]
101,[-0.059]
102,[-0.059]
103,[-0.09100001]
104,[-0.09500001]
105,[-0.13100001]
106,[-0.12700002]
107,[0.8160001]
108,[0.884]
109,[0.861]
110,[-0.15099998]
111,[-0.27099982]
112,[-0.23099984]
113,[-0.083]
114,[-0.059]
115,[-0.059]
116,[-0.059]
117,[-0.15499997]
118,[-0.15499997]
119,[0.94]
120,[0.80500007]
121,[-0.15099998]
122,[0.88600004]
123,[-0.09100001]
124,[-0.09100001]
125,[0.927]
126,[0.8220001]
127,[0.89199996]
128,[-0.11500001]
129,[0.7830002]
130,[0.77100015]
131,[-0.059]
132,[-0.15099998]
133,[-0.059]
134,[-0.17099994]
135,[-0.059]
136,[-0.059]
137,[-0.059]
138,[-0.20699988]
139,[-0.2999999]
140,[-0.06300001]
141,[0.81700003]
142,[-0.059]
143,[-0.059]
144,[-0.09100001]
145,[-0.2999999]
146,[-0.09500001]
147,[0.859]
148,[-0.059]
149,[0.78100014]
150,[0.7430002]
151,[-0.067]
152,[-0.11500001]
153,[0.867]
154,[-0.059]
155,[-0.06300001]
156,[-0.059]
157,[0.7360002]
158,[-0.059]
159,[-0.079]
160,[-0.079]
161,[-0.059]
162,[0.81900007]
163,[-0.059]
164,[0.863]
165,[0.89]
166,[-0.10300001]
167,[-0.071]
168,[-0.059]
169,[-0.135]
170,[0.8230001]
171,[0.8150001]
172,[0.89699996]
173,[-0.059]
174,[-0.059]
175,[-0.1949999]
176,[-0.09500001]
177,[-0.059]
178,[-0.083]
179,[-0.059]
180,[0.7930001]
181,[-0.2589998]
182,[-0.135]
183,[-0.071]
184,[0.865]
185,[-0.059]
186,[-0.059]
187,[0.7660002]
188,[-0.067]
189,[-0.10300001]
190,[-0.10300001]
191,[0.85800004]
192,[-0.059]
193,[0.79400015]
194,[0.888]
195,[0.7890001]
196,[-0.059]
197,[-0.059]
198,[-0.059]
199,[0.79800016]
200,[-0.071]
201,[-0.067]
202,[-0.059]
203,[-0.059]
204,[-0.139]
205,[-0.21899986]
206,[0.8080001]
207,[-0.059]
208,[-0.059]
209,[-0.22299986]
210,[0.7470002]
211,[0.7550002]
212,[-0.059]
213,[0.89199996]
214,[-0.06300001]
215,[-0.083]
216,[-0.09900001]
217,[0.8010001]
218,[-0.067]
219,[0.7770001]
220,[0.7820002]
221,[-0.059]
222,[-0.079]
223,[0.7930001]
224,[-0.083]
225,[0.80500007]
226,[0.8040001]
227,[-0.09100001]
228,[-0.2999999]
229,[-0.059]
230,[-0.079]
231,[-0.059]
232,[0.951]
233,[-0.2509998]
234,[0.84200007]
235,[-0.059]
236,[-0.059]
237,[-0.059]
238,[0.878]
239,[0.899]
240,[-0.059]
241,[0.75000024]
242,[0.82800007]
243,[-0.059]
244,[-0.139]
245,[0.89]
246,[0.928]
247,[-0.059]
248,[-0.12700002]
249,[-0.087]
250,[-0.059]
251,[0.7450002]
252,[-0.21899986]
253,[-0.2999999]
