Episodio,Puntaje
1,[0.95199996]
2,[0.8130001]
3,[0.958]
4,[-0.06300001]
5,[-0.2999999]
6,[0.928]
7,[0.89199996]
8,[0.906]
9,[0.936]
10,[0.83100003]
11,[0.949]
12,[-0.087]
13,[0.943]
14,[-0.071]
15,[0.96]
16,[0.941]
17,[0.8220001]
18,[0.943]
19,[-0.18699992]
20,[0.95699996]
21,[0.938]
22,[0.879]
23,[0.86399996]
24,[0.8150001]
25,[0.79800016]
26,[-0.06300001]
27,[0.845]
28,[0.82800007]
29,[0.8100001]
30,[0.92499995]
31,[0.95000005]
32,[-0.22299986]
33,[0.913]
34,[0.82900006]
35,[0.943]
36,[-0.06300001]
37,[0.937]
38,[0.845]
39,[0.92399997]
40,[0.8160001]
41,[-0.139]
42,[0.944]
43,[-0.139]
44,[0.84200007]
45,[0.928]
46,[0.948]
47,[0.948]
48,[0.89699996]
49,[0.93]
50,[-0.2999999]
51,[-0.2999999]
52,[-0.087]
53,[-0.071]
54,[0.931]
55,[0.958]
56,[-0.12300001]
57,[0.79000014]
58,[-0.079]
59,[0.956]
60,[-0.13100001]
61,[0.93]
62,[-0.06300001]
63,[0.8010001]
64,[0.949]
65,[-0.06300001]
66,[0.8180001]
67,[0.92399997]
68,[0.95199996]
69,[0.7700002]
70,[0.841]
71,[0.951]
72,[-0.071]
73,[-0.19099991]
74,[0.82000005]
75,[-0.12700002]
76,[0.944]
77,[0.94200003]
78,[0.936]
79,[-0.1949999]
80,[0.894]
81,[0.92399997]
82,[0.916]
83,[0.8140001]
84,[-0.059]
85,[0.923]
86,[0.832]
87,[0.78600013]
88,[-0.059]
89,[0.8110001]
90,[0.91800004]
91,[0.956]
92,[-0.059]
93,[0.81700003]
94,[-0.06300001]
95,[-0.067]
96,[0.915]
97,[0.77900016]
98,[0.86399996]
99,[0.932]
100,[0.956]
101,[0.95299995]
102,[0.931]
103,[-0.06300001]
104,[0.895]
105,[0.93299997]
106,[0.94200003]
107,[0.8130001]
108,[0.875]
109,[0.94]
110,[-0.059]
111,[0.95199996]
112,[0.859]
113,[0.954]
114,[0.949]
115,[0.7890001]
116,[0.91899997]
117,[0.956]
118,[0.89299995]
119,[-0.087]
120,[0.941]
121,[-0.2999999]
122,[0.8040001]
123,[-0.10700001]
124,[-0.071]
125,[-0.075]
126,[0.849]
127,[0.937]
128,[0.923]
129,[-0.059]
130,[0.83100003]
131,[-0.14699998]
132,[0.92899996]
133,[0.95199996]
134,[0.91999996]
135,[-0.2999999]
136,[-0.2999999]
137,[0.92399997]
138,[-0.059]
139,[0.82000005]
140,[0.936]
141,[0.8150001]
142,[0.79000014]
143,[0.906]
144,[0.949]
145,[0.89299995]
146,[0.86200005]
147,[-0.23099984]
148,[0.941]
149,[-0.067]
150,[0.959]
151,[0.7920001]
152,[0.923]
153,[0.86]
154,[0.92899996]
155,[-0.059]
156,[0.891]
157,[0.93299997]
158,[0.877]
159,[0.9]
160,[0.96]
161,[-0.17899993]
162,[0.8070001]
163,[-0.11500001]
164,[-0.17099994]
165,[-0.09900001]
166,[-0.12700002]
167,[0.81900007]
168,[0.7960001]
169,[0.956]
170,[0.962]
171,[0.80200016]
172,[-0.06300001]
173,[0.96]
174,[0.95199996]
175,[0.8220001]
176,[-0.1949999]
177,[0.937]
178,[0.959]
179,[-0.2999999]
180,[0.7700002]
181,[-0.059]
182,[0.95000005]
183,[0.913]
184,[-0.06300001]
185,[-0.15499997]
186,[0.851]
187,[-0.087]
188,[0.7960001]
189,[0.96]
190,[0.859]
191,[0.95299995]
192,[0.837]
193,[0.78400016]
194,[0.956]
195,[0.85800004]
196,[0.9]
197,[0.8130001]
198,[-0.18699992]
199,[-0.15899996]
200,[0.948]
201,[0.94200003]
202,[0.928]
203,[0.8180001]
204,[0.94200003]
205,[0.95699996]
206,[0.96]
207,[0.939]
208,[-0.09500001]
209,[-0.15499997]
210,[0.928]
211,[0.84000003]
212,[0.92899996]
213,[0.921]
214,[-0.2999999]
215,[0.958]
216,[0.912]
217,[0.86899996]
218,[0.932]
219,[0.855]
220,[-0.18299992]
221,[0.943]
222,[0.936]
223,[0.92399997]
224,[0.91899997]
225,[0.863]
226,[-0.15099998]
227,[0.85400003]
228,[0.84700006]
229,[-0.059]
230,[-0.087]
231,[0.8220001]
232,[0.935]
233,[-0.059]
234,[-0.075]
235,[-0.059]
236,[-0.059]
237,[0.895]
238,[-0.059]
239,[-0.2999999]
240,[0.94]
241,[0.79800016]
242,[0.938]
243,[0.944]
244,[-0.11900001]
245,[0.86200005]
246,[0.8460001]
247,[0.95199996]
248,[0.877]
249,[0.95000005]
250,[0.8230001]
251,[0.95299995]
252,[0.841]
253,[0.95699996]
254,[-0.087]
255,[-0.087]
256,[0.934]
257,[-0.087]
258,[-0.067]
259,[-0.12700002]
260,[-0.059]
261,[0.95199996]
262,[-0.15899996]
263,[0.956]
264,[-0.2999999]
265,[0.95699996]
266,[0.932]
267,[-0.079]
268,[0.938]
269,[0.83100003]
270,[-0.059]
271,[0.83300006]
272,[-0.17899993]
273,[-0.16699995]
274,[0.92200005]
275,[0.94600004]
276,[0.8270001]
277,[0.934]
278,[0.935]
279,[-0.067]
280,[-0.075]
281,[0.895]
282,[0.934]
283,[0.94200003]
284,[-0.2999999]
285,[-0.2999999]
286,[-0.087]
287,[0.852]
288,[0.82400006]
289,[-0.087]
290,[-0.12300001]
291,[0.91899997]
292,[0.7780002]
293,[0.943]
294,[-0.1949999]
295,[0.84200007]
296,[0.936]
297,[-0.27899984]
298,[0.94]
299,[-0.059]
300,[0.81900007]
301,[0.941]
302,[-0.21899986]
303,[-0.18299992]
304,[-0.15899996]
305,[-0.13100001]
306,[0.84200007]
307,[0.96]
308,[0.867]
309,[-0.059]
310,[0.936]
311,[0.91]
312,[0.92399997]
313,[0.7350002]
314,[-0.1989999]
315,[-0.12300001]
316,[-0.075]
317,[0.8060001]
318,[-0.2999999]
319,[0.945]
320,[-0.22299986]
321,[0.91400003]
322,[0.91]
323,[0.865]
324,[0.80500007]
325,[0.95299995]
326,[0.926]
327,[0.949]
328,[0.89599997]
329,[0.92399997]
330,[-0.067]
331,[0.926]
332,[-0.17099994]
333,[0.947]
334,[-0.09900001]
335,[0.954]
336,[0.939]
337,[0.945]
338,[0.8100001]
339,[0.958]
340,[0.94]
341,[0.7350002]
342,[-0.059]
343,[0.932]
344,[0.82500005]
345,[0.945]
346,[0.82500005]
347,[0.94600004]
348,[0.938]
349,[0.83800006]
350,[-0.11900001]
351,[0.941]
352,[0.8260001]
353,[-0.16699995]
354,[0.906]
355,[0.93]
356,[0.92200005]
357,[0.89199996]
358,[0.94600004]
359,[0.79500014]
360,[0.941]
361,[0.90099996]
362,[-0.059]
363,[0.898]
364,[-0.059]
365,[0.91]
366,[-0.14699998]
367,[0.92499995]
368,[0.949]
369,[0.934]
370,[-0.2999999]
371,[-0.059]
372,[0.84400004]
373,[0.959]
374,[0.84800005]
375,[-0.059]
376,[-0.14299999]
377,[0.96]
378,[0.9]
379,[0.921]
380,[0.944]
381,[0.89599997]
382,[-0.2999999]
383,[0.923]
384,[-0.06300001]
385,[0.944]
386,[0.959]
387,[0.83800006]
388,[0.96099997]
389,[0.948]
390,[-0.21899986]
391,[0.8150001]
392,[-0.059]
393,[0.852]
394,[-0.09100001]
395,[0.7920001]
396,[0.836]
397,[0.935]
398,[-0.2999999]
399,[-0.071]
400,[-0.2999999]
401,[0.8080001]
402,[0.956]
403,[-0.06300001]
404,[0.867]
405,[-0.2999999]
406,[-0.06300001]
407,[0.8110001]
408,[0.937]
409,[0.956]
410,[0.94]
411,[0.937]
412,[-0.059]
413,[-0.075]
414,[0.8070001]
415,[0.95299995]
416,[0.92499995]
417,[0.861]
418,[0.93]
419,[0.928]
420,[0.903]
421,[0.85]
422,[0.87]
423,[0.94600004]
424,[0.95699996]
425,[-0.071]
426,[0.931]
427,[-0.059]
428,[0.92899996]
429,[-0.2999999]
430,[0.92200005]
431,[-0.21499987]
432,[0.89699996]
433,[0.82900006]
434,[0.8340001]
435,[0.83300006]
436,[-0.059]
437,[0.95299995]
438,[0.956]
439,[0.92200005]
440,[0.7920001]
441,[0.79800016]
442,[-0.09100001]
443,[0.951]
444,[0.94200003]
445,[0.837]
446,[0.958]
447,[-0.059]
448,[0.932]
449,[0.923]
450,[0.895]
451,[0.96099997]
452,[-0.11500001]
453,[-0.059]
454,[0.905]
455,[-0.087]
456,[-0.059]
457,[-0.16699995]
458,[-0.139]
459,[0.8220001]
460,[0.92399997]
461,[0.948]
462,[0.87]
463,[-0.059]
464,[0.84000003]
465,[0.951]
466,[0.95199996]
467,[-0.087]
468,[0.96099997]
469,[0.868]
470,[0.855]
471,[-0.087]
472,[-0.059]
473,[-0.059]
474,[0.934]
475,[0.95699996]
476,[0.84300005]
477,[0.85400003]
478,[0.894]
479,[-0.15099998]
480,[0.917]
481,[0.832]
482,[0.895]
483,[0.949]
484,[-0.059]
485,[-0.079]
486,[0.8270001]
487,[-0.2999999]
488,[-0.071]
489,[0.78000015]
490,[-0.059]
491,[0.91899997]
492,[0.8460001]
493,[0.81900007]
494,[0.82800007]
495,[-0.071]
496,[0.909]
497,[0.932]
498,[0.934]
499,[0.945]
500,[0.94]
501,[0.85400003]
502,[0.7960001]
503,[-0.2999999]
504,[0.84400004]
505,[0.894]
506,[0.962]
507,[0.92200005]
508,[-0.17099994]
509,[0.94600004]
510,[0.80500007]
511,[0.94]
512,[0.94600004]
513,[0.941]
514,[-0.09900001]
515,[0.913]
516,[-0.083]
517,[0.90099996]
518,[-0.2999999]
519,[0.8160001]
520,[0.852]
521,[-0.2999999]
522,[0.84000003]
523,[0.86]
524,[0.944]
525,[0.8120001]
526,[0.89599997]
527,[-0.15899996]
528,[-0.079]
529,[0.7890001]
530,[-0.2999999]
531,[0.8040001]
532,[0.8160001]
533,[0.938]
534,[0.949]
535,[0.7780002]
536,[0.94600004]
537,[0.91999996]
538,[-0.06300001]
539,[0.8040001]
540,[0.94600004]
541,[0.941]
542,[-0.2999999]
543,[0.947]
544,[0.79000014]
545,[-0.059]
546,[0.956]
547,[0.84700006]
548,[-0.059]
549,[0.7870001]
550,[0.832]
551,[0.902]
552,[-0.059]
553,[0.949]
554,[-0.2999999]
555,[0.845]
556,[0.96099997]
557,[0.916]
558,[-0.059]
559,[0.882]
560,[-0.16699995]
561,[0.95699996]
562,[0.888]
563,[0.944]
564,[0.7770001]
565,[0.94]
566,[0.958]
567,[0.947]
568,[0.7770001]
569,[0.95199996]
570,[0.95699996]
571,[0.7920001]
572,[0.904]
573,[0.90099996]
574,[0.943]
575,[0.8070001]
576,[0.77500015]
577,[0.948]
578,[0.87299997]
579,[-0.067]
580,[-0.087]
581,[-0.059]
582,[0.91899997]
583,[0.908]
584,[0.8090001]
585,[0.7890001]
586,[-0.19099991]
587,[0.955]
588,[-0.059]
589,[0.94600004]
590,[0.935]
591,[0.8340001]
592,[0.915]
593,[0.948]
594,[0.915]
595,[0.956]
596,[-0.18699992]
597,[0.911]
598,[-0.059]
599,[0.916]
600,[-0.17899993]
601,[0.955]
602,[0.852]
603,[0.95199996]
604,[0.79800016]
605,[0.943]
606,[-0.06300001]
607,[-0.087]
608,[0.91800004]
609,[0.898]
610,[0.89299995]
611,[0.916]
612,[0.945]
613,[0.82500005]
614,[0.8220001]
615,[-0.059]
616,[-0.2999999]
617,[-0.059]
618,[-0.059]
619,[0.8270001]
620,[0.94600004]
621,[-0.059]
622,[0.951]
623,[-0.087]
624,[0.856]
625,[0.921]
626,[-0.059]
627,[0.947]
628,[0.85400003]
629,[0.7990001]
630,[-0.06300001]
631,[0.84300005]
632,[-0.087]
633,[-0.059]
634,[-0.059]
635,[0.95199996]
636,[-0.071]
637,[0.931]
638,[0.912]
639,[0.949]
640,[0.84000003]
641,[-0.21099988]
642,[-0.2999999]
643,[-0.071]
644,[0.85400003]
645,[0.932]
646,[0.95199996]
647,[-0.17899993]
648,[-0.2549998]
649,[0.77600014]
650,[0.91899997]
651,[0.954]
652,[-0.059]
653,[0.948]
654,[-0.059]
655,[0.91899997]
656,[0.935]
657,[0.9]
658,[0.947]
659,[-0.059]
660,[0.91400003]
661,[-0.083]
662,[0.83900005]
663,[0.96]
664,[-0.2999999]
665,[0.82000005]
666,[0.954]
667,[0.94]
668,[0.906]
669,[0.861]
670,[-0.071]
671,[0.94200003]
672,[-0.079]
673,[0.8260001]
674,[0.941]
675,[-0.17099994]
676,[0.895]
677,[0.958]
678,[0.947]
679,[0.909]
680,[0.898]
681,[-0.079]
682,[-0.087]
683,[0.954]
684,[0.937]
685,[0.83100003]
686,[-0.2999999]
687,[0.926]
688,[0.904]
689,[0.955]
690,[0.954]
691,[0.948]
692,[0.7920001]
693,[-0.079]
694,[0.904]
695,[-0.18299992]
696,[-0.087]
697,[-0.059]
698,[0.934]
699,[-0.087]
700,[0.93]
701,[0.845]
702,[0.923]
703,[0.94200003]
704,[0.94600004]
705,[-0.06300001]
706,[0.82500005]
707,[0.86899996]
708,[0.956]
709,[0.921]
710,[0.958]
711,[-0.20299989]
712,[0.94]
713,[0.948]
714,[0.91999996]
715,[-0.18699992]
716,[0.836]
717,[0.96099997]
718,[0.86899996]
719,[0.958]
720,[0.94600004]
721,[-0.06300001]
722,[-0.06300001]
723,[0.96]
724,[0.94600004]
725,[0.959]
726,[-0.087]
727,[0.84400004]
728,[0.937]
729,[0.932]
730,[0.8120001]
731,[-0.059]
732,[0.84000003]
733,[0.958]
734,[-0.135]
735,[0.92399997]
736,[-0.23899983]
737,[-0.059]
738,[0.958]
739,[-0.16699995]
740,[0.872]
741,[0.78400016]
742,[0.93299997]
743,[0.936]
744,[0.92200005]
745,[0.955]
746,[0.955]
747,[0.916]
748,[-0.2549998]
749,[0.89199996]
750,[0.92899996]
751,[0.894]
752,[0.92399997]
753,[-0.06300001]
754,[-0.059]
755,[-0.2999999]
756,[0.945]
757,[0.912]
758,[0.82000005]
759,[0.82800007]
760,[0.7630002]
761,[0.91899997]
762,[0.91899997]
763,[0.912]
764,[0.82800007]
765,[0.945]
766,[0.949]
767,[-0.06300001]
768,[0.935]
769,[0.845]
770,[-0.059]
771,[0.923]
772,[-0.083]
773,[-0.2999999]
774,[0.8460001]
775,[0.947]
776,[-0.2629998]
777,[-0.09500001]
778,[0.958]
779,[-0.15899996]
780,[0.936]
781,[0.7590002]
782,[0.92399997]
783,[0.86399996]
784,[-0.071]
785,[-0.19099991]
786,[0.89599997]
787,[0.8000001]
788,[-0.059]
789,[0.95199996]
790,[-0.2999999]
791,[0.927]
792,[0.895]
793,[0.7690002]
794,[0.943]
795,[0.882]
796,[0.872]
797,[0.92499995]
798,[-0.1949999]
799,[0.939]
800,[0.93299997]
801,[-0.2999999]
802,[0.937]
803,[0.911]
804,[0.959]
805,[0.867]
806,[-0.067]
807,[-0.059]
808,[-0.20299989]
809,[0.855]
810,[0.91899997]
811,[0.91]
812,[-0.067]
813,[0.876]
814,[-0.18699992]
815,[0.83300006]
816,[0.916]
817,[-0.075]
818,[0.955]
819,[0.8040001]
820,[0.948]
821,[0.944]
822,[0.83100003]
823,[0.949]
824,[0.82500005]
825,[0.8040001]
826,[-0.059]
827,[0.951]
828,[0.8130001]
829,[-0.14299999]
830,[-0.059]
831,[0.95199996]
832,[0.8460001]
833,[0.907]
834,[-0.059]
835,[0.861]
836,[0.82900006]
837,[0.95299995]
838,[0.89699996]
839,[0.93]
840,[0.867]
841,[0.91400003]
842,[0.96099997]
843,[0.904]
844,[0.94200003]
845,[-0.059]
846,[-0.067]
847,[0.845]
848,[0.82400006]
849,[0.91]
850,[0.856]
851,[-0.071]
852,[0.80500007]
853,[0.899]
854,[-0.083]
855,[0.944]
856,[0.955]
857,[0.95199996]
858,[0.8150001]
859,[0.954]
860,[0.91999996]
861,[-0.059]
862,[0.90099996]
863,[-0.087]
864,[0.928]
865,[0.96099997]
866,[-0.087]
867,[-0.09500001]
868,[0.82500005]
869,[0.8100001]
870,[0.8300001]
871,[0.92399997]
872,[0.923]
873,[-0.059]
874,[0.76100016]
875,[0.908]
876,[0.951]
877,[0.956]
878,[0.8080001]
879,[0.91899997]
880,[0.904]
881,[0.91]
882,[0.92499995]
883,[0.91400003]
884,[0.95299995]
885,[0.938]
886,[0.949]
887,[0.94200003]
888,[0.832]
889,[-0.2999999]
890,[0.87]
891,[0.8270001]
892,[0.95199996]
893,[0.8120001]
894,[0.868]
895,[-0.18299992]
896,[0.945]
897,[-0.06300001]
898,[0.939]
899,[-0.067]
900,[0.884]
901,[0.936]
902,[0.93]
903,[0.92899996]
904,[0.7890001]
905,[0.941]
906,[-0.059]
907,[0.917]
908,[0.948]
909,[0.908]
910,[0.92899996]
911,[-0.19099991]
912,[0.8040001]
913,[0.7880001]
914,[-0.071]
915,[0.88600004]
916,[-0.11900001]
917,[0.836]
918,[0.861]
919,[0.7830002]
920,[0.95000005]
921,[0.84800005]
922,[-0.059]
923,[0.78400016]
924,[-0.059]
925,[0.852]
926,[0.927]
927,[-0.14299999]
928,[0.956]
929,[0.89699996]
930,[-0.087]
931,[-0.087]
932,[-0.14299999]
933,[0.947]
934,[-0.059]
935,[-0.059]
936,[-0.087]
937,[0.867]
938,[-0.087]
939,[0.92899996]
940,[0.92499995]
941,[-0.087]
942,[-0.059]
943,[0.954]
944,[0.948]
945,[0.863]
946,[0.91899997]
947,[0.82000005]
948,[0.949]
949,[0.932]
950,[0.8140001]
951,[-0.059]
952,[0.948]
953,[0.958]
954,[-0.071]
955,[0.89199996]
956,[0.944]
957,[0.937]
958,[0.956]
959,[0.94]
960,[0.849]
961,[-0.09100001]
962,[0.938]
963,[-0.22699985]
964,[0.93]
965,[0.921]
966,[-0.059]
967,[0.931]
968,[0.908]
969,[0.951]
970,[0.867]
971,[0.8140001]
972,[-0.20699988]
973,[0.875]
974,[0.96]
975,[0.91999996]
976,[0.944]
977,[0.876]
978,[0.945]
979,[-0.17499994]
980,[-0.22299986]
981,[-0.059]
982,[-0.059]
983,[0.83100003]
984,[0.89699996]
985,[0.8230001]
986,[0.96]
987,[0.874]
988,[0.8180001]
989,[-0.06300001]
990,[0.87299997]
991,[-0.059]
992,[0.84300005]
993,[0.899]
994,[0.84300005]
995,[0.91999996]
996,[-0.067]
997,[-0.067]
998,[-0.17899993]
999,[0.911]
1000,[0.845]
1001,[0.908]
1002,[0.83100003]
1003,[-0.2999999]
1004,[-0.12700002]
1005,[0.876]
1006,[0.82500005]
1007,[0.8140001]
1008,[0.91899997]
1009,[0.7990001]
1010,[0.943]
1011,[0.94600004]
1012,[0.947]
1013,[0.921]
1014,[0.949]
1015,[-0.075]
1016,[0.8080001]
1017,[0.898]
1018,[0.935]
1019,[0.8070001]
1020,[0.941]
1021,[0.894]
1022,[-0.11500001]
1023,[0.945]
1024,[0.86399996]
1025,[-0.067]
1026,[0.7930001]
1027,[-0.09100001]
1028,[-0.059]
1029,[0.7890001]
1030,[0.941]
1031,[0.92399997]
1032,[0.955]
1033,[0.91800004]
1034,[0.909]
1035,[0.941]
1036,[0.8460001]
1037,[0.81900007]
1038,[0.96]
1039,[0.8230001]
1040,[0.94]
1041,[0.84000003]
1042,[-0.067]
1043,[0.88]
1044,[0.94]
1045,[0.868]
1046,[0.945]
1047,[0.8130001]
1048,[0.913]
1049,[0.93]
1050,[0.8070001]
1051,[0.89299995]
1052,[0.86899996]
1053,[0.7770001]
1054,[0.89199996]
1055,[0.83800006]
