Episodio,Puntaje
1,[-0.06300001]
2,[-0.059]
3,[0.91]
4,[-0.071]
5,[-0.075]
6,[-0.06300001]
7,[-0.067]
8,[-0.079]
9,[-0.059]
10,[-0.067]
11,[-0.09500001]
12,[-0.071]
13,[-0.067]
14,[-0.06300001]
15,[-0.059]
16,[-0.059]
17,[-0.079]
18,[-0.10700001]
19,[-0.071]
20,[-0.067]
21,[-0.06300001]
22,[-0.079]
23,[-0.079]
24,[-0.075]
25,[-0.079]
26,[-0.06300001]
27,[0.962]
28,[0.956]
29,[-0.11100001]
30,[-0.059]
31,[-0.087]
32,[-0.079]
33,[-0.059]
34,[-0.067]
35,[-0.067]
36,[-0.067]
37,[-0.09100001]
38,[-0.06300001]
39,[-0.075]
40,[-0.067]
41,[-0.083]
42,[-0.059]
43,[-0.083]
44,[-0.10700001]
45,[-0.067]
46,[-0.059]
47,[-0.059]
48,[-0.059]
49,[-0.06300001]
50,[-0.06300001]
51,[-0.067]
52,[-0.067]
53,[-0.087]
54,[-0.09100001]
55,[-0.059]
56,[-0.067]
57,[-0.067]
58,[-0.075]
59,[-0.067]
60,[-0.06300001]
61,[-0.067]
62,[-0.071]
63,[-0.087]
64,[-0.067]
65,[-0.071]
66,[-0.075]
67,[-0.087]
68,[-0.067]
69,[-0.059]
70,[-0.083]
71,[-0.059]
72,[0.945]
73,[-0.087]
74,[-0.059]
75,[-0.067]
76,[-0.059]
77,[-0.059]
78,[-0.083]
79,[-0.059]
80,[-0.075]
81,[0.951]
82,[-0.083]
83,[-0.079]
84,[-0.083]
85,[0.894]
86,[-0.10700001]
87,[-0.075]
88,[-0.071]
89,[-0.11900001]
90,[-0.071]
91,[-0.11100001]
92,[-0.067]
93,[-0.10300001]
94,[-0.087]
95,[-0.071]
96,[-0.06300001]
97,[-0.087]
98,[0.94200003]
99,[-0.083]
100,[-0.059]
101,[-0.079]
102,[-0.06300001]
103,[-0.06300001]
104,[-0.071]
105,[-0.075]
106,[-0.067]
107,[-0.06300001]
108,[-0.067]
109,[-0.087]
110,[-0.11100001]
111,[-0.075]
112,[-0.06300001]
113,[-0.087]
114,[-0.059]
115,[-0.059]
116,[-0.06300001]
117,[-0.059]
118,[-0.059]
119,[-0.11100001]
120,[-0.067]
121,[-0.10700001]
122,[-0.059]
123,[-0.071]
124,[-0.059]
125,[-0.075]
126,[-0.067]
127,[0.926]
128,[-0.06300001]
129,[-0.06300001]
130,[-0.06300001]
131,[-0.071]
132,[-0.071]
133,[-0.071]
134,[-0.083]
135,[-0.071]
136,[-0.10300001]
137,[-0.079]
138,[-0.071]
139,[-0.06300001]
140,[-0.059]
141,[0.951]
142,[-0.071]
143,[-0.067]
144,[-0.079]
145,[-0.071]
146,[-0.059]
147,[0.951]
148,[-0.079]
149,[-0.06300001]
150,[-0.059]
151,[-0.059]
152,[-0.075]
153,[-0.06300001]
154,[-0.11100001]
155,[-0.067]
156,[-0.06300001]
157,[-0.083]
158,[0.93299997]
159,[0.96099997]
160,[-0.06300001]
161,[-0.067]
162,[-0.059]
163,[-0.067]
164,[-0.079]
165,[-0.06300001]
166,[-0.06300001]
167,[-0.075]
168,[-0.059]
169,[-0.071]
170,[-0.059]
171,[-0.071]
172,[-0.083]
173,[-0.067]
174,[-0.067]
175,[-0.067]
176,[-0.06300001]
177,[-0.10300001]
178,[-0.09100001]
179,[-0.075]
180,[-0.06300001]
181,[-0.06300001]
182,[-0.071]
183,[-0.059]
184,[-0.059]
185,[-0.067]
186,[-0.059]
187,[-0.075]
188,[0.928]
189,[-0.06300001]
190,[-0.10300001]
191,[-0.06300001]
192,[-0.059]
193,[-0.087]
194,[-0.059]
195,[0.95699996]
196,[-0.079]
197,[-0.059]
198,[-0.059]
199,[-0.059]
200,[-0.059]
201,[-0.06300001]
202,[0.91400003]
203,[-0.071]
204,[-0.09100001]
205,[-0.09900001]
206,[-0.059]
207,[-0.067]
208,[-0.071]
209,[-0.11900001]
210,[-0.079]
211,[-0.083]
212,[-0.075]
213,[-0.09500001]
214,[-0.06300001]
215,[-0.083]
216,[0.939]
217,[0.956]
218,[-0.075]
219,[-0.087]
220,[-0.071]
221,[-0.087]
222,[-0.079]
223,[-0.067]
224,[-0.079]
225,[-0.06300001]
226,[-0.067]
227,[-0.075]
228,[0.939]
229,[-0.059]
230,[-0.067]
231,[-0.079]
232,[-0.06300001]
233,[-0.071]
234,[-0.06300001]
235,[-0.067]
236,[-0.071]
237,[-0.059]
238,[-0.087]
239,[-0.075]
240,[0.95199996]
241,[-0.06300001]
242,[-0.059]
243,[-0.083]
244,[-0.079]
245,[-0.079]
246,[-0.071]
247,[0.935]
248,[-0.06300001]
249,[-0.059]
250,[-0.067]
251,[-0.059]
252,[-0.075]
253,[-0.067]
254,[-0.071]
255,[-0.067]
256,[-0.071]
257,[0.94600004]
258,[-0.071]
259,[-0.071]
260,[-0.059]
261,[-0.11500001]
262,[0.96]
263,[-0.06300001]
264,[-0.06300001]
265,[-0.067]
266,[-0.071]
267,[-0.067]
268,[-0.06300001]
269,[-0.067]
270,[-0.059]
271,[-0.083]
272,[-0.09500001]
273,[-0.06300001]
274,[-0.075]
275,[-0.06300001]
276,[-0.075]
277,[-0.09100001]
278,[-0.067]
279,[-0.09100001]
280,[-0.067]
281,[-0.09100001]
282,[-0.067]
283,[-0.067]
284,[-0.06300001]
285,[-0.09900001]
286,[-0.079]
287,[-0.071]
288,[-0.075]
289,[-0.067]
