#{"t_start": 1725421655.1716151, "env_id": "VizdoomTakeCover-v0"}
r,l,t
239.0,60,0.489275
188.0,47,0.501816
340.0,85,0.524311
110.0,28,0.532023
246.0,62,0.548605
106.0,27,0.556038
147.0,37,0.566048
151.0,38,0.576205
363.0,91,0.600194
250.0,63,3.244705
173.0,44,3.259812
458.0,115,3.291826
388.0,97,3.317648
134.0,34,3.326967
416.0,104,3.355372
287.0,72,5.725519
425.0,107,5.757659
248.0,62,5.774549
164.0,41,5.78601
439.0,110,5.816352
170.0,43,5.828885
170.0,43,5.842069
182.0,46,5.855131
413.0,104,8.516461
214.0,54,8.531998
243.0,61,8.550955
170.0,43,8.563545
447.0,112,8.594693
361.0,91,8.620563
181.0,46,8.634149
187.0,47,10.884294
496.0,124,10.920856
145.0,37,10.931108
199.0,50,10.944386
278.0,70,10.963155
214.0,54,10.978021
208.0,52,10.992468
530.0,133,13.507653
290.0,73,13.527564
147.0,37,13.538599
193.0,49,13.553238
180.0,45,13.566534
290.0,73,13.587898
148.0,37,13.599007
344.0,86,13.623556
358.0,90,15.946327
122.0,31,15.955426
142.0,36,15.966013
361.0,91,15.992191
244.0,61,16.00959
325.0,82,16.032691
189.0,48,16.045858
111.0,28,16.053718
274.0,69,16.077155
158.0,40,18.57042
288.0,72,18.591564
214.0,54,18.607444
265.0,67,18.627374
231.0,58,18.644994
103.0,26,18.652754
362.0,91,18.678721
293.0,74,18.699145
418.0,105,21.649946
196.0,49,21.663294
479.0,120,21.697519
151.0,38,21.709667
397.0,100,21.746188
550.0,138,24.017542
121.0,31,24.027301
293.0,74,24.047554
126.0,32,24.059736
100.0,25,24.068583
368.0,92,24.095952
423.0,106,24.124066
106.0,27,24.13207
186.0,47,24.1454
239.0,60,24.161793
280.0,70,26.459881
133.0,34,26.469316
104.0,26,26.476697
117.0,30,26.485115
184.0,46,26.497657
365.0,92,26.522065
141.0,36,26.531993
250.0,63,26.549022
270.0,68,26.568808
555.0,139,29.250909
658.0,165,29.297864
361.0,91,29.324104
369.0,93,29.350541
505.0,127,32.086441
125.0,32,32.095486
465.0,117,32.126294
131.0,33,32.135758
239.0,60,32.151721
250.0,63,32.168612
461.0,116,32.203711
238.0,60,34.59334
256.0,64,34.611574
310.0,78,34.633152
197.0,50,34.648058
329.0,83,34.670475
118.0,30,34.678987
109.0,28,34.687155
578.0,145,36.911345
379.0,95,36.938547
245.0,62,36.965703
122.0,31,36.977154
134.0,34,36.987362
425.0,107,37.021893
303.0,76,37.04247
424.0,106,39.907597
117.0,30,39.917892
147.0,37,39.928355
232.0,58,39.945116
102.0,26,39.952994
106.0,27,39.967707
354.0,89,39.996122
321.0,81,40.02008
164.0,41,40.032439
304.0,76,42.889632
232.0,58,42.906002
402.0,101,42.935152
521.0,131,42.974011
240.0,60,42.991025
283.0,71,43.012391
300.0,75,45.668766
217.0,55,45.68525
174.0,44,45.697729
463.0,116,45.738485
337.0,85,45.76364
112.0,28,45.772188
374.0,94,45.797399
405.0,102,48.448002
514.0,129,48.48562
218.0,55,48.501762
283.0,71,48.522719
357.0,90,48.548603
416.0,104,48.578418
195.0,49,50.993832
233.0,59,51.011343
135.0,34,51.021706
284.0,71,51.042197
274.0,69,51.062545
311.0,78,51.08547
129.0,33,51.095229
197.0,50,51.109901
473.0,119,53.530726
107.0,27,53.539318
176.0,44,53.552511
494.0,124,53.588026
245.0,62,53.606045
138.0,35,53.616668
173.0,44,53.629818
138.0,35,53.640489
128.0,32,53.65008
165.0,42,53.662749
400.0,100,56.35428
472.0,118,56.391447
132.0,33,56.400721
119.0,30,56.40937
141.0,36,56.419218
122.0,31,56.427835
167.0,42,56.439334
139.0,35,56.449337
357.0,90,59.172008
349.0,88,59.196032
161.0,41,59.207518
398.0,100,59.235278
366.0,92,59.265219
247.0,62,59.282474
279.0,70,59.301999
184.0,46,61.823108
260.0,65,61.842042
252.0,63,61.870996
120.0,30,61.879722
361.0,91,61.906449
155.0,39,61.9206
104.0,26,61.928818
489.0,123,61.96123
262.0,66,64.442434
371.0,93,64.473765
118.0,30,64.482166
523.0,131,64.523836
124.0,31,64.533649
198.0,50,64.549119
194.0,49,64.564675
100.0,25,64.571783
246.0,62,64.589951
312.0,78,67.080334
231.0,58,67.097534
302.0,76,67.120147
273.0,69,67.140961
101.0,26,67.149187
286.0,72,67.170845
320.0,80,67.194369
145.0,37,67.205631
140.0,35,69.891557
401.0,101,69.919685
466.0,117,69.952814
536.0,134,70.014388
149.0,38,70.026664
551.0,138,72.623881
205.0,52,72.638869
156.0,39,72.650728
344.0,86,72.682191
197.0,50,72.701746
384.0,96,72.72772
406.0,102,72.754802
165.0,42,75.717955
303.0,76,75.746075
388.0,97,75.773189
239.0,60,75.794068
370.0,93,75.824427
434.0,109,75.853424
158.0,40,75.86457
401.0,101,78.475317
133.0,34,78.484928
494.0,124,78.523808
157.0,40,78.53775
236.0,59,78.554805
188.0,47,78.568134
484.0,121,81.109641
234.0,59,81.135533
419.0,105,81.18481
304.0,76,81.210239
545.0,137,81.248138
270.0,68,81.267242
186.0,47,81.280472
175.0,44,84.093375
229.0,58,84.109177
357.0,90,84.133168
388.0,97,84.162794
167.0,42,84.17428
276.0,69,84.200818
191.0,48,84.217972
480.0,120,86.774433
463.0,116,86.806982
233.0,59,86.8239
128.0,32,86.83336
512.0,128,86.869422
652.0,163,89.561495
309.0,78,89.587514
243.0,61,89.604907
515.0,129,89.651152
242.0,61,89.668189
256.0,64,89.688781
101.0,26,89.696012
278.0,70,92.412516
428.0,107,92.440926
230.0,58,92.456142
217.0,55,92.470711
402.0,101,92.498618
112.0,28,92.506616
384.0,96,92.547071
216.0,54,95.179433
230.0,58,95.195127
152.0,38,95.205363
106.0,27,95.212758
301.0,76,95.232726
133.0,34,95.242112
213.0,54,95.25661
531.0,133,95.291385
177.0,45,97.966022
545.0,137,98.004974
305.0,77,98.026415
136.0,34,98.036533
150.0,38,98.047611
351.0,88,98.072459
337.0,85,98.096344
145.0,37,100.975135
148.0,37,100.986859
277.0,70,101.01071
253.0,64,101.043078
127.0,32,101.056129
128.0,32,101.067681
135.0,34,101.078533
618.0,155,101.118672
249.0,63,101.135681
110.0,28,103.63809
235.0,59,103.653844
371.0,93,103.683443
149.0,38,103.694857
297.0,75,103.715645
441.0,111,103.752414
146.0,37,103.763215
542.0,136,106.590415
137.0,35,106.599991
122.0,31,106.610766
199.0,50,106.628572
318.0,80,106.656135
147.0,37,106.669061
131.0,33,106.682071
312.0,78,106.702541
163.0,41,106.713677
426.0,107,109.43647
185.0,47,109.449577
228.0,57,109.464467
312.0,78,109.484722
179.0,45,109.496783
253.0,64,109.515717
281.0,71,109.538503
173.0,44,109.550743
279.0,70,112.489894
104.0,26,112.499455
371.0,93,112.529798
490.0,123,112.575206
293.0,74,112.59934
217.0,55,112.622129
226.0,57,112.638412
156.0,39,115.409337
465.0,117,115.447628
157.0,40,115.463106
226.0,57,115.478878
432.0,108,115.506828
140.0,35,115.516314
396.0,99,115.55893
185.0,47,118.207394
247.0,62,118.223852
267.0,67,118.241521
323.0,81,118.262839
266.0,67,118.280373
93.0,24,118.28736
429.0,108,118.315098
736.0,184,120.933856
214.0,54,120.949316
282.0,71,120.969875
172.0,43,120.981849
108.0,27,120.989778
225.0,57,121.005826
398.0,100,121.033961
151.0,38,121.045085
350.0,88,123.65576
362.0,91,123.690796
395.0,99,123.725149
355.0,89,123.755538
206.0,52,123.770005
269.0,68,123.790232
401.0,101,126.572986
296.0,74,126.593606
324.0,81,126.622441
212.0,53,126.639507
620.0,155,126.684527
275.0,69,129.195068
231.0,58,129.2155
113.0,29,129.225835
122.0,31,129.23668
236.0,59,129.257389
428.0,107,129.294237
285.0,72,129.318936
430.0,108,129.355666
241.0,61,131.941422
212.0,53,131.955629
197.0,50,131.969785
178.0,45,131.982035
201.0,51,132.001093
515.0,129,132.042003
355.0,89,132.069319
218.0,55,134.735222
751.0,188,134.78972
410.0,103,134.819663
283.0,71,134.838627
176.0,44,134.850402
219.0,55,134.864928
115.0,29,137.64538
438.0,110,137.680591
108.0,27,137.688488
329.0,83,137.711212
389.0,98,137.739135
262.0,66,137.758777
363.0,91,137.787086
292.0,73,140.55862
573.0,144,140.596599
104.0,26,140.604049
635.0,159,140.645666
231.0,58,140.661223
146.0,37,140.671816
331.0,83,143.127618
222.0,56,143.144351
556.0,139,143.181133
552.0,138,143.232353
332.0,83,143.254524
293.0,74,145.857719
167.0,42,145.869125
321.0,81,145.892121
451.0,113,145.922138
464.0,116,145.952459
171.0,43,145.964605
243.0,61,148.641599
319.0,80,148.666723
593.0,149,148.706553
727.0,182,148.75885
450.0,113,151.379139
121.0,31,151.387795
476.0,119,151.420311
227.0,57,151.43553
296.0,74,151.460477
282.0,71,151.484327
160.0,40,151.49869
107.0,27,151.507154
468.0,117,153.89926
121.0,31,153.907916
269.0,68,153.93778
283.0,71,153.959697
328.0,82,153.983581
309.0,78,154.005809
358.0,90,154.036409
347.0,87,156.902458
145.0,37,156.912639
268.0,67,156.932842
359.0,90,156.956702
271.0,68,156.979378
495.0,124,157.017557
295.0,74,159.50257
333.0,84,159.532863
373.0,94,159.561802
306.0,77,159.585351
177.0,45,159.597712
215.0,54,159.612193
113.0,29,159.621025
225.0,57,159.641041
260.0,65,162.541204
488.0,122,162.575482
384.0,96,162.602532
387.0,97,162.630233
186.0,47,162.643811
164.0,41,162.655813
678.0,170,165.371221
529.0,133,165.422668
316.0,79,165.449005
189.0,48,165.461976
267.0,67,165.479794
329.0,83,168.055759
375.0,94,168.082778
278.0,70,168.103209
326.0,82,168.126925
360.0,90,168.152647
334.0,84,168.176233
110.0,28,168.184707
389.0,98,170.864172
210.0,53,170.879624
580.0,145,170.924159
532.0,133,170.962512
522.0,131,173.736567
588.0,147,173.779088
171.0,43,173.79062
432.0,108,173.820699
95.0,24,173.827773
374.0,94,173.861195
163.0,41,173.872395
257.0,65,176.661068
398.0,100,176.695749
213.0,54,176.711177
213.0,54,176.737771
97.0,25,176.746822
357.0,90,176.778269
474.0,119,176.8111
206.0,52,179.153045
221.0,56,179.169194
125.0,32,179.180263
647.0,162,179.240928
113.0,29,179.249358
198.0,50,179.264182
213.0,54,179.279852
110.0,28,179.288093
330.0,83,181.799863
306.0,77,181.821689
173.0,44,181.834592
248.0,62,181.852574
303.0,76,181.874364
303.0,76,181.896256
408.0,102,181.925361
299.0,75,184.632336
116.0,29,184.640475
147.0,37,184.650723
350.0,88,184.675235
132.0,33,184.684411
331.0,83,184.711076
386.0,97,184.74421
407.0,102,187.464205
544.0,136,187.519103
199.0,50,187.533217
263.0,66,187.553484
239.0,60,187.569764
339.0,85,187.608761
645.0,162,190.358241
376.0,94,190.388484
252.0,63,190.405469
163.0,41,190.416955
145.0,37,190.427153
241.0,61,190.443467
380.0,95,190.47077
310.0,78,193.176983
256.0,64,193.204061
116.0,29,193.215705
332.0,83,193.246294
481.0,121,193.289853
490.0,123,193.332991
163.0,41,195.765516
427.0,107,195.801267
363.0,91,195.830018
164.0,41,195.841246
221.0,56,195.856136
537.0,135,195.891679
139.0,35,195.901481
411.0,103,198.690341
390.0,98,198.724331
280.0,70,198.750152
170.0,43,198.763842
383.0,96,198.789666
271.0,68,198.807719
253.0,64,201.436666
272.0,68,201.455974
564.0,141,201.504772
130.0,33,201.513942
386.0,97,201.539628
579.0,145,201.581253
893.0,224,204.410844
637.0,160,204.453169
198.0,50,204.46711
216.0,54,204.481543
469.0,118,206.489391
191.0,48,206.50353
139.0,35,206.513999
189.0,48,206.528295
316.0,79,206.553897
98.0,25,206.561524
331.0,83,206.58511
379.0,95,209.476317
185.0,47,209.489463
213.0,54,209.504209
121.0,31,209.513703
185.0,47,209.527438
292.0,73,209.548531
434.0,109,209.581281
297.0,75,209.601853
98.0,25,209.60932
121.0,31,212.413861
298.0,75,212.434064
404.0,101,212.462781
414.0,104,212.495434
456.0,114,212.533149
179.0,45,212.545196
616.0,154,215.286582
160.0,40,215.298581
128.0,32,215.308179
157.0,40,215.320055
438.0,110,215.351792
105.0,27,215.360129
326.0,82,215.383464
478.0,120,217.991357
233.0,59,218.011734
185.0,47,218.028516
197.0,50,218.046879
108.0,27,218.054543
223.0,56,218.06934
322.0,81,218.091133
167.0,42,218.103614
253.0,64,218.121396
501.0,126,221.097717
158.0,40,221.134832
370.0,93,221.231896
336.0,84,221.326056
337.0,85,221.414566
257.0,65,221.48591
519.0,130,224.049515
293.0,74,224.126775
315.0,79,224.204216
294.0,74,224.275282
425.0,107,224.377192
101.0,26,224.398552
437.0,110,227.186762
240.0,60,227.257707
381.0,96,227.356964
277.0,70,227.426352
281.0,71,227.493552
316.0,79,227.568982
387.0,97,230.671291
143.0,36,230.704751
199.0,50,230.753028
268.0,67,230.819713
154.0,39,230.862347
486.0,122,230.984511
420.0,105,231.088246
152.0,38,231.129763
280.0,70,233.66416
330.0,83,233.767747
458.0,115,233.882892
172.0,43,233.93161
95.0,24,233.958574
161.0,41,234.001789
178.0,45,234.049667
372.0,93,236.886039
604.0,151,237.035975
196.0,49,237.078506
339.0,85,237.156737
101.0,26,237.184204
195.0,49,237.239538
374.0,94,237.332406
166.0,42,239.834396
197.0,50,239.882601
408.0,102,239.982578
103.0,26,240.004639
269.0,68,240.084715
553.0,139,240.230211
214.0,54,240.288871
358.0,90,242.999704
131.0,33,243.032725
393.0,99,243.141474
233.0,59,243.217216
468.0,117,243.330723
239.0,60,243.39519
241.0,61,243.459902
329.0,83,246.048569
399.0,100,246.156941
374.0,94,246.239247
117.0,30,246.265836
255.0,64,246.335442
295.0,74,246.413512
185.0,47,246.461168
143.0,36,246.503782
375.0,94,249.202896
335.0,84,249.286403
281.0,71,249.359338
