#{"t_start": 1725426071.6605558, "env_id": "VizdoomTakeCover-v0"}
r,l,t
152.0,38,0.335225
103.0,26,0.416301
224.0,56,0.585508
115.0,29,0.664738
116.0,29,0.748731
123.0,31,0.833607
143.0,36,0.964558
414.0,104,1.316333
360.0,90,1.657309
200.0,50,1.859586
236.0,59,5.930959
371.0,93,6.231107
207.0,52,6.393864
333.0,84,6.672501
188.0,47,6.821433
399.0,100,7.113191
92.0,23,7.179396
364.0,91,10.853297
353.0,89,11.207907
408.0,102,11.540909
508.0,127,11.890892
525.0,132,12.295889
616.0,154,16.208283
265.0,67,16.454344
471.0,118,16.890723
395.0,99,17.189966
344.0,86,21.557203
386.0,97,23.711285
307.0,77,23.93429
391.0,98,24.268054
282.0,71,24.508137
167.0,42,24.643627
380.0,95,24.958925
429.0,108,30.495975
354.0,89,30.776053
177.0,45,30.944108
200.0,50,31.095493
130.0,33,31.193946
218.0,55,31.360451
224.0,56,31.556381
277.0,70,31.788735
178.0,45,37.30007
163.0,41,37.418701
231.0,58,37.589362
273.0,69,37.774898
200.0,50,37.930477
295.0,74,38.170633
524.0,131,38.623697
118.0,30,38.714386
294.0,74,43.66377
669.0,168,44.2289
207.0,52,44.423009
257.0,65,44.62674
232.0,58,44.824689
164.0,41,44.948968
222.0,56,49.765845
217.0,55,49.844611
239.0,60,52.27357
435.0,109,52.704833
240.0,60,52.914984
349.0,88,53.210093
141.0,36,53.321071
212.0,53,53.48066
438.0,110,57.646465
443.0,111,58.013499
191.0,48,58.160437
434.0,109,58.528373
164.0,41,58.666701
94.0,24,58.752698
353.0,89,62.561904
258.0,65,62.770166
296.0,74,63.008568
393.0,99,63.356318
141.0,36,63.451859
192.0,48,63.651093
358.0,90,64.003046
415.0,104,68.186326
137.0,35,68.303889
513.0,129,68.753574
240.0,60,68.93043
344.0,86,69.189792
279.0,70,69.40337
426.0,107,73.669309
320.0,80,73.900302
307.0,77,76.290912
123.0,31,76.402204
598.0,150,76.946659
436.0,109,77.308144
407.0,102,84.66708
424.0,106,85.063524
590.0,148,85.668025
219.0,55,85.912636
310.0,78,86.266017
252.0,63,92.314379
256.0,64,92.507962
180.0,45,92.661254
411.0,103,92.967321
245.0,62,93.170887
697.0,175,93.811586
321.0,81,102.081737
323.0,81,102.357189
389.0,98,102.696929
507.0,127,103.097737
216.0,54,103.276078
221.0,56,103.460567
360.0,90,111.558577
206.0,52,111.734399
237.0,60,111.960699
132.0,33,112.072192
124.0,31,114.070103
155.0,39,114.190804
188.0,47,114.344298
240.0,60,114.574066
97.0,25,114.662224
392.0,98,114.95232
371.0,93,119.362119
290.0,73,119.613888
353.0,89,119.894444
318.0,80,120.147265
376.0,94,120.488924
164.0,41,120.637654
185.0,47,125.098469
636.0,159,125.650203
161.0,41,125.792764
221.0,56,125.984861
306.0,77,126.267058
165.0,42,126.439686
170.0,43,126.601389
183.0,46,126.765203
138.0,35,131.208276
231.0,58,131.403206
165.0,42,131.545945
170.0,43,131.681287
375.0,94,131.994272
388.0,97,132.319755
460.0,115,132.678614
266.0,67,137.0842
463.0,116,137.48581
956.0,239,140.293088
732.0,183,144.867191
175.0,44,145.020565
238.0,60,145.217923
314.0,79,145.487422
334.0,84,145.770587
339.0,85,146.033458
166.0,42,146.202736
577.0,145,150.585823
213.0,54,150.794751
459.0,115,151.165628
186.0,47,151.329204
254.0,64,151.534714
243.0,61,151.758268
167.0,42,151.895544
485.0,122,156.378378
582.0,146,156.834617
228.0,57,157.032449
534.0,134,157.490705
225.0,57,157.679692
533.0,134,162.226072
589.0,148,162.721478
399.0,100,164.871467
102.0,26,164.950286
184.0,46,165.095694
254.0,64,169.05482
945.0,237,169.905046
170.0,43,170.037348
200.0,50,170.173322
488.0,122,170.65406
145.0,37,174.595546
521.0,131,175.041099
262.0,66,175.270918
316.0,79,175.549424
424.0,106,175.963511
137.0,35,176.091695
218.0,55,176.291984
106.0,27,176.375983
407.0,102,180.674457
560.0,140,181.098328
216.0,54,181.294959
547.0,137,181.778531
98.0,25,181.85684
133.0,34,181.966756
333.0,84,186.151051
369.0,93,186.528649
248.0,62,186.769269
571.0,143,189.302488
361.0,91,189.600336
512.0,128,194.543773
136.0,34,194.64914
150.0,38,194.769046
619.0,155,195.241448
107.0,27,195.336575
170.0,43,195.482724
113.0,29,195.574196
154.0,39,195.691875
417.0,105,200.3726
288.0,72,200.617316
96.0,24,200.693389
150.0,38,200.839089
305.0,77,201.109509
169.0,43,201.269298
245.0,62,201.464499
287.0,72,201.696344
335.0,84,207.282795
209.0,53,207.469165
295.0,74,207.740933
343.0,86,208.023997
168.0,42,208.186383
522.0,131,208.620009
240.0,60,208.826194
225.0,57,213.693048
335.0,84,214.010613
219.0,55,214.231594
140.0,35,214.391257
199.0,50,214.579056
446.0,112,214.942986
269.0,68,217.080018
364.0,91,221.223205
171.0,43,221.369513
182.0,46,221.529171
442.0,111,221.881643
321.0,81,222.17169
347.0,87,222.464039
245.0,62,222.660181
199.0,50,226.520516
560.0,140,226.989256
104.0,26,227.088294
125.0,32,227.197168
202.0,51,227.350995
343.0,86,227.673069
146.0,37,227.804658
468.0,117,231.658595
285.0,72,231.889389
230.0,58,232.082564
224.0,56,232.255934
406.0,102,232.591732
324.0,81,232.845449
318.0,80,233.09663
203.0,51,237.324191
257.0,65,237.540567
463.0,116,237.900416
445.0,112,238.268013
256.0,64,238.480122
248.0,62,238.684755
351.0,88,245.227028
243.0,61,245.429019
190.0,48,245.624879
239.0,60,245.828079
187.0,47,245.98175
229.0,58,246.159097
395.0,99,246.485414
162.0,41,246.610171
180.0,45,246.752201
353.0,89,250.822504
220.0,55,251.033604
437.0,110,251.432278
168.0,42,251.584179
