Episodio,Puntaje
1,[125.]
2,[476.]
3,[307.]
4,[536.]
5,[192.]
6,[270.]
7,[376.]
8,[325.]
9,[477.]
10,[167.]
11,[316.]
12,[258.]
13,[266.]
14,[501.]
15,[152.]
16,[504.]
17,[1002.]
18,[634.]
19,[857.]
20,[250.]
21,[358.]
22,[217.]
23,[216.]
24,[132.]
25,[729.]
26,[596.]
27,[165.]
28,[192.]
29,[273.]
30,[353.]
31,[335.]
32,[575.]
33,[561.]
34,[235.]
35,[155.]
36,[512.]
37,[249.]
38,[468.]
39,[259.]
40,[128.]
41,[367.]
42,[140.]
43,[470.]
44,[146.]
45,[181.]
46,[193.]
47,[853.]
48,[247.]
49,[810.]
50,[192.]
51,[570.]
52,[724.]
53,[196.]
54,[147.]
55,[891.]
56,[520.]
57,[119.]
58,[603.]
59,[1048.]
60,[202.]
61,[284.]
62,[154.]
63,[269.]
64,[590.]
65,[163.]
66,[227.]
67,[154.]
68,[235.]
69,[232.]
70,[527.]
71,[574.]
72,[226.]
73,[516.]
74,[547.]
75,[844.]
76,[199.]
77,[527.]
78,[454.]
79,[775.]
80,[132.]
81,[305.]
82,[267.]
83,[356.]
84,[351.]
85,[379.]
86,[237.]
87,[405.]
88,[416.]
89,[404.]
90,[427.]
91,[464.]
92,[650.]
93,[550.]
94,[148.]
95,[153.]
96,[333.]
97,[227.]
98,[167.]
99,[270.]
100,[276.]
101,[205.]
102,[275.]
103,[247.]
104,[144.]
105,[503.]
106,[334.]
107,[416.]
108,[354.]
109,[336.]
110,[266.]
111,[172.]
112,[286.]
113,[1064.]
114,[278.]
115,[271.]
116,[104.]
117,[315.]
118,[266.]
119,[125.]
120,[353.]
121,[238.]
122,[331.]
123,[483.]
124,[332.]
125,[737.]
126,[669.]
127,[243.]
128,[768.]
129,[422.]
130,[572.]
131,[499.]
132,[379.]
133,[239.]
134,[104.]
135,[207.]
136,[247.]
137,[333.]
138,[280.]
139,[256.]
140,[125.]
141,[314.]
142,[663.]
143,[331.]
144,[449.]
145,[235.]
146,[256.]
147,[149.]
148,[991.]
149,[399.]
150,[163.]
151,[793.]
152,[395.]
153,[482.]
154,[195.]
155,[299.]
156,[185.]
157,[622.]
158,[212.]
159,[403.]
160,[183.]
161,[553.]
162,[570.]
163,[173.]
164,[119.]
165,[191.]
166,[575.]
167,[647.]
168,[521.]
169,[422.]
170,[286.]
171,[229.]
172,[241.]
173,[136.]
174,[354.]
175,[668.]
176,[136.]
177,[616.]
178,[143.]
179,[604.]
180,[146.]
181,[763.]
182,[374.]
183,[418.]
184,[443.]
185,[150.]
186,[631.]
187,[533.]
188,[236.]
189,[446.]
190,[173.]
191,[588.]
192,[607.]
