Episodio,Puntaje
1,[587.]
2,[369.]
3,[960.]
4,[361.]
5,[641.]
6,[180.]
7,[470.]
8,[439.]
9,[220.]
10,[537.]
11,[350.]
12,[688.]
13,[300.]
14,[515.]
15,[436.]
16,[382.]
17,[616.]
18,[479.]
19,[428.]
20,[729.]
21,[222.]
22,[268.]
23,[157.]
24,[178.]
25,[535.]
26,[194.]
27,[228.]
28,[328.]
29,[142.]
30,[793.]
31,[307.]
32,[538.]
33,[251.]
34,[310.]
35,[647.]
36,[257.]
37,[280.]
38,[202.]
39,[713.]
40,[549.]
41,[639.]
42,[775.]
43,[860.]
44,[370.]
45,[451.]
46,[199.]
47,[238.]
48,[162.]
49,[295.]
50,[456.]
51,[795.]
52,[145.]
53,[159.]
54,[257.]
55,[536.]
56,[180.]
57,[528.]
58,[742.]
59,[668.]
60,[851.]
61,[799.]
62,[485.]
63,[733.]
64,[522.]
65,[661.]
66,[871.]
67,[373.]
68,[305.]
69,[190.]
70,[323.]
71,[616.]
72,[244.]
73,[421.]
74,[471.]
75,[258.]
76,[601.]
77,[1024.]
78,[461.]
79,[752.]
80,[162.]
81,[976.]
82,[600.]
83,[395.]
84,[919.]
85,[162.]
86,[437.]
87,[715.]
88,[545.]
89,[619.]
90,[666.]
91,[797.]
92,[176.]
93,[143.]
94,[498.]
95,[145.]
96,[287.]
97,[577.]
98,[390.]
99,[362.]
100,[206.]
101,[822.]
102,[770.]
103,[261.]
104,[347.]
105,[580.]
106,[955.]
107,[281.]
108,[281.]
109,[232.]
110,[272.]
111,[222.]
112,[191.]
113,[483.]
114,[506.]
115,[350.]
116,[232.]
117,[613.]
118,[139.]
119,[623.]
120,[433.]
121,[470.]
122,[165.]
123,[423.]
124,[229.]
125,[419.]
126,[606.]
127,[545.]
128,[520.]
129,[780.]
130,[853.]
131,[474.]
132,[307.]
133,[693.]
134,[291.]
135,[408.]
136,[480.]
137,[273.]
138,[226.]
139,[621.]
140,[259.]
141,[510.]
142,[689.]
143,[500.]
144,[612.]
145,[147.]
146,[720.]
147,[687.]
148,[281.]
149,[249.]
150,[292.]
151,[154.]
152,[357.]
153,[245.]
154,[250.]
155,[176.]
156,[711.]
157,[147.]
158,[397.]
159,[271.]
160,[523.]
161,[658.]
162,[393.]
163,[877.]
164,[318.]
165,[350.]
166,[184.]
167,[258.]
168,[471.]
169,[202.]
170,[206.]
171,[392.]
172,[395.]
173,[296.]
174,[442.]
175,[627.]
176,[504.]
177,[814.]
178,[638.]
179,[558.]
180,[469.]
181,[737.]
182,[554.]
183,[298.]
184,[179.]
185,[332.]
186,[727.]
187,[262.]
188,[532.]
189,[739.]
190,[414.]
191,[170.]
192,[760.]
193,[835.]
194,[536.]
195,[152.]
196,[532.]
197,[655.]
198,[294.]
199,[415.]
200,[323.]
201,[236.]
202,[437.]
203,[510.]
204,[274.]
205,[463.]
206,[453.]
207,[188.]
208,[239.]
209,[310.]
210,[389.]
211,[197.]
212,[611.]
213,[674.]
214,[408.]
215,[318.]
216,[848.]
217,[310.]
218,[244.]
219,[489.]
220,[165.]
221,[786.]
222,[217.]
223,[619.]
224,[122.]
225,[152.]
226,[648.]
227,[375.]
228,[159.]
229,[470.]
230,[376.]
231,[315.]
232,[582.]
233,[746.]
234,[969.]
235,[280.]
236,[597.]
237,[363.]
238,[379.]
239,[197.]
240,[627.]
241,[248.]
242,[533.]
243,[418.]
244,[397.]
245,[167.]
246,[183.]
247,[236.]
248,[211.]
249,[397.]
250,[455.]
251,[116.]
252,[223.]
253,[682.]
254,[169.]
255,[430.]
256,[159.]
257,[694.]
258,[753.]
259,[400.]
260,[571.]
261,[697.]
262,[285.]
263,[531.]
264,[460.]
265,[240.]
266,[468.]
267,[574.]
268,[360.]
269,[225.]
270,[445.]
271,[526.]
272,[758.]
273,[298.]
274,[423.]
275,[196.]
276,[140.]
277,[230.]
278,[150.]
279,[116.]
280,[193.]
281,[523.]
282,[670.]
283,[533.]
284,[383.]
285,[305.]
286,[331.]
287,[413.]
288,[362.]
289,[183.]
290,[575.]
291,[761.]
292,[491.]
293,[177.]
294,[779.]
295,[122.]
296,[709.]
297,[312.]
298,[335.]
299,[647.]
300,[358.]
301,[303.]
302,[174.]
303,[397.]
304,[475.]
305,[825.]
306,[323.]
307,[207.]
308,[629.]
309,[589.]
310,[599.]
311,[550.]
312,[729.]
313,[443.]
314,[529.]
315,[697.]
316,[363.]
317,[609.]
318,[494.]
319,[563.]
320,[218.]
321,[195.]
322,[349.]
323,[702.]
324,[239.]
325,[195.]
326,[614.]
327,[186.]
328,[233.]
329,[196.]
330,[614.]
331,[349.]
332,[706.]
333,[434.]
334,[415.]
335,[754.]
336,[623.]
337,[116.]
338,[344.]
339,[729.]
340,[169.]
341,[329.]
342,[676.]
343,[116.]
344,[500.]
345,[308.]
346,[396.]
347,[146.]
348,[345.]
349,[591.]
350,[633.]
351,[611.]
352,[760.]
353,[467.]
354,[1087.]
355,[218.]
356,[230.]
357,[671.]
358,[486.]
359,[237.]
360,[364.]
361,[363.]
362,[262.]
363,[690.]
364,[469.]
365,[182.]
366,[437.]
367,[597.]
368,[1057.]
369,[597.]
370,[462.]
371,[120.]
372,[281.]
373,[751.]
374,[180.]
375,[571.]
376,[734.]
377,[709.]
378,[665.]
379,[515.]
380,[218.]
381,[459.]
382,[695.]
383,[478.]
384,[282.]
385,[139.]
386,[418.]
387,[612.]
388,[461.]
389,[643.]
390,[711.]
391,[409.]
392,[406.]
393,[520.]
394,[341.]
395,[526.]
396,[450.]
397,[571.]
398,[732.]
399,[354.]
400,[396.]
401,[727.]
402,[225.]
403,[310.]
404,[231.]
405,[478.]
406,[645.]
407,[323.]
408,[279.]
409,[218.]
410,[245.]
411,[604.]
412,[313.]
413,[629.]
414,[400.]
415,[908.]
416,[183.]
417,[606.]
418,[677.]
419,[933.]
420,[271.]
421,[664.]
422,[263.]
423,[380.]
424,[810.]
425,[586.]
426,[552.]
427,[615.]
428,[527.]
429,[584.]
430,[546.]
431,[337.]
432,[308.]
433,[666.]
434,[295.]
435,[195.]
436,[536.]
437,[436.]
438,[343.]
439,[276.]
440,[262.]
441,[523.]
442,[467.]
443,[420.]
444,[749.]
445,[499.]
446,[129.]
447,[665.]
448,[830.]
449,[241.]
450,[610.]
451,[563.]
452,[388.]
453,[194.]
454,[910.]
455,[152.]
456,[627.]
457,[153.]
458,[169.]
459,[357.]
460,[295.]
461,[442.]
462,[269.]
463,[738.]
464,[322.]
465,[578.]
466,[644.]
467,[811.]
468,[362.]
469,[522.]
470,[589.]
471,[894.]
472,[394.]
473,[382.]
474,[299.]
475,[684.]
476,[783.]
477,[259.]
478,[541.]
479,[749.]
480,[595.]
481,[492.]
482,[139.]
483,[244.]
484,[227.]
485,[702.]
486,[322.]
487,[239.]
488,[392.]
489,[162.]
490,[336.]
491,[384.]
492,[773.]
493,[351.]
494,[414.]
495,[236.]
496,[141.]
497,[345.]
498,[177.]
499,[119.]
500,[394.]
501,[213.]
502,[815.]
503,[683.]
504,[785.]
505,[852.]
506,[755.]
507,[877.]
508,[423.]
509,[334.]
510,[284.]
511,[184.]
512,[731.]
513,[449.]
514,[259.]
515,[564.]
516,[210.]
517,[279.]
518,[395.]
519,[216.]
520,[319.]
521,[532.]
522,[229.]
523,[696.]
524,[708.]
525,[407.]
526,[119.]
527,[141.]
