Episodio,Puntaje
1,[118.]
2,[421.]
3,[300.]
4,[112.]
5,[175.]
6,[105.]
7,[121.]
8,[145.]
9,[498.]
10,[285.]
11,[459.]
12,[263.]
13,[115.]
14,[406.]
15,[335.]
16,[193.]
17,[327.]
18,[106.]
19,[305.]
20,[158.]
21,[250.]
22,[113.]
23,[706.]
24,[119.]
25,[322.]
26,[120.]
27,[283.]
28,[407.]
29,[155.]
30,[165.]
31,[403.]
32,[317.]
33,[145.]
34,[369.]
35,[139.]
36,[195.]
37,[191.]
38,[375.]
39,[269.]
40,[134.]
41,[128.]
42,[118.]
43,[108.]
44,[288.]
45,[381.]
46,[373.]
47,[588.]
48,[351.]
49,[219.]
50,[151.]
51,[321.]
52,[607.]
53,[278.]
54,[219.]
55,[239.]
56,[169.]
57,[107.]
58,[280.]
59,[209.]
60,[206.]
61,[331.]
62,[172.]
63,[171.]
64,[524.]
65,[111.]
66,[171.]
67,[508.]
68,[294.]
69,[408.]
70,[174.]
71,[692.]
72,[334.]
73,[95.]
74,[266.]
75,[371.]
76,[500.]
77,[127.]
78,[151.]
79,[240.]
80,[242.]
81,[204.]
82,[216.]
83,[295.]
84,[356.]
85,[198.]
86,[257.]
87,[485.]
88,[404.]
89,[223.]
90,[412.]
91,[580.]
92,[271.]
93,[122.]
94,[253.]
95,[279.]
96,[128.]
97,[230.]
98,[316.]
99,[264.]
100,[283.]
101,[183.]
102,[588.]
103,[419.]
104,[290.]
105,[339.]
106,[209.]
107,[249.]
108,[344.]
109,[139.]
110,[119.]
111,[148.]
112,[469.]
113,[219.]
114,[392.]
115,[205.]
116,[289.]
117,[114.]
118,[107.]
119,[292.]
120,[389.]
121,[123.]
122,[122.]
123,[170.]
124,[394.]
125,[184.]
126,[336.]
127,[645.]
128,[178.]
129,[266.]
130,[99.]
131,[132.]
132,[248.]
133,[416.]
134,[309.]
135,[318.]
136,[364.]
137,[374.]
138,[306.]
139,[177.]
140,[169.]
141,[196.]
142,[363.]
143,[178.]
144,[238.]
145,[377.]
146,[302.]
147,[545.]
148,[191.]
149,[126.]
150,[153.]
151,[247.]
152,[257.]
153,[240.]
154,[120.]
155,[220.]
156,[412.]
157,[223.]
158,[139.]
159,[169.]
160,[149.]
161,[575.]
162,[406.]
163,[372.]
164,[240.]
165,[482.]
166,[372.]
167,[230.]
168,[155.]
169,[364.]
170,[117.]
171,[375.]
172,[506.]
173,[416.]
174,[239.]
175,[160.]
176,[311.]
177,[367.]
178,[176.]
179,[301.]
180,[185.]
181,[281.]
182,[259.]
183,[206.]
184,[402.]
185,[261.]
186,[139.]
187,[485.]
188,[184.]
189,[223.]
190,[247.]
191,[364.]
192,[285.]
193,[212.]
194,[261.]
195,[441.]
196,[306.]
197,[209.]
198,[246.]
199,[263.]
200,[209.]
201,[312.]
202,[288.]
203,[177.]
204,[152.]
205,[542.]
206,[461.]
207,[649.]
208,[352.]
209,[148.]
210,[350.]
211,[169.]
212,[491.]
213,[147.]
214,[217.]
215,[170.]
216,[480.]
217,[283.]
218,[431.]
219,[348.]
220,[246.]
221,[278.]
222,[283.]
223,[342.]
224,[178.]
225,[462.]
226,[305.]
227,[370.]
228,[110.]
229,[201.]
230,[326.]
231,[137.]
232,[227.]
233,[266.]
234,[701.]
235,[167.]
236,[130.]
237,[301.]
238,[253.]
239,[138.]
240,[306.]
241,[562.]
242,[143.]
243,[207.]
244,[166.]
245,[371.]
246,[199.]
247,[188.]
248,[378.]
249,[353.]
250,[355.]
251,[286.]
252,[510.]
253,[534.]
254,[112.]
255,[247.]
256,[291.]
257,[188.]
258,[804.]
259,[200.]
260,[240.]
261,[208.]
262,[259.]
263,[398.]
264,[244.]
265,[389.]
266,[447.]
267,[102.]
268,[285.]
269,[413.]
270,[123.]
271,[373.]
272,[279.]
273,[169.]
274,[141.]
275,[295.]
276,[267.]
277,[677.]
278,[244.]
279,[198.]
280,[163.]
281,[190.]
282,[108.]
283,[149.]
284,[327.]
285,[446.]
286,[249.]
287,[282.]
288,[243.]
289,[589.]
290,[118.]
291,[464.]
292,[390.]
293,[365.]
294,[294.]
295,[366.]
296,[160.]
297,[129.]
298,[163.]
299,[517.]
300,[341.]
301,[345.]
302,[225.]
303,[341.]
304,[110.]
305,[597.]
306,[290.]
307,[579.]
308,[298.]
309,[191.]
310,[164.]
311,[476.]
312,[137.]
313,[367.]
314,[235.]
315,[1035.]
316,[190.]
317,[103.]
318,[171.]
319,[270.]
320,[130.]
321,[230.]
322,[414.]
323,[238.]
324,[152.]
325,[272.]
326,[434.]
327,[202.]
328,[168.]
329,[575.]
330,[213.]
331,[167.]
332,[452.]
333,[203.]
334,[275.]
335,[211.]
336,[181.]
337,[543.]
338,[183.]
339,[106.]
340,[415.]
341,[232.]
342,[213.]
343,[207.]
344,[350.]
345,[454.]
346,[234.]
347,[378.]
348,[165.]
349,[518.]
350,[357.]
351,[100.]
352,[335.]
353,[178.]
354,[298.]
355,[370.]
356,[373.]
357,[364.]
358,[514.]
359,[150.]
360,[146.]
361,[334.]
362,[592.]
363,[205.]
364,[320.]
365,[354.]
366,[240.]
367,[187.]
368,[244.]
369,[380.]
370,[340.]
371,[305.]
372,[234.]
373,[197.]
374,[448.]
375,[143.]
376,[278.]
377,[493.]
378,[128.]
379,[186.]
380,[297.]
381,[202.]
382,[213.]
383,[243.]
384,[301.]
385,[459.]
386,[299.]
387,[156.]
388,[217.]
389,[254.]
390,[447.]
391,[492.]
392,[214.]
393,[331.]
394,[246.]
395,[148.]
396,[416.]
397,[98.]
398,[512.]
399,[172.]
400,[166.]
401,[249.]
402,[315.]
403,[141.]
404,[160.]
405,[97.]
406,[382.]
407,[130.]
408,[584.]
409,[142.]
