#{"t_start": 1721518634.7543004, "env_id": "VizdoomCorridor-v0"}
r,l,t
-93.06041,22,0.481315
-101.740356,29,0.490038
-105.239304,26,0.497893
-115.994308,12,0.501852
-113.480331,22,0.50911
-85.000519,56,0.525184
-99.184265,11,0.52886
-103.025253,28,0.53721
-99.096451,28,0.545605
-93.18602,12,0.549535
-97.533478,20,0.555657
-103.393341,26,0.563434
-115.998306,22,0.57023
-74.331223,11,0.573899
-106.770569,11,0.577518
-115.465622,12,0.581448
-114.298065,37,0.592363
-103.356384,13,0.596563
-96.967499,26,0.604313
-112.08374,29,0.61287
-85.258987,28,0.621285
-108.269638,29,0.630312
-9.4095,31,0.639512
-115.93222,48,0.653343
-83.654297,28,0.661742
-115.997131,21,0.668145
-102.359802,25,0.675669
-53.468094,13,0.67985
21.663193,48,0.693818
-115.981613,28,0.702136
-115.99501,13,0.706356
-77.542191,13,0.710553
-100.690186,28,0.718966
-111.162857,13,0.723116
-57.422943,63,0.740929
-66.790497,37,0.751738
-5.943634,21,0.758214
-71.446426,42,0.77007
-115.994308,29,0.778659
-110.92923,28,0.787005
-101.228531,36,0.797379
-109.275223,13,0.801509
-115.995026,20,0.807611
-28.061005,28,0.815871
-93.83046,19,0.821798
-76.565231,22,0.828402
-75.299606,11,0.832005
-100.760925,12,0.835888
-115.975784,27,0.84394
-82.222504,28,0.852247
-66.002335,28,0.860561
-88.246307,29,0.869525
-97.732376,12,0.873498
-94.167831,27,0.881422
-109.654831,21,0.887799
-93.179855,49,0.901849
-107.762512,21,0.908308
-115.458618,11,0.911961
-105.59935,22,0.918589
-105.705276,20,0.924701
-26.583633,79,0.947619
-106.550354,20,0.954154
-115.966324,12,0.958285
-76.494751,19,0.964243
-115.820114,20,0.970687
-110.792938,27,0.97869
-111.739304,20,0.984776
-107.718262,13,0.98897
-94.65097,22,0.995701
-94.130447,28,1.00405
-115.994537,18,1.009658
-96.064438,20,1.015727
-115.997131,13,1.019974
-94.388565,27,1.028
-97.975342,28,1.036193
-114.47464,26,1.043983
-46.637115,26,1.051899
-111.582581,29,1.060456
-111.914688,46,1.073603
-115.975586,21,1.080017
-82.258469,27,1.088077
-108.052353,21,1.094443
-49.08139,28,1.102731
-71.005112,35,1.112812
176.389847,525,1.254964
-95.256821,46,1.268298
-115.93718,21,1.274691
-115.846085,12,1.278618
-115.264786,20,1.284853
-115.932022,33,1.294547
-112.914566,13,1.29876
-115.993683,80,1.320998
