#{"t_start": 1721521307.9034462, "env_id": "VizdoomCorridor-v0"}
r,l,t
-115.911514,13,1.502394
-115.982758,29,1.519468
-115.723846,12,1.526747
-115.914215,21,1.538831
-115.888046,13,1.546648
-115.911957,28,1.562592
-115.960098,29,1.579178
-115.978073,41,1.602216
-115.867554,28,1.618142
-115.887238,20,1.629641
-115.977646,26,3.146945
-115.979965,29,3.16343
-115.979965,21,3.175449
-115.978104,29,3.191869
-115.977402,38,3.21302
-115.93808,20,3.224455
-115.979965,19,3.235328
-115.887604,20,3.246732
-115.977966,21,3.258649
-115.956543,29,3.274965
109.815628,12,7.911632
345.425323,18,7.922393
98.662323,12,7.929789
98.146881,12,7.937112
396.859375,19,7.948439
321.75679,18,7.959186
91.19577,12,7.966573
91.448425,12,7.973974
65.786377,12,7.981361
65.454269,12,7.988792
82.035141,11,12.995671
432.484604,21,13.008267
316.695435,21,13.020638
74.057922,11,13.027462
51.767639,12,13.034861
74.371597,12,13.04222
446.876907,21,13.054581
76.506927,12,13.062025
412.474197,22,13.075
79.146866,13,13.082908
72.846024,11,18.288607
387.464722,19,18.300006
61.584732,12,18.307419
25.073563,11,18.314358
144.91394,13,18.322266
329.829865,16,18.331801
155.796005,13,18.339622
304.443558,18,18.35031
89.065048,12,18.357717
524.99765,24,18.371829
331.234375,17,23.561199
106.049469,13,23.569183
2.68338,12,23.576616
123.118759,18,23.587358
112.533966,13,23.595305
114.652908,12,23.602718
-6.360153,12,23.610131
90.468338,12,23.617512
139.564957,13,23.625422
370.969421,20,23.637252
57.108826,12,28.810004
136.338486,12,28.817429
367.725922,25,28.832013
414.768967,24,28.846141
342.597137,22,28.859124
369.62532,26,28.874326
50.906845,13,28.882196
768.350113,33,28.901406
205.779861,20,28.913257
380.086014,24,28.927366
39.775681,13,34.093669
304.651489,21,34.1061
5.882782,11,34.11295
402.398132,22,34.125915
170.650467,13,34.133797
31.796234,12,34.141163
36.92955,11,34.147965
438.438644,24,34.162068
14.464066,12,34.169432
175.142776,16,34.178976
36.51796,12,39.373575
239.638626,20,39.385412
382.600616,27,39.401208
55.600357,13,39.40921
84.435852,13,39.417148
261.410034,19,39.428403
6.33046,12,39.435834
45.849411,13,39.443782
229.186523,21,39.456149
28.617386,12,39.463577
338.167023,20,44.654302
55.728256,13,44.662412
69.005234,12,44.669878
131.338776,13,44.677768
19.694504,12,44.685358
301.083832,20,44.697311
70.876831,12,44.704757
294.756805,20,44.716712
39.694,13,44.724822
126.983398,13,44.732852
59.066833,13,49.930447
45.2612,12,49.93999
493.201355,26,49.955749
-4.973495,11,49.962545
76.263229,13,49.970406
-7.616791,13,49.978245
105.690445,12,49.985523
