#{"t_start": 1721527765.586912, "env_id": "VizdoomCorridor-v0"}
r,l,t
-115.976364,21,0.807831
-96.974686,12,0.818315
-99.539124,22,0.836871
-115.832367,27,0.859087
-107.028229,42,0.893156
-115.994339,19,0.908947
-115.997238,20,0.925571
-115.975601,44,0.961232
-96.706497,28,0.984176
-73.933319,12,0.994363
-100.60144,21,1.011713
-115.994492,12,1.021935
-62.159058,242,1.214687
-115.995026,34,1.242878
-115.986511,101,1.324778
-100.960953,21,1.342403
-82.685089,56,1.387845
-48.572128,56,1.433643
-65.014038,28,1.456995
-106.072571,18,1.472228
-93.477737,28,1.495291
-106.571518,20,1.51199
-98.319229,21,1.529581
-108.225342,27,1.552059
-115.566864,21,1.569543
-91.143936,13,1.580605
-115.997162,13,1.59172
-110.598862,20,1.608388
-29.708221,56,1.653448
-104.098907,49,1.693086
-99.636658,26,1.71458
-106.814911,20,1.731096
-73.973022,21,1.748832
-93.57785,37,1.779107
-85.747604,21,1.796475
-97.034103,18,1.811568
-61.405853,11,1.820953
-99.299927,21,1.838318
-63.791367,63,1.889054
-89.133804,21,1.906476
-62.580124,20,1.923028
-115.927872,21,1.940418
-102.693481,29,1.964065
-115.550156,12,1.974333
-66.839218,28,1.997176
-115.006348,20,2.013782
4.536407,21,2.03116
-82.76828,28,2.054036
-91.400192,26,2.075345
-48.850021,13,2.086298
-69.373322,21,2.103659
-115.998672,27,2.125776
-59.583145,19,2.141587
-85.072906,37,2.171741
-50.228699,27,2.193955
-73.853668,28,2.216901
-28.658264,26,2.238243
-91.661713,28,2.261149
-112.698257,87,2.331205
-102.675064,21,2.34862
-84.145325,29,2.37249
-80.541992,28,2.395618
-90.909714,20,2.412234
-74.998672,34,2.439903
-93.045593,12,2.450162
-42.407822,66,2.503326
-110.86496,13,2.514403
-95.78685,34,2.542186
108.576508,481,2.920704
-104.937225,31,2.946219
-106.216904,28,2.969236
-101.186325,12,2.979467
-115.327744,13,2.990451
-115.340668,27,3.012645
-115.910675,13,3.023714
-115.175583,12,3.033872
-115.979614,12,3.04413
-77.883392,73,3.102878
-109.062668,19,3.118782
-86.038223,10,3.127444
-99.488403,11,3.136823
-101.213028,20,3.153278
