#{"t_start": 1721531410.8064575, "env_id": "VizdoomCorridor-v0"}
r,l,t
135.116714,13,6.59237
100.217575,12,6.601182
84.851318,12,6.609854
71.02182,13,6.619242
59.9841,12,6.627947
81.617065,12,6.636724
319.769958,17,6.649108
118.125153,13,6.658555
434.272446,22,6.673727
362.495239,20,6.687641
173.752136,19,13.147606
95.42688,13,13.156979
11.921616,12,13.165709
351.635147,20,13.179651
106.546295,13,13.18895
264.899353,19,13.202196
113.695633,13,13.211564
61.823059,13,13.220929
36.49028,13,13.230209
231.917877,20,13.244208
137.670883,13,19.651462
121.877228,12,19.660098
362.665451,19,19.673223
83.992447,13,19.682477
307.889206,18,19.694952
116.243576,13,19.70411
419.319794,20,19.717822
109.016815,13,19.726981
104.836014,12,19.73545
33.570969,11,19.743359
321.24321,17,26.163632
438.969025,22,26.178951
130.150864,13,26.188249
47.870255,11,26.196189
60.943268,12,26.205266
326.754623,17,26.21724
324.530319,19,26.230532
308.35289,17,26.242699
133.514252,12,26.251343
53.937531,12,26.259993
357.156708,20,35.026592
58.961212,12,35.035271
329.780365,19,35.048557
75.014481,12,35.057178
347.815582,18,35.069754
432.093567,21,35.08438
136.262436,13,35.093698
382.82402,20,35.107772
373.501389,19,35.121171
75.313705,12,35.129855
343.062225,19,41.699002
-87.441116,4,41.702446
51.128952,12,41.71112
142.786224,13,41.720471
449.296021,22,41.735793
138.283188,13,41.745133
1.649368,11,41.753134
420.492111,24,41.769816
329.127792,17,41.781814
104.674393,13,41.791174
411.783081,21,48.398703
101.406067,12,48.407502
400.48645,18,48.420188
473.830627,24,48.436944
78.694626,12,48.445586
100.477402,12,48.45425
117.853378,13,48.463562
8.428223,12,48.47228
304.929382,16,48.483575
41.657928,11,48.491589
399.884079,20,55.02477
380.204208,20,55.038996
381.894135,19,55.052305
443.330719,22,55.067765
335.604996,21,55.082481
65.323425,11,55.090544
434.568176,21,55.105323
93.417648,12,55.114928
97.601807,13,55.125761
336.725311,20,55.139871
98.504517,12,61.572481
40.306778,12,61.58129
700.191177,30,61.601878
121.29216,13,61.611189
523.383118,26,61.629116
382.008636,20,61.643243
312.114822,18,61.656165
75.007523,13,61.665564
94.357193,13,61.674859
95.733459,12,61.68349
443.418243,22,70.587865
475.595428,21,70.602446
130.032104,13,70.611655
110.460388,13,70.620961
539.95047,24,70.637455
439.862564,21,70.652061
98.47496,12,70.660618
373.657013,20,70.674348
383.591003,21,70.688826
411.642639,22,70.704033
186.499207,15,77.301337
86.816055,13,77.3107
68.658249,13,77.319975
95.823044,13,77.329268
16.493607,11,77.337229
416.392761,20,77.351175
82.080811,12,77.359743
103.444778,12,77.368354
492.340591,23,77.384254
66.260117,13,77.393528
120.151871,13,84.068659
347.907181,20,84.08265
88.366211,13,84.091947
103.437897,12,84.100505
482.27562,21,84.115035
111.264175,12,84.123647
16.105743,12,84.132638
467.729034,22,84.148252
95.575577,11,84.156399
116.827667,13,84.165929
59.367264,11,87.781025
372.168686,18,87.793677
49.418884,11,87.801707
358.698074,18,87.814331
111.654999,13,87.823597
416.669281,19,87.836837
402.630341,18,87.849412
80.423187,11,87.857358
45.440323,11,87.865342
96.500381,12,87.873862
5,12,3.491738
-100.457382,20,3.508625
-109.833252,12,3.519053
-115.951263,13,3.530303
-108.625214,28,3.553633
-89.749588,21,3.571431
-90.054077,20,3.588424
-114.794067,45,5.985594
-89.880768,20,6.002846
131.080002,135,6.113803
-43.719437,20,6.131017
-72.471802,40,6.164585
-49.619339,12,6.175076
-115.972519,13,6.186417
-54.508392,20,6.203369
-66.501175,28,6.226817
-16.235199,44,6.263122
-92.754715,34,6.291337
-107.772095,20,6.308218
-113.149536,49,6.348546
-115.975647,13,6.359753
-112.017441,71,6.418099
-115.994324,22,6.436697
-81.619446,20,6.453632
-91.825897,28,6.477026
-109.847412,12,6.487435
-50.882965,37,6.51823
-98.546875,22,6.537092
-77.359772,20,6.554164
-1.85289,49,6.594593
-109.270157,14,6.606786
2.325317,28,6.630426
-115.559174,20,6.647466
-115.836319,12,6.657944
-108.280197,13,6.669244
-114.459091,28,6.692791
-97.234192,21,6.710541
-60.92453,18,6.726056
-63.009872,36,6.893826
-47.322433,21,6.911868
-115.997849,19,6.928066
-99.139145,29,6.952413
-75.370361,11,6.962165
-115.992233,13,6.973448
-105.040039,20,6.990483
-93.807816,30,7.01577
-115.997849,13,7.027163
-87.000397,27,7.049978
-96.020523,28,7.073555
-115.997162,27,7.09648
163.253723,151,7.219881
-106.396408,28,7.243598
-92.268585,11,7.253327
-96.130997,26,7.275214
-84.279419,49,7.315989
-78.099548,12,7.326467
-66.493591,12,7.336995
-94.326218,20,7.353947
-75.173172,21,7.371801
-115.989609,30,7.397087
-84.849823,20,7.41408
-115.996445,13,7.425366
0.282104,20,7.442398
-61.559067,87,7.513829
-113.643127,21,7.531855
-102.131363,13,7.543389
-91.547989,19,7.559587
11.859787,27,7.582407
-115.978348,28,7.605935
-81.430328,11,7.615608
-68.714005,29,7.639952
-88.259644,29,7.664288
-98.072159,12,7.674795
-115.956299,20,7.691746
133.705612,45,7.729061
-64.111496,34,7.757454
-69.814072,28,7.781049
-73.748611,11,7.790781
-90.57634,13,7.802112
-115.994324,19,7.818171
-105.754272,13,7.829435
-76.321243,20,7.846631
-78.319855,27,7.86936
-103.381622,20,7.88639
-7.790466,13,7.897685
-64.75531,12,7.908172
-62.414627,29,7.932587
-115.989609,29,7.956933
-97.461166,19,7.973091
-91.479202,37,8.00397
-102.061279,25,8.024973
-108.17392,4,8.028925
