#{"t_start": 1721118502.3977382, "env_id": "VizdoomDefendLine-v0"}
r,l,t
2.0,68,0.530421
4.0,100,0.568999
4.0,76,0.591069
2.0,85,0.617713
3.0,67,0.639991
7.0,126,0.679274
6.0,125,0.716344
7.0,126,0.759416
14.0,173,0.82187
8.0,185,0.892157
2.0,71,0.927966
8.0,145,0.975044
10.0,197,1.037466
9.0,174,1.094702
3.0,103,1.135586
12.0,183,1.208911
10.0,155,1.268116
6.0,98,1.297973
5.0,85,1.327306
12.0,152,1.378682
8.0,152,1.424975
17.0,277,1.521908
3.0,95,1.548972
11.0,169,1.611273
9.0,164,1.666321
8.0,132,1.709868
17.0,250,1.794001
9.0,138,1.839926
12.0,231,1.916005
12.0,182,1.982979
8.0,136,2.026796
7.0,162,2.091844
10.0,195,2.150335
5.0,94,2.179584
6.0,104,2.233518
12.0,212,4.675587
9.0,171,4.731775
9.0,158,4.782346
9.0,155,4.8407
6.0,86,4.868285
14.0,198,4.930192
8.0,146,4.978406
6.0,98,5.008363
12.0,178,5.067403
11.0,175,5.117883
4.0,92,5.151119
13.0,244,5.238473
9.0,135,5.284965
8.0,142,5.327873
8.0,138,5.368099
6.0,120,5.405839
2.0,62,5.428937
11.0,133,5.473275
2.0,77,5.503269
12.0,176,5.556609
8.0,151,5.600643
10.0,200,5.66501
6.0,102,5.693863
12.0,192,5.755817
15.0,249,5.837536
6.0,113,5.883338
8.0,163,5.931247
6.0,115,5.967677
7.0,151,6.027131
8.0,125,6.065662
3.0,96,6.092944
12.0,201,6.153672
6.0,137,6.192175
10.0,137,8.996347
8.0,176,9.837339
5.0,141,10.34186
5.0,79,10.633392
6.0,103,10.970732
5.0,115,11.372184
5.0,94,11.705412
13.0,216,12.42975
0.0,54,12.605255
6.0,113,13.010347
12.0,170,13.60974
12.0,159,14.186643
7.0,124,14.606712
2.0,73,14.874505
6.0,117,15.349298
7.0,130,15.832719
13.0,186,16.51524
9.0,128,17.018721
12.0,171,17.629565
6.0,113,18.079273
5.0,120,18.502796
2.0,68,18.760983
0.0,57,18.97676
3.0,80,19.30626
9.0,120,19.767017
13.0,198,20.533941
10.0,134,21.055709
12.0,150,21.649944
1.0,66,21.935222
5.0,140,22.466147
5.0,118,22.948224
18.0,198,23.648649
6.0,177,24.396053
3.0,116,24.885515
16.0,233,25.8205
7.0,126,26.309924
6.0,125,26.808244
4.0,88,27.164856
3.0,59,27.409844
4.0,78,27.703378
6.0,125,32.332938
8.0,168,33.051183
10.0,154,33.686218
18.0,239,34.696802
8.0,103,35.142448
6.0,120,35.635935
11.0,141,36.259604
13.0,205,37.155921
7.0,115,37.648222
10.0,208,38.544482
10.0,125,39.100952
19.0,236,40.10294
8.0,144,40.701631
4.0,96,41.102353
19.0,300,42.380108
12.0,170,43.118491
7.0,111,43.59092
22.0,249,44.680107
10.0,179,45.387118
4.0,85,45.766252
4.0,81,46.118035
7.0,122,46.670335
12.0,166,47.359662
16.0,227,48.340776
8.0,125,48.878078
9.0,131,49.458741
6.0,96,49.900327
9.0,135,50.522215
9.0,126,51.112212
8.0,141,51.76814
3.0,98,52.226998
9.0,149,52.915005
9.0,171,53.719583
12.0,145,59.398404
11.0,161,60.151506
13.0,191,61.05865
13.0,162,61.836204
9.0,100,62.333184
12.0,127,62.893353
18.0,172,63.709482
16.0,160,64.473832
12.0,150,65.17128
8.0,105,65.666406
20.0,212,66.618278
23.0,275,67.954019
11.0,134,68.577778
14.0,154,69.309744
12.0,189,70.22036
6.0,93,70.660091
13.0,135,71.326468
16.0,185,72.221294
17.0,166,73.043142
20.0,196,73.97261
10.0,132,74.607795
13.0,172,75.399119
7.0,150,76.08911
15.0,259,77.337409
7.0,114,77.875486
14.0,142,78.555138
25.0,287,79.954578
20.0,209,80.934628
17.0,161,81.716906
6.0,90,82.133749
8.0,125,87.758146
3.0,55,88.002315
5.0,89,88.441944
10.0,145,89.133312
3.0,96,89.558673
8.0,145,90.22949
15.0,181,91.129477
22.0,326,92.698365
5.0,89,93.111315
12.0,97,93.593135
12.0,128,94.215189
20.0,234,95.283968
12.0,179,96.176161
20.0,201,97.163882
9.0,151,97.889316
3.0,60,98.15719
9.0,150,98.866612
21.0,218,99.896381
16.0,205,100.869333
14.0,177,101.720736
8.0,117,102.314899
15.0,194,103.221016
6.0,92,103.644472
6.0,114,104.199288
10.0,147,104.846675
9.0,107,105.340134
1.0,42,105.462874
13.0,211,106.437883
11.0,135,107.102274
5.0,104,107.636997
22.0,257,108.832474
19.0,192,109.782353
8.0,141,110.432808
10.0,158,111.401384
11.0,141,117.68371
10.0,196,118.583968
11.0,116,119.131621
23.0,206,120.083524
18.0,157,120.877648
15.0,176,121.718232
4.0,81,122.119697
27.0,284,123.489255
16.0,128,124.116064
18.0,154,124.857242
12.0,153,125.583351
4.0,113,126.091149
19.0,180,126.917092
8.0,80,127.300357
19.0,198,128.283627
20.0,211,129.28142
19.0,191,130.215645
24.0,241,131.39624
8.0,89,131.820684
14.0,134,132.456723
22.0,192,133.420395
17.0,157,134.174928
27.0,282,135.547356
28.0,255,136.766915
29.0,299,138.213731
11.0,111,138.752026
26.0,245,139.958373
28.0,304,146.830199
13.0,148,147.519989
17.0,134,148.167674
19.0,186,149.061853
15.0,165,149.788216
24.0,253,151.010266
18.0,186,151.912104
19.0,204,152.912326
18.0,159,153.634976
17.0,192,154.574504
32.0,313,156.073302
19.0,170,156.900331
17.0,160,157.712533
22.0,221,158.914594
19.0,173,159.722612
11.0,114,160.278178
22.0,221,161.367471
13.0,129,161.978607
18.0,176,162.788724
17.0,176,163.654008
18.0,210,164.654562
24.0,225,165.728374
11.0,133,166.396588
24.0,251,167.586404
6.0,75,167.94944
16.0,171,168.760346
23.0,234,169.896653
12.0,151,170.604269
18.0,176,178.318701
34.0,360,180.052638
18.0,184,180.956789
23.0,226,182.050011
20.0,192,182.976681
24.0,229,184.079889
15.0,160,184.861032
19.0,158,185.610678
21.0,193,186.39048
24.0,188,187.311549
21.0,189,188.214129
19.0,225,189.319628
19.0,176,190.14561
17.0,186,191.012639
6.0,74,191.372283
19.0,201,192.259459
21.0,197,193.187058
20.0,191,194.084608
17.0,153,194.817811
28.0,251,196.045974
23.0,245,197.24557
23.0,189,197.919852
15.0,172,198.76756
27.0,260,199.997472
22.0,202,200.970157
5.0,85,205.635483
31.0,309,207.464857
11.0,134,208.341317
20.0,188,209.548396
18.0,185,210.736822
16.0,159,211.768993
30.0,253,213.411377
13.0,106,214.099932
14.0,120,214.882767
16.0,135,215.762565
6.0,91,216.345561
28.0,283,218.164502
19.0,167,219.209633
20.0,202,220.516775
22.0,207,221.853702
22.0,218,223.271113
17.0,157,224.29518
18.0,174,225.431444
23.0,204,226.743329
30.0,250,228.34659
22.0,205,229.673618
16.0,169,230.546229
14.0,141,231.434946
28.0,269,233.211087
16.0,140,234.118057
24.0,206,235.463197
24.0,232,236.999705
15.0,140,246.491462
29.0,316,248.528451
24.0,225,249.963733
28.0,284,251.835549
20.0,182,253.014203
24.0,254,254.29406
23.0,213,255.658974
24.0,240,257.203423
23.0,211,258.565801
25.0,230,260.077116
30.0,310,262.067406
17.0,146,263.012182
27.0,245,264.606837
19.0,182,265.782694
26.0,271,267.557604
14.0,141,268.486035
20.0,194,269.728843
38.0,391,272.24715
21.0,224,273.701988
20.0,176,274.853721
26.0,231,276.356107
21.0,189,277.569615
24.0,228,288.114428
28.0,264,289.794792
28.0,306,291.779036
9.0,140,292.706483
30.0,334,294.881273
20.0,193,296.158993
20.0,187,297.349487
25.0,235,298.857785
14.0,116,299.610469
31.0,350,301.890221
20.0,192,302.798891
22.0,231,304.306977
20.0,173,305.44169
30.0,279,307.21755
28.0,299,309.164945
31.0,296,311.099424
19.0,195,312.369116
18.0,170,313.471488
13.0,122,314.26911
27.0,304,316.250738
16.0,158,317.283952
14.0,147,318.237692
