#{"t_start": 1721122164.2859764, "env_id": "VizdoomDefendLine-v0"}
r,l,t
3.0,92,1.470163
0.0,51,1.499223
0.0,54,1.529909
2.0,86,1.578218
1.0,49,1.606054
1.0,65,1.642696
7.0,153,1.728024
5.0,118,1.793966
3.0,86,1.842013
5.0,105,1.901101
0.0,59,3.376827
2.0,95,3.430353
0.0,63,3.465608
3.0,91,3.516423
3.0,94,3.568717
5.0,107,3.628153
5.0,110,3.689781
2.0,61,3.724294
4.0,123,3.792078
2.0,85,3.839246
10.0,146,8.082059
2.0,54,8.113146
6.0,133,8.189139
9.0,150,8.274336
4.0,90,8.326224
11.0,217,8.448131
6.0,87,8.497283
6.0,113,8.561313
5.0,101,8.618723
7.0,107,8.679847
7.0,132,13.222638
3.0,69,13.260997
4.0,78,13.304732
4.0,62,13.339372
7.0,135,13.413284
5.0,122,13.480279
5.0,125,13.548861
10.0,189,13.652643
5.0,100,13.707551
5.0,93,13.758736
23.0,251,18.641433
3.0,83,18.68802
8.0,114,18.752207
5.0,81,18.797788
11.0,124,18.867713
21.0,243,19.004761
12.0,145,19.087359
5.0,79,19.132421
12.0,170,19.227388
13.0,167,19.322101
26.0,272,24.267523
16.0,159,24.358006
22.0,207,24.475953
14.0,147,24.560352
16.0,144,24.642509
18.0,162,24.734565
20.0,182,24.837532
18.0,165,24.931429
19.0,176,25.031462
27.0,258,25.178497
22.0,206,30.079744
26.0,272,30.233681
17.0,138,30.312154
23.0,213,30.432832
25.0,262,30.580886
35.0,336,30.769301
5.0,79,30.813648
20.0,196,30.92381
16.0,147,31.007339
8.0,111,31.069438
15.0,154,35.93888
29.0,269,36.089672
28.0,252,36.230901
28.0,241,36.366706
25.0,257,36.511999
24.0,231,36.641668
24.0,225,36.767755
17.0,155,36.854956
20.0,179,36.955905
13.0,101,37.01324
21.0,188,41.922226
20.0,202,42.036574
10.0,99,42.093143
15.0,138,42.171983
29.0,284,42.331905
18.0,168,42.427216
21.0,198,42.539333
27.0,263,42.688595
24.0,239,42.824338
22.0,192,42.933176
21.0,248,47.828174
17.0,170,47.924719
15.0,152,48.011943
13.0,150,48.098011
22.0,233,48.23018
11.0,87,48.280448
11.0,112,48.344823
14.0,140,48.424502
17.0,194,48.53428
20.0,197,48.645671
16.0,138,53.480061
18.0,178,53.580869
27.0,242,53.717342
19.0,157,53.806512
27.0,265,53.955572
16.0,131,54.029805
22.0,186,54.13466
23.0,236,54.268002
20.0,184,54.371855
30.0,271,54.525128
15.0,126,59.37184
19.0,164,59.464609
23.0,205,59.580562
23.0,184,59.684441
27.0,224,59.810251
12.0,89,59.861177
22.0,188,59.96725
24.0,204,60.082211
31.0,275,60.236991
32.0,294,60.402045
31.0,267,60.562652
19.0,161,60.653586
20.0,193,60.762766
26.0,235,60.895155
25.0,239,61.030137
30.0,265,61.179763
25.0,213,61.299996
20.0,175,61.398711
29.0,278,61.556476
20.0,184,61.661746
97,11.766765
8.0,102,11.861542
15.0,182,12.025565
5.0,77,12.096788
9.0,140,12.225574
5.0,81,12.298833
20.0,270,12.542986
5.0,103,12.636841
13.0,153,12.777048
9.0,109,12.877506
1.0,54,12.925482
8.0,139,13.052634
4.0,78,13.123402
2.0,60,13.179021
10.0,218,13.37614
12.0,173,14.1463
6.0,94,14.233551
13.0,154,14.375022
11.0,150,14.516401
11.0,171,14.671673
13.0,138,14.799622
11.0,129,14.922869
14.0,160,15.073593
6.0,99,15.167093
17.0,155,15.313411
17.0,178,15.480018
12.0,166,15.638863
25.0,252,15.875555
7.0,85,15.957373
21.0,224,16.171279
8.0,95,16.261976
21.0,217,16.469615
10.0,116,16.581299
6.0,123,16.698223
14.0,144,16.836866
14.0,152,16.98292
17.0,164,17.140154
17.0,197,17.329252
17.0,171,17.494211
24.0,243,17.724917
22.0,240,17.957261
6.0,88,18.039587
18.0,169,18.201017
19.0,153,18.346274
4.0,93,18.435127
21.0,215,18.639916
10.0,108,19.574588
16.0,151,19.720442
12.0,133,19.846097
10.0,104,19.946987
8.0,141,20.079735
31.0,352,20.415209
22.0,246,20.651416
12.0,140,20.785984
7.0,113,20.893846
16.0,175,21.061133
12.0,114,21.170936
19.0,171,21.3354
10.0,117,21.449107
5.0,102,21.547685
10.0,127,21.669072
14.0,140,21.803029
12.0,141,21.94015
21.0,199,22.129727
15.0,142,22.266623
12.0,105,22.367671
11.0,143,22.503391
15.0,194,22.686701
8.0,130,22.809997
17.0,241,23.037271
5.0,80,23.114184
11.0,176,23.281026
19.0,234,23.506454
22.0,261,23.754661
14.0,134,23.881942
25.0,254,24.125175
12.0,113,24.23405
16.0,175,25.477785
22.0,213,25.680185
21.0,193,25.863658
19.0,215,26.070205
