#{"t_start": 1721156463.2292597, "env_id": "VizdoomDefendLine-v0"}
r,l,t
6.0,98,2.386961
1.0,51,3.209186
14.0,217,6.727137
7.0,109,8.513088
13.0,201,11.739144
8.0,154,14.199439
9.0,171,16.981622
4.0,119,18.904863
3.0,84,20.095784
16.0,248,23.269759
5.0,115,25.11312
4.0,114,26.923138
7.0,122,28.891343
17.0,215,32.346774
7.0,124,34.325711
2.0,49,35.137228
16.0,220,38.698069
5.0,87,40.082923
5.0,100,41.699295
8.0,150,43.779351
7.0,150,45.515065
17.0,197,48.741217
5.0,85,50.090643
9.0,180,52.979016
3.0,106,54.703367
11.0,190,57.780169
7.0,124,59.79253
6.0,105,61.521265
6.0,122,63.490751
8.0,133,65.616856
8.0,142,67.45389
3.0,51,67.494596
2.0,58,68.436087
9.0,221,72.051916
4.0,87,73.443673
7.0,127,75.465979
10.0,128,77.54954
9.0,166,88.931808
13.0,238,91.690889
8.0,106,93.367957
7.0,145,95.72782
18.0,195,98.922704
11.0,182,101.848781
6.0,146,104.191193
13.0,242,108.138883
4.0,91,109.626355
13.0,200,112.850436
5.0,114,114.7033
7.0,156,115.468327
5.0,107,116.297218
6.0,111,117.140452
8.0,124,118.067899
6.0,106,118.89674
13.0,202,120.484783
8.0,107,121.273434
6.0,124,122.203238
4.0,99,122.938304
10.0,190,124.065362
6.0,130,142.494938
4.0,70,143.020536
5.0,71,143.62514
6.0,154,144.884025
9.0,144,146.025814
9.0,135,146.960914
8.0,138,148.004686
12.0,198,149.547199
12.0,161,150.761782
13.0,148,151.827978
17.0,224,153.5591
15.0,206,155.079971
11.0,143,163.021257
17.0,192,164.551334
7.0,120,165.484424
13.0,164,166.733756
17.0,251,168.630138
6.0,106,169.496096
14.0,198,171.08236
6.0,111,172.019332
7.0,102,172.767414
9.0,160,174.031633
6.0,91,174.768449
14.0,175,176.167684
18.0,220,177.917542
16.0,234,179.801018
7.0,114,180.648772
17.0,188,181.952644
12.0,212,183.454888
9.0,164,184.52364
7.0,120,185.478022
2.0,70,186.011301
14.0,204,187.601172
5.0,121,188.541836
14.0,175,189.884058
13.0,180,191.2647
9.0,174,192.629221
13.0,150,193.769122
7.0,95,194.437177
12.0,171,195.757462
17.0,224,197.543911
14.0,177,198.86941
9.0,170,200.054502
8.0,106,200.828307
10.0,130,208.549797
4.0,92,209.208964
17.0,183,210.699615
9.0,124,211.548969
13.0,153,212.774538
7.0,97,213.56181
13.0,132,214.569179
13.0,168,215.842283
12.0,150,217.074548
14.0,247,236.695486
12.0,162,237.928934
20.0,218,239.67695
19.0,287,241.917196
14.0,174,243.223458
16.0,190,244.73999
13.0,136,245.867606
19.0,206,247.52803
19.0,232,249.378681
19.0,221,250.992283
19.0,237,252.887604
12.0,149,254.002197
3.0,76,254.579993
17.0,210,256.241915
13.0,164,257.558353
9.0,114,258.459985
11.0,140,259.248901
12.0,137,260.265655
16.0,152,261.449556
12.0,177,262.845535
16.0,178,271.364986
15.0,178,272.685877
11.0,152,273.838177
9.0,142,274.988748
12.0,131,276.003763
20.0,219,277.79569
10.0,125,278.801718
15.0,182,280.052432
17.0,215,281.636859
7.0,104,282.490802
17.0,221,284.189625
11.0,163,285.458305
17.0,208,287.162506
16.0,215,288.91159
7.0,108,289.708592
15.0,188,291.004732
11.0,125,292.010204
15.0,155,293.309294
7.0,84,293.922575
11.0,128,294.935375
9.0,140,296.10415
22.0,235,297.708135
13.0,156,298.976631
18.0,227,300.607442
24.0,263,302.534801
8.0,90,303.20438
10.0,142,304.339561
8.0,102,305.166541
12.0,160,306.480304
19.0,211,325.803102
18.0,182,327.205986
21.0,263,336.166641
16.0,174,337.455129
12.0,139,338.581125
24.0,269,340.431998
13.0,158,341.570225
20.0,221,343.280596
12.0,124,344.25232
7.0,98,345.000714
13.0,182,346.440428
11.0,116,347.354184
13.0,160,348.578649
8.0,99,349.307282
19.0,196,350.883082
8.0,120,351.819724
15.0,201,353.348474
25.0,313,355.712339
12.0,153,356.90068
9.0,129,357.874358
24.0,281,359.946253
9.0,120,360.829892
14.0,165,362.089134
16.0,180,363.412394
15.0,198,364.967191
18.0,189,366.387477
20.0,218,368.106067
12.0,141,369.162087
12.0,121,370.077325
9.0,103,370.867566
18.0,203,372.43916
16.0,187,381.930732
13.0,162,383.160524
10.0,100,383.948648
17.0,233,385.674291
7.0,93,386.420251
21.0,226,388.125453
10.0,122,389.051372
19.0,243,390.992116
15.0,168,392.230087
9.0,121,393.208389
14.0,170,394.544817
12.0,144,395.676521
14.0,142,396.815752
12.0,149,397.987738
30.0,337,400.727695
11.0,110,401.558837
16.0,212,420.346292
15.0,174,421.751405
24.0,300,424.069848
15.0,159,425.254504
17.0,155,426.177797
10.0,119,426.969349
10.0,113,427.845326
12.0,163,429.089811
19.0,191,430.515688
14.0,185,431.776168
19.0,265,433.481709
13.0,156,434.631284
13.0,139,442.074902
20.0,238,445.892169
16.0,170,448.604151
27.0,315,453.621193
19.0,237,457.413601
16.0,156,459.890495
20.0,215,463.071833
7.0,117,464.164007
12.0,123,466.141918
12.0,154,468.618603
18.0,184,471.559905
22.0,249,475.558615
7.0,72,476.724189
18.0,186,479.763178
7.0,78,481.007494
11.0,108,482.748501
11.0,116,484.683555
26.0,290,488.399176
16.0,166,490.995949
23.0,286,495.540382
13.0,172,498.28523
18.0,209,501.643442
17.0,178,504.4944
12.0,130,506.554533
13.0,135,508.704151
16.0,182,510.427093
17.0,217,513.451135
11.0,121,515.380929
14.0,144,517.657462
10.0,110,531.035422
9.0,109,532.80782
17.0,208,534.900949
20.0,247,538.891124
11.0,109,540.654055
11.0,147,543.037849
26.0,293,568.895908
21.0,248,570.686123
16.0,192,572.234299
15.0,159,573.456761
22.0,225,574.933316
17.0,143,576.02655
8.0,110,576.583814
14.0,163,577.854131
17.0,212,579.476929
20.0,213,581.155759
24.0,269,583.32744
13.0,128,584.392656
19.0,207,586.053167
20.0,266,588.159429
8.0,100,588.964852
14.0,160,590.226402
11.0,110,590.950856
23.0,287,593.215517
22.0,249,595.17966
11.0,147,596.312245
15.0,164,597.613744
7.0,89,605.72492
21.0,197,607.235176
27.0,290,609.564443
17.0,192,611.009959
24.0,233,612.87036
12.0,125,613.849483
22.0,234,615.679312
21.0,255,617.629896
16.0,198,619.197427
9.0,137,620.266477
19.0,202,621.788193
17.0,188,623.258463
11.0,113,624.142788
16.0,179,625.525006
7.0,133,626.467572
15.0,142,627.574021
18.0,187,629.100389
9.0,107,629.847584
15.0,176,631.216845
16.0,187,632.693175
12.0,128,633.687066
24.0,261,635.703881
16.0,184,637.10399
18.0,212,656.519936
27.0,308,658.92596
16.0,192,660.408623
16.0,146,661.515055
20.0,177,670.110878
27.0,330,672.674777
13.0,190,674.011671
23.0,239,675.881503
22.0,268,677.973404
32.0,380,680.907405
20.0,209,682.529146
21.0,240,684.398505
16.0,161,685.667531
21.0,268,687.714865
8.0,88,688.404531
12.0,104,689.194655
17.0,195,690.682039
20.0,232,692.475511
14.0,128,693.372163
13.0,143,694.491036
21.0,236,696.283944
11.0,135,697.306718
17.0,177,698.645576
14.0,168,699.954972
14.0,143,701.09269
18.0,199,702.466347
10.0,81,703.034347
15.0,160,704.244772
20.0,225,706.055799
15.0,180,707.455411
12.0,166,715.43665
9.0,82,716.047269
25.0,286,718.228713
17.0,169,719.537302
19.0,207,721.076152
19.0,176,722.429398
25.0,289,724.424888
16.0,181,725.829405
21.0,217,727.617956
16.0,174,728.92691
30.0,357,731.658802
20.0,207,750.672622
25.0,258,752.695529
13.0,152,753.831462
15.0,161,755.095531
16.0,180,756.531056
18.0,191,757.943099
26.0,261,759.95975
23.0,213,761.545035
19.0,191,763.050291
17.0,214,764.735662
16.0,170,766.010612
19.0,200,767.528117
