#{"t_start": 1721173654.579085, "env_id": "VizdoomDefendLine-v0"}
r,l,t
10.0,133,4.912366
8.0,110,4.98783
6.0,77,5.040834
10.0,121,5.123105
16.0,211,5.265391
9.0,107,5.33767
7.0,82,5.393458
10.0,151,5.495225
9.0,118,5.575522
10.0,137,5.668746
12.0,163,10.594913
12.0,166,10.708615
10.0,125,10.794342
11.0,153,10.898781
14.0,193,11.029724
9.0,116,11.109228
9.0,128,11.19676
6.0,96,11.262954
9.0,113,11.340471
10.0,127,11.427594
11.0,143,16.70538
6.0,76,16.757939
9.0,112,16.834856
7.0,97,16.901755
10.0,114,16.979709
10.0,126,17.065955
10.0,149,17.167695
24.0,356,17.408652
10.0,149,17.509871
6.0,81,17.565813
13.0,170,22.5034
7.0,105,22.575324
7.0,92,22.638141
9.0,132,22.727812
6.0,94,22.792242
10.0,153,22.8969
7.0,99,22.965881
13.0,175,23.085312
9.0,122,23.168669
10.0,124,23.253694
5.0,68,28.473986
8.0,116,28.55299
10.0,142,28.64909
17.0,239,28.809642
7.0,93,28.873061
7.0,96,28.938338
11.0,130,29.026179
13.0,171,29.141553
20.0,258,29.313843
6.0,83,29.371042
9.0,130,34.248281
10.0,133,34.338292
10.0,146,34.437041
13.0,162,34.5465
7.0,91,34.608425
7.0,82,34.664115
10.0,131,34.753064
13.0,186,34.877979
11.0,154,34.983312
10.0,132,35.073589
8.0,98,40.341804
7.0,98,40.409485
10.0,129,40.498161
7.0,99,40.566152
11.0,143,40.663907
11.0,149,40.765627
6.0,91,40.828231
11.0,120,40.910025
16.0,226,41.063067
11.0,142,41.159977
15.0,194,46.137838
7.0,91,46.200642
9.0,115,46.279868
11.0,160,46.389218
13.0,161,46.49892
10.0,123,46.583071
8.0,110,46.658746
19.0,262,46.835316
9.0,120,46.917285
4.0,65,46.962357
7.0,85,51.853731
3.0,53,51.890321
8.0,113,51.966327
9.0,109,52.040004
9.0,120,52.121079
10.0,146,52.219615
9.0,131,52.307822
7.0,105,52.378634
9.0,139,52.472116
7.0,83,52.528632
8.0,109,57.75671
10.0,135,57.849102
7.0,91,57.91201
10.0,121,57.994995
8.0,114,58.073372
9.0,119,58.154848
10.0,122,58.238551
6.0,91,58.301174
15.0,188,58.42979
11.0,148,58.531133
11.0,142,63.463151
9.0,109,63.537708
10.0,137,63.631189
10.0,145,63.730195
7.0,94,63.794561
13.0,165,63.906708
10.0,138,64.000594
4.0,55,64.03905
9.0,107,64.111947
14.0,192,64.242326
14.0,190,69.577478
17.0,240,69.740113
7.0,91,69.802722
9.0,116,69.882799
6.0,90,69.944904
8.0,111,70.020916
10.0,127,70.108012
10.0,136,70.201239
7.0,90,70.263188
9.0,130,70.352564
9.0,126,71.987318
6.0,83,72.044479
10.0,137,72.137434
8.0,110,72.212171
10.0,136,72.305336
11.0,144,72.403263
8.0,110,72.478462
10.0,135,72.570527
9.0,120,72.652309
16.0,215,72.7979
653
12.0,117,23.59655
13.0,141,23.713399
11.0,190,24.226279
7.0,103,24.311879
23.0,247,24.515409
6.0,84,24.585574
12.0,178,24.731943
13.0,182,24.8821
12.0,147,25.003373
11.0,139,25.118382
19.0,205,25.286931
10.0,131,25.394835
10.0,89,25.469035
8.0,126,25.572937
17.0,278,25.799048
10.0,130,26.263121
29.0,354,26.554064
14.0,152,26.678765
15.0,174,26.821893
15.0,190,26.977156
32.0,483,27.368313
10.0,180,27.513515
6.0,66,27.568568
14.0,180,27.715304
6.0,93,27.791277
16.0,217,28.323258
11.0,171,28.46294
8.0,105,28.54909
9.0,173,29.640794
18.0,251,29.845692
7.0,157,29.972843
7.0,122,30.072706
20.0,243,30.270304
12.0,133,30.378956
9.0,91,30.453907
19.0,219,30.631799
19.0,236,30.824198
9.0,134,31.287091
17.0,191,31.442733
15.0,195,31.601861
20.0,266,31.818338
13.0,161,31.949833
10.0,121,32.049057
11.0,122,32.14912
21.0,246,32.34961
11.0,134,32.458958
18.0,322,32.718427
14.0,178,33.21857
11.0,124,33.320399
14.0,132,33.428206
16.0,235,33.619052
11.0,135,33.729908
7.0,117,33.825643
24.0,323,34.087826
3.0,94,34.164047
12.0,162,35.211779
13.0,149,35.335349
10.0,152,35.460126
22.0,232,35.652497
14.0,196,36.173037
16.0,179,36.32097
12.0,116,36.416848
16.0,214,36.591314
8.0,92,36.667875
20.0,218,36.847264
18.0,196,37.008766
11.0,128,37.114642
18.0,208,37.285846
16.0,176,37.431958
14.0,137,37.545343
18.0,199,37.709126
22.0,251,38.274119
16.0,203,38.441937
21.0,290,38.680682
8.0,95,38.759432
10.0,137,38.873188
17.0,184,39.024821
9.0,154,39.151062
19.0,187,39.304956
14.0,180,39.453274
22.0,239,39.650161
11.0,170,39.789969
11.0,125,39.893449
10.0,85,40.321517
11.0,147,41.330893
10.0,139,41.445502
13.0,158,41.576207
19.0,203,41.742961
14.0,147,41.864012
9.0,103,41.949651
16.0,205,42.118285
16.0,169,42.25769
11.0,131,42.365937
25.0,314,42.623575
10.0,167,42.761026
18.0,214,43.294238
11.0,124,43.397664
4.0,47,43.437608
12.0,198,43.598998
9.0,114,43.693446
9.0,117,43.790753
10.0,104,43.877182
17.0,236,44.071975
14.0,157,44.201994
21.0,207,44.373093
5.0,89,44.445916
14.0,194,44.606899
11.0,117,44.704158
15.0,152,44.829918
18.0,256,45.398593
19.0,206,45.568709
14.0,167,45.70717
9.0,135,45.819412
15.0,202,45.986127
5.0,101,46.069095
14.0,200,47.199382
28.0,366,47.500314
18.0,200,47.664621
13.0,143,47.78265
18.0,198,48.303363
13.0,169,48.443193
12.0,154,48.57032
9.0,167,48.707495
12.0,173,48.85087
12.0,133,48.961632
8.0,93,49.038586
9.0,120,49.138287
26.0,282,49.370416
19.0,238,49.566202
6.0,94,49.644898
19.0,225,49.830329
16.0,201,50.353734
11.0,153,50.480034
21.0,258,50.691486
24.0,264,50.908421
16.0,165,51.043791
17.0,177,51.189373
21.0,240,51.383447
10.0,172,51.523416
22.0,246,51.723124
7.0,86,51.793851
19.0,260,53.09157
19.0,194,53.249737
18.0,198,53.412028
20.0,199,53.574661
17.0,176,53.718968
16.0,210,53.890528
12.0,125,53.993104
16.0,173,54.134978
15.0,133,54.244518
18.0,196,54.404237
12.0,132,54.512556
27.0,320,55.126574
8.0,96,55.205447
11.0,152,55.329849
13.0,126,55.432982
17.0,193,55.590152
16.0,208,55.75951
8.0,127,55.863108
15.0,173,56.00451
12.0,224,56.184968
7.0,88,56.257689
24.0,286,56.490474
7.0,91,56.565291
7.0,77,56.629049
23.0,257,57.196539
16.0,180,57.344868
8.0,147,57.46436
10.0,130,57.570486
18.0,208,57.741634
15.0,136,58.706295
15.0,155,58.834106
14.0,158,58.964602
10.0,104,59.050682
21.0,252,59.257637
15.0,170,59.397667
23.0,244,59.599043
7.0,102,60.040329
17.0,178,60.18702
8.0,107,60.276326
12.0,165,60.412622
15.0,139,60.527313
20.0,191,60.684765
20.0,231,60.874773
9.0,93,60.95201
17.0,293,61.192533
11.0,121,61.292515
9.0,147,61.411914
13.0,136,61.524213
20.0,188,61.679453
25.0,270,62.258905
9.0,140,62.375248
20.0,212,62.549875
15.0,204,62.717428
12.0,112,62.810327
25.0,351,63.095801
19.0,215,63.27255
16.0,179,63.420444
15.0,181,64.44794
14.0,133,64.558491
8.0,127,65.021581
20.0,188,65.177003
6.0,122,65.277568
11.0,130,65.385188
23.0,209,65.557661
27.0,318,65.819706
23.0,277,66.047991
23.0,234,66.240771
18.0,184,66.39242
12.0,120,66.491879
28.0,360,67.1456
8.0,98,67.227013
12.0,135,67.338722
13.0,139,67.453671
6.0,70,67.512681
26.0,279,67.74227
14.0,138,67.856948
20.0,211,68.03125
11.0,130,68.138808
25.0,276,68.365479
22.0,233,68.557523
16.0,181,68.706888
17.0,155,69.194508
14.0,188,69.349643
21.0,173,69.492371
11.0,116,70.495987
12.0,121,70.596655
16.0,182,70.746568
18.0,215,70.923475
12.0,164,71.058734
8.0,98,71.140156
19.0,202,71.306794
9.0,95,71.386164
23.0,234,71.57952
