#{"t_start": 1721509923.160243, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
476.0,144,3.014292
412.0,128,3.047506
284.0,96,3.071992
284.0,96,3.096054
540.0,160,3.135948
476.0,144,3.171287
284.0,96,3.195148
380.0,120,3.225253
476.0,144,3.260813
412.0,128,3.292758
284.0,96,3.317045
284.0,96,3.341608
380.0,120,3.372917
412.0,128,3.405692
796.0,224,3.463192
476.0,144,3.499468
380.0,120,3.529847
380.0,120,3.559599
284.0,96,3.58332
572.0,168,3.624597
284.0,96,3.648839
380.0,120,3.678183
476.0,144,3.713439
284.0,96,3.737522
380.0,120,3.767402
476.0,144,3.803131
476.0,144,3.8382
284.0,96,3.862791
572.0,168,3.904968
284.0,96,3.928579
380.0,120,3.958561
284.0,96,3.983006
892.0,248,4.043991
476.0,144,4.079624
380.0,120,4.110178
476.0,144,4.147321
348.0,112,4.175643
572.0,168,4.216861
444.0,136,7.569777
412.0,128,7.602763
572.0,168,7.646041
380.0,120,7.675631
572.0,168,7.717681
380.0,120,7.747784
604.0,176,7.791263
380.0,120,7.82134
380.0,120,7.850461
380.0,120,7.881233
284.0,96,7.905668
380.0,120,7.935983
380.0,120,7.965574
444.0,136,7.999195
476.0,144,8.034974
572.0,168,8.076163
380.0,120,8.105966
540.0,160,8.144941
380.0,120,8.174424
316.0,104,8.200635
284.0,96,8.225269
412.0,128,8.256664
572.0,168,8.299213
380.0,120,8.32877
284.0,96,8.353367
380.0,120,8.383355
476.0,144,8.419538
380.0,120,8.448987
284.0,96,8.473006
380.0,120,8.50275
540.0,160,8.543035
380.0,120,8.57281
284.0,96,8.597387
284.0,96,8.621653
284.0,96,8.645988
380.0,120,8.675176
412.0,128,8.706713
284.0,96,8.731201
284.0,96,8.755604
380.0,120,8.785192
284.0,96,12.809105
284.0,96,12.897633
380.0,120,13.006719
380.0,120,13.112354
316.0,104,13.206293
476.0,144,13.337121
476.0,144,13.467628
572.0,168,13.620485
284.0,96,13.708115
284.0,96,13.794056
380.0,120,13.90364
380.0,120,14.012661
284.0,96,14.101568
380.0,120,14.216238
380.0,120,14.328185
412.0,128,14.44716
380.0,120,14.560271
284.0,96,14.650601
284.0,96,14.742617
380.0,120,14.855201
284.0,96,14.944827
348.0,112,15.050906
284.0,96,15.144681
284.0,96,15.236049
284.0,96,15.327175
284.0,96,15.417896
380.0,120,15.532366
540.0,160,15.684631
476.0,144,15.821561
380.0,120,15.939644
284.0,96,16.032195
284.0,96,16.123818
796.0,224,16.339417
284.0,96,16.43064
380.0,120,16.544461
284.0,96,16.635597
284.0,96,16.726869
284.0,96,16.819427
284.0,96,16.912032
284.0,96,17.003047
284.0,96,17.094508
380.0,120,17.210485
284.0,96,17.303027
380.0,120,17.418256
284.0,96,18.067934
284.0,96,18.160325
284.0,96,18.252991
284.0,96,18.345367
284.0,96,18.437929
284.0,96,18.529943
