#{"t_start": 1721512676.8959029, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
284.0,96,1.324691
284.0,96,1.376788
284.0,96,1.428571
284.0,96,1.480428
284.0,96,1.532192
284.0,96,1.584021
284.0,96,1.635882
284.0,96,1.687671
284.0,96,1.739318
284.0,96,1.791095
284.0,96,3.107036
284.0,96,3.158415
284.0,96,3.209677
284.0,96,3.260672
284.0,96,3.311689
284.0,96,3.362851
284.0,96,3.413825
284.0,96,3.464773
284.0,96,3.523815
284.0,96,3.575168
284.0,96,8.339918
284.0,96,8.391036
284.0,96,8.44211
284.0,96,8.493371
284.0,96,8.544482
284.0,96,8.595683
284.0,96,8.646652
284.0,96,8.697759
284.0,96,8.748805
284.0,96,8.800135
316.0,104,13.631454
380.0,120,13.694501
348.0,112,13.7534
316.0,104,13.807982
316.0,104,13.862481
284.0,96,13.913127
284.0,96,13.963682
348.0,112,14.022179
284.0,96,14.075916
284.0,96,14.126898
284.0,96,18.961342
284.0,96,19.012977
284.0,96,19.064268
284.0,96,19.115853
284.0,96,19.166716
284.0,96,19.217585
284.0,96,19.268307
284.0,96,19.319177
284.0,96,19.370098
284.0,96,19.420965
284.0,96,24.221143
284.0,96,24.272419
284.0,96,24.323691
284.0,96,24.375015
284.0,96,24.426228
284.0,96,24.477538
284.0,96,24.528962
284.0,96,24.580305
284.0,96,24.631622
284.0,96,24.682932
284.0,96,29.498893
284.0,96,29.550491
284.0,96,29.602327
284.0,96,29.653706
284.0,96,29.704958
284.0,96,29.756161
284.0,96,29.807414
284.0,96,29.858952
284.0,96,29.910098
284.0,96,29.961679
444.0,136,34.777915
284.0,96,34.829696
636.0,184,34.927227
412.0,128,34.995157
476.0,144,35.071971
508.0,152,35.15286
348.0,112,35.212533
572.0,168,35.301533
476.0,144,35.377971
508.0,152,35.458302
284.0,96,40.263692
284.0,96,40.31519
444.0,136,40.387856
348.0,112,40.44768
284.0,96,40.499092
348.0,112,40.559225
284.0,96,40.610529
316.0,104,40.666041
284.0,96,40.717238
316.0,104,40.772631
380.0,120,45.5892
316.0,104,45.643346
284.0,96,45.693235
284.0,96,45.743035
284.0,96,45.792799
380.0,120,45.854849
284.0,96,45.904672
348.0,112,45.962717
316.0,104,46.016668
316.0,104,46.070547
572.0,168,50.937353
380.0,120,51.001084
284.0,96,51.052032
540.0,160,51.137498
316.0,104,51.192818
284.0,96,51.243744
380.0,120,51.30734
444.0,136,51.379705
284.0,96,51.430731
380.0,120,51.495166
284.0,96,56.333096
284.0,96,56.384696
284.0,96,56.436374
284.0,96,56.488637
284.0,96,56.539629
284.0,96,56.59122
284.0,96,56.642383
284.0,96,56.693965
284.0,96,56.745559
284.0,96,56.797266
284.0,96,56.852347
284.0,96,56.904046
284.0,96,56.956361
284.0,96,57.008137
284.0,96,57.059885
284.0,96,57.111714
284.0,96,57.164392
284.0,96,57.216198
284.0,96,57.267944
284.0,96,57.319846
96,9.510286
284.0,96,9.601073
284.0,96,9.692777
284.0,96,9.785151
380.0,120,9.900733
284.0,96,9.993601
284.0,96,10.085959
380.0,120,10.20086
284.0,96,10.294063
284.0,96,10.38635
380.0,120,10.501596
284.0,96,10.59435
476.0,144,10.731586
284.0,96,10.823606
284.0,96,10.916258
284.0,96,11.00887
284.0,96,11.101527
284.0,96,11.194164
380.0,120,11.309389
284.0,96,11.400859
380.0,120,11.515147
284.0,96,11.607447
380.0,120,11.723156
284.0,96,11.815914
380.0,120,11.936418
380.0,120,12.057602
572.0,168,12.214398
284.0,96,12.306588
284.0,96,12.397217
284.0,96,12.487352
380.0,120,12.598723
284.0,96,12.689944
348.0,112,12.795473
476.0,144,12.930176
284.0,96,13.020608
284.0,96,13.111199
284.0,96,13.201528
476.0,144,13.337733
284.0,96,13.428909
284.0,96,13.520033
476.0,144,13.655312
348.0,112,13.763175
316.0,104,14.425083
284.0,96,14.516583
284.0,96,14.607109
348.0,112,14.712812
316.0,104,14.81209
284.0,96,14.903786
380.0,120,15.017489
284.0,96,15.108257
284.0,96,15.199589
284.0,96,15.291711
284.0,96,15.383328
284.0,96,15.475546
284.0,96,15.566842
284.0,96,15.656473
380.0,120,15.76737
284.0,96,15.857156
476.0,144,15.989856
284.0,96,16.080801
284.0,96,16.171797
380.0,120,16.287935
284.0,96,16.37787
380.0,120,16.49195
284.0,96,16.583787
380.0,120,16.696682
284.0,96,16.787839
284.0,96,16.88016
284.0,96,16.972404
476.0,144,17.111167
284.0,96,17.204031
700.0,200,17.395859
380.0,120,17.511932
284.0,96,17.605363
284.0,96,17.698515
476.0,144,17.836349
476.0,144,17.97479
284.0,96,18.067342
412.0,128,18.191677
380.0,120,18.307103
380.0,120,18.422684
476.0,144,18.560181
284.0,96,18.652492
284.0,96,18.742436
380.0,120,18.857458
284.0,96,18.950277
284.0,96,19.042891
284.0,96,19.648237
284.0,96,19.73796
380.0,120,19.852263
316.0,104,19.949383
412.0,128,20.070576
476.0,144,20.208094
284.0,96,20.300003
380.0,120,20.414134
380.0,120,20.528629
316.0,104,20.627605
284.0,96,20.719322
380.0,120,20.832069
316.0,104,20.931213
572.0,168,21.090528
284.0,96,21.182567
284.0,96,21.27499
316.0,104,21.375108
380.0,120,21.492901
348.0,112,21.59986
380.0,120,21.714312
284.0,96,21.806877
284.0,96,21.900037
284.0,96,21.991967
380.0,120,22.106106
284.0,96,22.198368
316.0,104,22.29977
284.0,96,22.391663
348.0,112,22.499386
380.0,120,22.616394
412.0,128,22.738626
380.0,120,22.851882
284.0,96,22.942487
284.0,96,23.032834
284.0,96,23.121001
540.0,160,23.269383
636.0,184,23.441126
284.0,96,23.530269
700.0,200,23.716752
284.0,96,23.807073
284.0,96,23.897077
284.0,96,23.987177
284.0,96,24.076911
380.0,120,24.190267
476.0,144,24.327076
284.0,96,24.932505
572.0,168,25.091527
476.0,144,25.229697
284.0,96,25.32223
380.0,120,25.436779
284.0,96,25.529011
380.0,120,25.643746
284.0,96,25.735483
380.0,120,25.850486
284.0,96,25.942449
284.0,96,26.034014
412.0,128,26.156928
476.0,144,26.292806
476.0,144,26.429958
284.0,96,26.521966
284.0,96,26.614351
380.0,120,26.728916
284.0,96,26.819488
284.0,96,26.908024
572.0,168,27.062449
380.0,120,27.174722
348.0,112,27.279054
380.0,120,27.391247
380.0,120,27.503094
380.0,120,27.6182
412.0,128,27.740449
284.0,96,27.83321
284.0,96,27.925811
380.0,120,28.039926
668.0,192,28.224563
444.0,136,28.355247
284.0,96,28.447752
380.0,120,28.56307
668.0,192,28.74555
380.0,120,28.861147
284.0,96,28.955328
380.0,120,29.069764
380.0,120,29.18359
796.0,224,29.398254
316.0,104,29.497343
284.0,96,29.589817
380.0,120,30.218684
380.0,120,30.332448
284.0,96,30.423438
444.0,136,30.553473
380.0,120,30.663349
