#{"t_start": 1721513367.2290025, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
348.0,112,2.305876
348.0,112,2.39118
412.0,128,2.4893
380.0,120,2.581132
380.0,120,2.673883
476.0,144,2.788323
476.0,144,2.898852
476.0,144,3.008654
380.0,120,3.099684
284.0,96,3.178766
476.0,144,3.285626
572.0,168,3.412015
444.0,136,3.513939
476.0,144,3.622299
380.0,120,3.712803
444.0,136,3.814855
284.0,96,3.887268
476.0,144,3.996547
380.0,120,4.087767
380.0,120,4.17798
284.0,96,4.250973
284.0,96,4.323387
476.0,144,4.431524
380.0,120,4.522117
380.0,120,4.61278
284.0,96,4.686107
284.0,96,4.758858
284.0,96,4.831476
412.0,128,4.928015
540.0,160,5.049597
476.0,144,5.157782
380.0,120,5.248316
412.0,128,5.344803
348.0,112,5.42977
572.0,168,5.557899
412.0,128,5.655028
284.0,96,5.728176
380.0,120,5.81948
444.0,136,5.92215
284.0,96,5.994457
284.0,96,6.724519
572.0,168,6.860721
284.0,96,6.934036
476.0,144,7.042661
380.0,120,7.133714
476.0,144,7.24266
444.0,136,7.345483
572.0,168,7.474306
636.0,184,7.613657
284.0,96,7.68735
348.0,112,7.773178
476.0,144,7.882415
284.0,96,7.955275
380.0,120,8.046367
380.0,120,8.138051
476.0,144,8.247386
476.0,144,8.356453
380.0,120,8.447555
412.0,128,8.544572
284.0,96,8.618274
572.0,168,8.746311
380.0,120,8.838753
476.0,144,8.948482
380.0,120,9.040135
380.0,120,11.501851
444.0,136,11.607357
316.0,104,11.688005
284.0,96,11.762443
476.0,144,11.874038
316.0,104,11.954978
508.0,152,12.072359
572.0,168,12.201738
284.0,96,12.2765
476.0,144,12.388775
284.0,96,12.463416
380.0,120,12.556535
476.0,144,12.668051
380.0,120,12.763944
348.0,112,12.856787
284.0,96,13.564776
284.0,96,13.639753
348.0,112,13.726861
284.0,96,13.801719
380.0,120,13.895089
412.0,128,13.994189
284.0,96,14.069161
540.0,160,14.192525
380.0,120,14.293721
476.0,144,14.425579
284.0,96,14.499736
380.0,120,14.592371
572.0,168,14.722919
572.0,168,14.854726
572.0,168,14.984413
316.0,104,15.064722
380.0,120,15.157758
284.0,96,15.232326
284.0,96,15.3074
284.0,96,15.382446
284.0,96,15.456931
284.0,96,15.531233
380.0,120,15.62474
380.0,120,15.717453
284.0,96,15.792213
284.0,96,15.867131
476.0,144,15.97803
444.0,136,16.082651
796.0,224,16.256627
444.0,136,16.361782
284.0,96,16.43625
380.0,120,16.529205
636.0,184,16.671833
380.0,120,16.764998
380.0,120,16.858869
508.0,152,16.976305
508.0,152,17.094443
380.0,120,17.18805
380.0,120,17.281435
380.0,120,17.374769
444.0,136,18.133811
476.0,144,18.245425
476.0,144,18.357956
380.0,120,18.450891
284.0,96,18.525768
380.0,120,18.619317
380.0,120,18.712501
284.0,96,18.787984
380.0,120,18.881157
380.0,120,18.974449
380.0,120,19.067772
380.0,120,19.161356
316.0,104,20.658515
284.0,96,20.734663
476.0,144,20.847535
284.0,96,20.92373
572.0,168,21.056165
476.0,144,21.168736
284.0,96,21.24491
508.0,152,21.365064
476.0,144,21.477705
412.0,128,21.577865
316.0,104,21.660159
284.0,96,21.73489
284.0,96,21.809999
380.0,120,21.905969
476.0,144,22.020177
316.0,104,22.104052
284.0,96,22.179529
380.0,120,22.274371
284.0,96,22.350095
284.0,96,22.4261
284.0,96,22.501975
380.0,120,22.596128
380.0,120,22.690249
284.0,96,22.7666
476.0,144,22.880093
380.0,120,22.975194
284.0,96,23.050895
284.0,96,23.12689
380.0,120,23.220885
412.0,128,23.321732
476.0,144,23.435872
