#{"t_start": 1721517602.7429879, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
284.0,96,6.340984
284.0,96,6.403637
284.0,96,6.465617
284.0,96,6.527568
284.0,96,6.589357
284.0,96,6.651217
284.0,96,6.712805
284.0,96,6.774434
284.0,96,6.836038
284.0,96,6.89793
284.0,96,13.16679
284.0,96,13.22903
284.0,96,13.291602
284.0,96,13.354256
284.0,96,13.416219
284.0,96,13.47859
284.0,96,13.540641
284.0,96,13.602566
284.0,96,13.664974
284.0,96,13.727545
2100.0,525,20.421117
2100.0,525,20.758906
732.0,208,20.892558
2100.0,525,21.230076
2100.0,525,21.568012
2100.0,525,21.90545
1884.0,496,22.239105
2100.0,525,22.57704
2100.0,525,22.914567
956.0,264,23.084409
1020.0,280,29.55888
700.0,200,29.684879
732.0,208,29.816811
412.0,128,29.89738
1340.0,360,30.126753
476.0,144,30.217366
284.0,96,30.279387
892.0,248,30.437449
572.0,168,30.544528
412.0,128,30.625819
284.0,96,39.251037
828.0,232,39.399371
2100.0,525,39.734566
860.0,240,39.88747
316.0,104,39.95379
380.0,120,40.030287
700.0,200,40.157759
2100.0,525,40.493748
2100.0,525,40.828906
380.0,120,40.905754
2100.0,525,47.526311
284.0,96,47.587785
380.0,120,47.664502
572.0,168,47.772263
604.0,176,47.885128
284.0,96,47.946684
508.0,152,48.044017
380.0,120,48.120823
572.0,168,48.228854
380.0,120,48.305781
380.0,120,54.459971
284.0,96,54.519932
380.0,120,54.594657
444.0,136,54.679239
284.0,96,54.739253
348.0,112,54.809259
348.0,112,54.879132
284.0,96,54.938966
348.0,112,55.008445
316.0,104,55.07317
316.0,104,61.432813
348.0,112,61.503115
284.0,96,61.562851
284.0,96,61.622551
348.0,112,61.692409
284.0,96,61.752137
284.0,96,61.812016
348.0,112,61.882053
348.0,112,61.952005
380.0,120,62.026997
348.0,112,68.315092
284.0,96,68.375509
284.0,96,68.435776
284.0,96,68.495749
284.0,96,68.555861
284.0,96,68.61577
284.0,96,68.675838
284.0,96,68.735821
284.0,96,68.7957
284.0,96,68.855698
284.0,96,77.667204
380.0,120,77.742991
348.0,112,77.813578
284.0,96,77.874354
348.0,112,77.945268
380.0,120,78.020901
284.0,96,78.081735
348.0,112,78.152481
284.0,96,78.213061
348.0,112,78.283883
284.0,96,84.61142
284.0,96,84.672559
348.0,112,84.743462
284.0,96,84.804355
380.0,120,84.880551
284.0,96,84.941571
284.0,96,85.002646
348.0,112,85.073628
284.0,96,85.134744
284.0,96,85.195712
284.0,96,91.486549
284.0,96,91.54731
348.0,112,91.617965
316.0,104,91.683939
284.0,96,91.744812
348.0,112,91.815781
284.0,96,91.876732
348.0,112,91.947699
380.0,120,92.023741
284.0,96,92.084702
284.0,96,95.550148
284.0,96,95.610307
284.0,96,95.670324
284.0,96,95.730429
348.0,112,95.800643
380.0,120,95.875913
348.0,112,95.946198
284.0,96,96.006459
284.0,96,96.066542
284.0,96,96.126657
96,28.426339
668.0,192,28.577724
476.0,144,28.690887
380.0,120,28.784
892.0,248,28.978684
284.0,96,29.054294
284.0,96,29.129905
988.0,272,29.342865
956.0,264,30.794583
892.0,248,30.993863
796.0,224,33.514605
380.0,120,33.60773
348.0,112,33.694403
380.0,120,33.787931
412.0,128,33.887743
348.0,112,33.976011
380.0,120,34.069972
988.0,272,34.290749
284.0,96,34.365785
508.0,152,34.484111
380.0,120,34.577208
284.0,96,34.651952
1180.0,320,34.903206
1276.0,344,35.172684
284.0,96,35.247765
924.0,256,35.447447
380.0,120,35.540415
380.0,120,35.633509
284.0,96,35.709187
796.0,224,35.88365
796.0,224,36.058444
476.0,144,36.171614
860.0,240,36.358685
444.0,136,36.464071
284.0,96,36.539336
284.0,96,36.613847
380.0,120,36.7079
988.0,272,39.218426
1468.0,392,41.245031
348.0,112,41.333482
956.0,264,41.544695
284.0,96,41.621031
1692.0,448,41.976356
1212.0,328,42.236329
2100.0,525,42.65609
284.0,96,42.73301
1820.0,480,43.117168
284.0,96,43.194089
412.0,128,43.29644
444.0,136,43.405278
284.0,96,43.482372
476.0,144,43.597995
1084.0,296,43.833585
284.0,96,43.9105
284.0,96,46.289407
412.0,128,46.390243
668.0,192,46.541327
2100.0,525,46.959628
1180.0,320,47.213954
604.0,176,48.470491
2100.0,525,48.887628
2100.0,525,49.302855
2100.0,525,49.7164
284.0,96,49.792486
2100.0,525,50.208098
2100.0,525,50.623948
988.0,272,52.981305
892.0,248,53.175565
284.0,96,53.249939
412.0,128,53.350278
1180.0,320,53.600272
348.0,112,53.687863
668.0,192,53.837471
348.0,112,53.924184
316.0,104,54.004588
988.0,272,54.216265
348.0,112,54.303508
476.0,144,54.416882
316.0,104,54.497939
284.0,96,55.262735
284.0,96,55.337873
572.0,168,55.469685
2100.0,525,55.880631
284.0,96,55.955779
764.0,216,56.124678
476.0,144,56.23735
668.0,192,56.387486
316.0,104,56.468883
764.0,216,56.637046
2100.0,525,59.391938
668.0,192,59.544173
1692.0,448,59.899293
2100.0,525,60.330558
2100.0,525,60.745085
1820.0,480,61.124567
2100.0,525,62.198872
2100.0,525,62.613621
1948.0,512,65.334124
284.0,96,65.408252
380.0,120,65.500849
284.0,96,65.574826
284.0,96,65.64881
284.0,96,65.723033
284.0,96,65.797563
348.0,112,65.884425
348.0,112,65.971331
380.0,120,66.064555
380.0,120,66.157596
380.0,120,66.250659
348.0,112,66.337467
284.0,96,66.412092
316.0,104,66.492851
380.0,120,66.585816
380.0,120,66.67886
412.0,128,66.778136
284.0,96,66.852703
284.0,96,66.927293
284.0,96,67.001871
284.0,96,67.077402
380.0,120,67.170599
284.0,96,67.24522
476.0,144,67.356387
348.0,112,67.443181
284.0,96,67.517638
284.0,96,67.592029
284.0,96,67.666434
348.0,112,67.753078
380.0,120,67.845948
348.0,112,67.932593
316.0,104,68.013324
284.0,96,68.087866
284.0,96,68.167606
380.0,120,68.262698
348.0,112,68.350544
348.0,112,71.401005
284.0,96,71.476739
284.0,96,71.55192
380.0,120,71.645866
284.0,96,71.720931
284.0,96,71.796058
316.0,104,71.877798
284.0,96,71.953204
284.0,96,72.028754
316.0,104,72.110398
380.0,120,72.204103
316.0,104,72.28546
316.0,104,72.366672
316.0,104,72.448022
284.0,96,72.523278
284.0,96,72.59855
348.0,112,72.686053
380.0,120,72.779488
284.0,96,72.854582
316.0,104,72.935731
284.0,96,73.010565
380.0,120,73.10377
284.0,96,73.178844
284.0,96,73.254177
284.0,96,73.331432
284.0,96,73.408142
284.0,96,73.483284
284.0,96,73.558683
284.0,96,73.633826
284.0,96,73.708994
284.0,96,73.78412
284.0,96,73.859256
284.0,96,73.934338
284.0,96,74.009617
348.0,112,74.097024
284.0,96,74.173054
284.0,96,74.247281
284.0,96,74.323234
284.0,96,74.398376
380.0,120,74.49182
284.0,96,74.566847
348.0,112,76.966187
284.0,96,77.041703
380.0,120,77.304559
284.0,96,77.379877
380.0,120,77.473567
284.0,96,77.548525
284.0,96,77.623727
316.0,104,77.705152
284.0,96,78.459766
284.0,96,78.535619
348.0,112,78.623474
348.0,112,78.710812
380.0,120,78.804517
348.0,112,78.891948
380.0,120,78.985607
348.0,112,79.073218
380.0,120,79.167321
348.0,112,79.256012
284.0,96,79.331837
284.0,96,79.407621
284.0,96,79.483461
380.0,120,79.577401
284.0,96,79.652508
284.0,96,79.727563
284.0,96,79.80322
284.0,96,79.878525
380.0,120,79.972335
284.0,96,80.047542
284.0,96,80.122635
316.0,104,80.203843
284.0,96,80.27929
380.0,120,80.37269
316.0,104,80.453658
348.0,112,80.54119
316.0,104,80.62283
348.0,112,80.71109
316.0,104,80.793027
284.0,96,80.869196
284.0,96,80.945129
316.0,104,83.375016
284.0,96,83.4501
348.0,112,83.537361
380.0,120,83.630641
348.0,112,83.717777
284.0,96,83.792776
380.0,120,83.886092
380.0,120,83.979673
380.0,120,84.076595
284.0,96,84.151411
284.0,96,84.226366
284.0,96,84.300016
348.0,112,84.386697
284.0,96,84.461084
348.0,112,84.54922
348.0,112,84.6369
284.0,96,85.358759
284.0,96,85.433943
284.0,96,85.509238
284.0,96,85.584342
380.0,120,85.678216
284.0,96,85.753457
284.0,96,85.828982
284.0,96,85.904363
284.0,96,85.979773
284.0,96,86.055243
284.0,96,86.130696
284.0,96,86.206149
284.0,96,86.281535
380.0,120,86.375325
284.0,96,86.450753
284.0,96,86.526062
284.0,96,86.601224
380.0,120,86.694971
284.0,96,86.770087
348.0,112,86.857521
284.0,96,86.932675
348.0,112,87.020104
380.0,120,87.113698
284.0,96,89.496631
316.0,104,89.578281
284.0,96,89.653625
380.0,120,89.747525
476.0,144,89.861059
380.0,120,89.955299
284.0,96,90.030998
284.0,96,90.106438
380.0,120,90.200883
316.0,104,90.282706
284.0,96,90.35807
316.0,104,90.439873
284.0,96,90.515259
284.0,96,90.590655
284.0,96,90.665889
284.0,96,90.741042
284.0,96,90.816191
348.0,112,90.90391
284.0,96,90.979202
284.0,96,91.054983
284.0,96,91.130666
316.0,104,91.212532
284.0,96,91.288064
284.0,96,91.36363
284.0,96,91.43861
348.0,112,91.524647
284.0,96,92.260435
284.0,96,92.335763
284.0,96,92.410918
284.0,96,92.485999
348.0,112,92.573385
284.0,96,92.648268
380.0,120,92.741833
284.0,96,92.816773
284.0,96,92.891708
316.0,104,92.972833
348.0,112,93.069137
284.0,96,93.144433
284.0,96,93.219824
316.0,104,93.301504
