#{"t_start": 1726935404.764482, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
284.0,96,0.356144
284.0,96,0.411852
284.0,96,0.463551
284.0,96,0.515457
28380.0,120,3.213769
380.0,120,3.292043
316.0,104,3.360656
284.0,96,3.423219
380.0,120,3.502307
380.0,120,6.411353
380.0,120,6.490255
412.0,128,6.571545
380.0,120,6.653788
604.0,176,9.37637
796.0,224,9.518042
284.0,96,9.579751
284.0,96,12.277695
380.0,120,12.354309
604.0,176,12.467306
284.0,96,12.528779
316.0,104,15.25831
284.0,96,15.318967
284.0,96,15.379501
284.0,96,15.44095
572.0,168,18.435893
540.0,160,18.535869
412.0,128,18.616412
380.0,120,18.691712
476.0,144,21.643284
380.0,120,21.718197
380.0,120,21.793404
380.0,120,21.867976
476.0,144,24.774098
380.0,120,24.849874
572.0,168,24.956234
444.0,136,25.041736
284.0,96,30.988668
284.0,96,31.04932
444.0,136,31.13438
476.0,144,31.225739
380.0,120,35.154284
668.0,192,35.275202
636.0,184,35.390632
572.0,168,38.422636
348.0,112,38.493318
476.0,144,38.583207
284.0,96,38.643951
284.0,96,41.323268
444.0,136,41.409154
380.0,120,41.48478
284.0,96,41.546267
316.0,104,44.271201
284.0,96,44.332499
284.0,96,44.394023
316.0,104,44.46003
476.0,144,44.551135
380.0,120,47.415501
508.0,152,47.511024
284.0,96,47.572451
476.0,144,47.662876
380.0,120,50.3429
476.0,144,50.433358
444.0,136,50.518556
284.0,96,50.579745
444.0,136,53.955189
284.0,96,54.01558
284.0,96,54.07585
380.0,120,54.151825
380.0,120,61.704015
380.0,120,61.778578
316.0,104,61.843586
380.0,120,61.919168
348.0,112,64.613729
508.0,152,64.70855
412.0,128,64.794846
284.0,96,64.85752
316.0,104,64.940178
668.0,192,67.689831
380.0,120,67.767555
476.0,144,67.860873
476.0,144,70.562047
476.0,144,70.655571
284.0,96,70.718506
284.0,96,70.781667
380.0,120,82.316377
380.0,120,82.399982
412.0,128,82.482143
348.0,112,82.554068
284.0,96,82.615997
476.0,144,89.776248
380.0,120,89.852799
284.0,96,89.914705
284.0,96,89.976847
572.0,168,92.702694
284.0,96,92.764721
284.0,96,92.827008
508.0,152,92.925559
380.0,120,95.761225
380.0,120,95.838446
572.0,168,95.94708
284.0,96,96.009029
284.0,96,98.696229
380.0,120,98.773316
284.0,96,98.835304
380.0,120,98.911936
284.0,96,98.973927
476.0,144,101.803891
476.0,144,101.897145
284.0,96,101.960362
444.0,136,104.929677
284.0,96,104.990663
284.0,96,105.052485
476.0,144,105.144464
316.0,104,105.211211
604.0,176,109.153363
604.0,176,109.266096
412.0,128,109.349133
348.0,112,118.765522
380.0,120,118.842595
380.0,120,118.919753
412.0,128,119.00232
284.0,96,121.666993
284.0,96,121.729454
380.0,120,121.806684
476.0,144,121.899165
284.0,96,121.9616
284.0,96,125.48604
284.0,96,125.547888
380.0,120,125.624792
572.0,168,125.73197
380.0,120,128.58134
476.0,144,128.673544
284.0,96,128.735652
284.0,96,128.797468
444.0,136,131.545171
380.0,120,131.622436
284.0,96,131.684881
380.0,120,131.762687
412.0,128,134.606002
380.0,120,134.682969
572.0,168,134.792066
284.0,96,134.854052
284.0,96,134.916133
348.0,112,137.632822
284.0,96,137.694942
476.0,144,137.787842
284.0,96,137.850104
284.0,96,140.530528
