#{"t_start": 1721539155.1460114, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0.21,525,0.610525
-0.21,525,0.735194
-0.21,525,0.859811
-0.21,525,0.983901
-0.21,525,1.109645
-0.21,525,1.232321
-0.21,525,1.354925
-0.21,525,1.480136
-0.21,525,1.604734
-0.21,525,4.546
-0.21,525,4.670893
-0.21,525,4.797257
-0.21,525,4.920407
-0.21,525,5.047423
-0.21,525,5.172677
-0.21,525,5.297517
-0.21,525,5.42277
-0.21,525,5.547835
-0.21,525,5.672537
-0.21,525,8.996459
-0.21,525,9.47737
-0.21,525,9.935292
-0.21,525,10.398585
-0.21,525,10.854672
-0.21,525,11.315239
-0.21,525,11.769498
-0.21,525,12.219254
-0.21,525,12.671966
-0.21,525,15.880678
-0.21,525,16.327372
-0.21,525,16.781328
-0.21,525,17.242039
-0.21,525,17.705159
-0.21,525,18.163913
-0.21,525,18.623955
-0.21,525,19.083522
-0.21,525,19.54606
-0.21,525,20.000628
-0.21,525,23.194523
0.8347,414,23.560551
-0.21,525,24.026454
-0.21,525,24.48992
-0.21,525,24.944373
-0.21,525,25.391307
-0.21,525,25.846633
-0.21,525,26.29623
-0.21,525,26.734737
-0.21,525,29.906907
-0.21,525,30.361547
-0.21,525,30.818025
-0.21,525,31.270772
-0.21,525,31.739409
-0.21,525,32.19231
-0.21,525,32.632511
-0.21,525,33.078235
-0.21,525,33.524438
-0.21,525,33.972392
-0.21,525,37.128554
-0.21,525,37.569872
-0.21,525,38.01508
-0.21,525,38.459074
-0.21,525,38.903151
-0.21,525,39.363536
-0.21,525,39.816834
-0.21,525,40.262573
-0.21,525,40.717753
-0.21,525,43.89147
0.8687,329,44.19936
-0.21,525,44.645193
0.9902,25,44.667178
-0.21,525,45.115128
-0.21,525,45.562382
-0.21,525,46.012644
-0.21,525,46.457388
-0.21,525,46.909674
-0.21,525,47.361281
-0.21,525,47.806812
-0.21,525,50.972018
-0.21,525,51.430884
-0.21,525,51.901171
-0.21,525,52.355231
0.8918,271,52.585109
-0.21,525,53.042112
-0.21,525,53.495335
-0.21,525,53.952713
-0.21,525,54.408803
-0.21,525,54.857086
-0.21,525,58.048984
0.9196,201,58.234784
-0.21,525,58.686065
-0.21,525,59.132234
0.9843,40,59.167695
-0.21,525,59.632769
-0.21,525,60.07988
0.8252,437,60.464176
-0.21,525,60.924409
-0.21,525,61.38371
-0.21,525,61.837766
-0.21,525,65.0192
-0.21,525,65.460898
-0.21,525,65.917792
0.8939,266,66.153162
-0.21,525,66.605823
0.8682,330,66.888398
-0.21,525,67.342172
-0.21,525,67.784982
-0.21,525,68.228423
-0.21,525,68.680926
-0.21,525,69.134233
-0.21,525,72.311373
-0.21,525,72.758216
-0.21,525,73.200609
-0.21,525,73.645031
-0.21,525,74.098604
-0.21,525,74.54768
-0.21,525,74.993837
-0.21,525,75.443167
0.8467,384,75.770405
-0.21,525,76.220058
