#{"t_start": 1726976269.30765, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0-0.21,525,14.62472
-0.21,525,28.714303
0.9607,99,28.783451
-0.21,525,42.911391
-0.21,525,56.951481
0.8431,393,70.709975
-0.21,525,84.559913
-0.21,525,97.531736
-0.21,525,111.643852
-0.21,525,126.649079
-0.21,525,140.706463
-0.21,525,154.765774
-0.21,525,168.771306
-0.21,525,181.822265
-0.21,525,196.608761
-0.21,525,210.547482
-0.21,525,224.693432
-0.21,525,239.330775
-0.21,525,253.437212
-0.21,525,267.663864
-0.21,525,281.734117
-0.21,525,294.924568
-0.21,525,322.727405
-0.21,525,336.910173
-0.21,525,351.136229
-0.21,525,365.324545
-0.21,525,379.510868
-0.21,525,393.733064
-0.21,525,407.882731
-0.21,525,421.764296
-0.21,525,435.908236
-0.21,525,450.097432
-0.21,525,464.357788
-0.21,525,478.163647
0.8451,388,492.300618
-0.21,525,506.347849
-0.21,525,520.601694
-0.21,525,534.742685
-0.21,525,548.837173
-0.21,525,562.846157
-0.21,525,576.657371
0.9301,175,590.483438
-0.21,525,604.611273
-0.21,525,618.673134
-0.21,525,632.208101
-0.21,525,646.307412
-0.21,525,660.505961
-0.21,525,674.046486
-0.21,525,688.081972
-0.21,525,702.174228
-0.21,525,715.894695
-0.21,525,729.791259
0.8389,403,743.419091
-0.21,525,757.486628
-0.21,525,771.659869
-0.21,525,785.860695
-0.21,525,799.932015
-0.21,525,813.755291
-0.21,525,827.022713
-0.21,525,841.137795
-0.21,525,855.411429
-0.21,525,869.619088
-0.21,525,883.71596
-0.21,525,896.246014
-0.21,525,910.089943
-0.21,525,924.23153
-0.21,525,951.532451
-0.21,525,965.729897
-0.21,525,979.779366
-0.21,525,993.899436
-0.21,525,1007.939851
0.9456,136,1008.023727
-0.21,525,1022.090473
0.9511,123,1022.165493
-0.21,525,1035.656632
-0.21,525,1049.775649
0.9815,47,1049.806057
-0.21,525,1076.998116
-0.21,525,1090.603777
-0.21,525,1104.724414
-0.21,525,1118.455023
-0.21,525,1132.43387
-0.21,525,1146.475424
0.842,395,1160.487019
-0.21,525,1174.62435
-0.21,525,1188.665389
-0.21,525,1202.739953
-0.21,525,1216.994588
-0.21,525,1231.102658
-0.21,525,1244.626161
0.8112,472,1258.64077
-0.21,525,1272.708823
-0.21,525,1286.760487
-0.21,525,1300.462572
-0.21,525,1314.486222
-0.21,525,1327.986288
-0.21,525,1341.739385
-0.21,525,1355.827541
-0.21,525,1369.89222
-0.21,525,1384.091696
-0.21,525,1398.188995
-0.21,525,1412.344633
-0.21,525,1426.410242
-0.21,525,1440.514945
-0.21,525,1468.329085
-0.21,525,1482.421118
-0.21,525,1496.680337
-0.21,525,1510.114026
-0.21,525,1524.173239
-0.21,525,1538.258394
0.8372,407,1552.049596
