#{"t_start": 1721543485.2766223, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0.21,525,1.436921
-0.21,525,1.831625
-0.21,525,2.222502
-0.21,525,3.456218
-0.21,525,3.862762
-0.21,525,4.263454
-0.21,525,4.663939
-0.21,525,5.702742
-0.21,525,6.110161
-0.21,525,9.83375
-0.21,525,10.242866
-0.21,525,11.282161
-0.21,525,11.693979
-0.21,525,12.101341
-0.21,525,12.510401
-0.21,525,13.542516
-0.21,525,13.951979
-0.21,525,14.360615
0.9815,47,14.39824
-0.21,525,18.095668
-0.21,525,19.125261
-0.21,525,19.528088
0.9688,78,19.588979
-0.21,525,19.990357
-0.21,525,20.392792
-0.21,525,21.42633
-0.21,525,21.832631
-0.21,525,22.237874
-0.21,525,22.644415
-0.21,525,23.638005
-0.21,525,27.342039
-0.21,525,27.750341
-0.21,525,28.783006
-0.21,525,29.189234
-0.21,525,29.593924
-0.21,525,30.000675
0.8145,464,30.966968
-0.21,525,31.371688
-0.21,525,31.777543
-0.21,525,35.458236
-0.21,525,36.495461
-0.21,525,36.906819
-0.21,525,37.311897
-0.21,525,37.716189
0.9301,175,37.851311
-0.21,525,38.89339
-0.21,525,39.308766
-0.21,525,39.71855
-0.21,525,40.128325
-0.21,525,41.165477
-0.21,525,44.855402
0.9461,135,44.960895
-0.21,525,45.369287
-0.21,525,45.776914
-0.21,525,46.817941
-0.21,525,47.2268
-0.21,525,47.636734
0.9394,152,47.756439
-0.21,525,48.783735
-0.21,525,49.19311
-0.21,525,49.600134
-0.21,525,53.323344
-0.21,525,54.362243
-0.21,525,54.769721
-0.21,525,55.17434
-0.21,525,55.583397
-0.21,525,56.623573
-0.21,525,57.03284
0.9669,83,57.097569
-0.21,525,57.511084
-0.21,525,57.915251
-0.21,525,62.237071
-0.21,525,62.649771
-0.21,525,63.064969
-0.21,525,63.467573
-0.21,525,64.456786
-0.21,525,64.858648
-0.21,525,65.263436
-0.21,525,66.240542
-0.21,525,66.647497
-0.21,525,67.051482
-0.21,525,70.788635
-0.21,525,71.77289
-0.21,525,72.181145
-0.21,525,72.590953
-0.21,525,73.000426
-0.21,525,73.998092
-0.21,525,74.40198
-0.21,525,74.807446
0.9708,73,74.865097
0.8148,463,75.221493
-0.21,525,79.469279
0.8831,293,79.695355
-0.21,525,80.097767
-0.21,525,80.501125
-0.21,525,81.478324
-0.21,525,82.186092
-0.21,525,82.593135
-0.21,525,82.996846
0.9838,41,83.029899
-0.21,525,84.014306
-0.21,525,84.417922
-0.21,525,88.116599
0.9584,104,88.19756
-0.21,525,88.600924
-0.21,525,89.627903
-0.21,525,90.035985
-0.21,525,90.44433
0.8346,414,90.7638
-0.21,525,91.790016
-0.21,525,92.198744
-0.21,525,92.603162
-0.21,525,96.276615
-0.21,525,97.302381
-0.21,525,97.728809
-0.21,525,98.130177
0.9806,49,98.168773
-0.21,525,98.572322
-0.21,525,99.559188
-0.21,525,99.963589
-0.21,525,100.368358
-0.21,525,100.771802
-0.21,525,101.756759
-0.21,525,105.437931
-0.21,525,105.84485
-0.21,525,106.24963
