#{"t_start": 1721549168.851416, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0.21,525,5.483217
-0.21,525,5.809755
-0.21,525,6.13874
-0.21,525,6.463726
-0.21,525,6.790938
-0.21,525,7.116699
-0.21,525,7.445405
-0.21,525,7.777846
-0.21,525,8.105994
0.819,453,8.746989
-0.21,525,13.870179
-0.21,525,14.197136
-0.21,525,14.524617
-0.21,525,14.851395
-0.21,525,15.178137
-0.21,525,15.503655
-0.21,525,15.829058
-0.21,525,16.157469
-0.21,525,16.487275
-0.21,525,17.00361
--0.21,525,22.833412
-0.21,525,23.161124
-0.21,525,23.48913
-0.21,525,23.814951
-0.21,525,24.139965
-0.21,525,24.465491
-0.21,525,24.790663
-0.21,525,25.12133
-0.21,525,25.465189
--0.21,525,26.175872
-0.21,525,31.246348
-0.21,525,31.572036
-0.21,525,31.899095
-0.21,525,32.22387
-0.21,525,32.550811
-0.21,525,32.876687
-0.21,525,33.202543
-0.21,525,33.529415
-0.21,525,33.854774
--0.21,525,34.453271
-0.21,525,40.161068
-0.21,525,40.492865
-0.21,525,40.822956
-0.21,525,41.150318
-0.21,525,41.483326
-0.21,525,41.812073
-0.21,525,42.142951
-0.21,525,42.472063
-0.21,525,42.800139
--0.21,525,43.597245-0.21,525,48.609396
-0.21,525,48.939516
-0.21,525,49.272881
-0.21,525,49.603621
-0.21,525,49.929438
-0.21,525,50.259178
-0.21,525,50.590036
-0.21,525,50.919678
-0-0.21,525,51.83254
-0.21,525,52.240764
-0.21,525,57.654413
-0.21,525,57.983973
-0.21,525,58.312658
-0.21,525,58.640609
-0.21,525,58.969956
-0.21,525,59.300077
-0.21,525,59.627465
-0.21,525,59.954442
--0.21,525,61.058568
-0.21,525,61.464051
-0.21,525,66.020555
-0.21,525,66.345684
-0.21,525,66.671031
-0.21,525,66.995994
-0.21,525,67.320467
-0.21,525,67.645467
-0.21,525,67.970564
-0.21,525,68.295705
-0-0.21,525,69.403625
-0.21,525,69.806669-0.21,525,74.281027
-0.21,525,74.604583
-0.21,525,74.928199
-0.21,525,75.25234
-0.21,525,75.577223
-0.21,525,75.901421
-0.21,525,76.224675
-0-0.21,525,78.037409
-0.21,525,78.442798
-0.21,525,78.84675
-0.21,525,83.216959
-0.21,525,83.544562
-0.21,525,83.878347
-0.21,525,84.20542
-0.21,525,84.532166
-0.21,525,84.859625
-0.21,525,85.186354
-0.21,525,85.511836
-0-0.21,525,86.669106
-0.21,525,87.072881-0.21,525,91.548348
-0.21,525,91.873851
-0.21,525,92.201232
-0.21,525,92.527654
-0.21,525,92.855168
-0.21,525,93.181737
-0.21,525,93.506397
-0.-0.21,525,94.695863
-0.21,525,95.734543
-0.21,525,96.13913-0.21,525,100.5841
-0.21,525,100.91244
-0.21,525,101.237897
-0.21,525,101.562105
-0.21,525,101.887118
-0.21,525,102.214771
-0.21,525,102.542157
-0.21,525,103.925838
-0.21,525,104.329902
-0.21,525,104.734386

-0.21,525,105.582323
-0.21,525,105.922252
-0.21,525,106.245822
-0.21,525,106.56917
-0.21,525,106.892814
-0.21,525,107.219046
-0.21,525,107.54385
-0.21,525,107.867414
-0.21,525,108.193286
-0.21,525,108.516699
