#{"t_start": 1721096539.6711667, "env_id": "VizdoomDefendLine-v0"}
r,l,t
10.0,155,8.35102
4.0,84,9.01224
6.0,124,10.017855
3.0,108,10.912187
3.0,78,11.594914
2.0,94,12.294435
11.0,210,13.918868
6.0,140,14.995616
5.0,114,15.871523
10.0,183,17.360713
9.0,135,18.466719
8.0,172,19.893851
6.0,114,20.766643
7.0,147,21.852079
2.0,62,22.366229
5.0,89,23.068414
9.0,126,36.044208
5.0,88,36.711438
8.0,128,37.733005
7.0,94,38.472236
8.0,128,39.555141
7.0,121,40.550753
5.0,111,41.448749
10.0,151,42.648154
8.0,184,44.171908
13.0,168,45.524784
10.0,106,46.433464
9.0,128,47.472058
3.0,79,48.115682
7.0,131,49.145021
8.0,173,50.283463
8.0,135,51.408985
11.0,142,60.927446
14.0,199,62.510821
4.0,84,63.19715
8.0,131,64.211004
12.0,237,66.240719
9.0,130,67.319182
10.0,155,74.145605
8.0,128,75.193414
3.0,95,75.969064
15.0,202,77.593242
11.0,171,78.876449
18.0,199,80.582318
10.0,140,81.7694
12.0,135,91.438705
12.0,175,92.851364
7.0,119,93.761038
15.0,196,95.357591
4.0,120,96.281854
12.0,150,97.455716
14.0,210,99.189147
8.0,146,100.515549
12.0,184,101.998463
9.0,168,103.416932
8.0,87,104.124212
10.0,166,105.450901
7.0,102,106.213535
6.0,116,107.195087
5.0,100,116.740008
8.0,126,117.755872
8.0,157,118.95287
9.0,178,120.426977
12.0,164,121.725282
10.0,107,122.639271
16.0,222,124.356403
16.0,175,125.754001
7.0,114,126.400711
7.0,161,127.720388
14.0,168,128.975005
4.0,67,129.53426
5.0,96,130.315353
10.0,120,136.593827
5.0,118,137.531684
11.0,184,147.529505
13.0,138,148.487259
10.0,172,149.919502
5.0,86,150.439746
6.0,93,151.178217
6.0,117,152.168514
16.0,196,153.745722
16.0,268,155.812168
20.0,287,157.937283
12.0,189,159.455741
12.0,147,160.677394
10.0,170,162.106826
25.0,281,172.845956
16.0,221,174.671691
17.0,229,176.596778
16.0,169,177.944426
7.0,142,179.070847
11.0,130,180.064416
12.0,183,181.578316
11.0,154,182.800278
9.0,213,184.501416
