#{"t_start": 1721098214.7786047, "env_id": "VizdoomDefendLine-v0"}
r,l,t
2.0,87,72.381789
0.0,48,72.598453
4.0,96,73.018988
3.0,104,73.463051
4.0,110,73.925832
0.0,56,74.165396
1.0,48,74.378737
2.0,78,74.61497
6.0,169,75.209006
0.0,48,75.423944
17.0,184,149.925047
16.0,202,150.727513
26.0,303,152.035497
18.0,169,152.796701
16.0,212,153.694444
20.0,215,154.685312
11.0,108,155.157398
8.0,96,155.57823
15.0,170,156.33278
15.0,139,156.942651
9.0,115,197.915067
13.0,144,198.513458
17.0,189,199.330754
13.0,149,199.954258
12.0,125,200.418371
17.0,216,201.315022
18.0,177,202.070766
8.0,84,202.45097
15.0,176,203.203361
15.0,156,203.832573
38845
8.0,165,68.64442
10.0,169,69.988122
13.0,208,71.629436
8.0,146,76.222854
4.0,112,77.118351
12.0,206,78.532037
6.0,108,79.45223
11.0,126,80.451217
8.0,119,81.341722
8.0,161,82.490215
7.0,141,83.426037
4.0,88,84.158616
8.0,153,85.02695
8.0,159,86.285178
6.0,110,87.159771
12.0,173,88.614147
13.0,193,90.181859
9.0,125,91.177848
9.0,171,92.588638
4.0,77,93.229532
6.0,135,94.332573
9.0,194,95.937174
5.0,88,96.672501
7.0,106,97.499831
4.0,88,98.106153
6.0,113,98.958384
6.0,82,99.641361
15.0,206,135.768792
9.0,119,136.648373
15.0,176,138.128491
5.0,103,139.020195
13.0,158,140.383424
13.0,218,142.040324
16.0,186,143.547814
11.0,172,144.906558
11.0,175,146.180434
7.0,94,146.937014
4.0,126,148.001926
9.0,129,149.03884
17.0,224,158.633049
5.0,91,159.348387
5.0,117,160.266439
17.0,209,161.845491
11.0,143,163.053527
12.0,148,164.312124
10.0,147,165.555451
15.0,194,167.203732
7.0,140,168.371782
8.0,137,169.269202
5.0,111,169.984741
11.0,171,171.437177
12.0,144,172.591898
8.0,159,173.931841
9.0,115,174.838026
11.0,134,175.924282
9.0,130,176.975316
16.0,210,178.708222
19.0,237,180.753812
5.0,88,181.454828
5.0,81,182.068722
6.0,108,183.007622
8.0,119,183.999606
7.0,123,185.016398
14.0,196,186.614022
3.0,77,187.219332
6.0,116,188.12891
9.0,177,189.43591
21.0,316,192.081692
9.0,184,193.596298
8.0,120,194.553552
8.0,108,195.462017
20.0,227,197.304965
18.0,264,205.966654
5.0,91,206.707397
3.0,76,207.344857
5.0,96,208.104191
4.0,104,208.943951
18.0,215,210.364527
8.0,163,211.509997
20.0,235,213.416652
10.0,172,249.095552
7.0,93,249.817225
14.0,166,251.100012
8.0,115,251.838711
3.0,48,252.210887
15.0,165,253.629279
8.0,115,254.582996
16.0,201,256.276383
9.0,110,257.152477
19.0,244,259.267729
14.0,154,260.531347
7.0,104,261.393198
22.0,281,263.702881
20.0,241,265.661072
12.0,158,266.953703
18.0,187,268.443399
3.0,64,268.965225
